date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Milano,Cremona,24.693150684931506,0,5,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-2.1,0
2017-10-08,Milano,Varese,24.71232876712329,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-10-15,Milano,Capo d'Orlando,24.731506849315068,0,12,0,0,0.000,0,0,0.0,0,0,0.0,0,2,2,3,0,0,0,1,0,2.3,-12
2017-10-22,Milano,Brindisi,24.75068493150685,0,22,2,4,0.500,2,2,1.0,0,0,0.0,0,3,3,1,1,0,0,2,6,5.800000000000001,3
2017-10-29,Milano,Sassari,24.76986301369863,0,21,4,7,0.571,2,3,0.667,0,0,0.0,0,3,3,1,0,1,2,2,10,6.1999999999999975,-13
2017-11-05,Milano,Virtus Bologna,24.78904109589041,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-11-11,Milano,Trentino,24.805479452054794,0,22,2,3,0.667,2,3,0.667,0,0,0.0,0,5,5,0,1,0,0,2,6,6.4,19
2017-11-19,Milano,Avellino,24.827397260273973,1,15,4,7,0.571,1,2,0.5,1,2,0.5,0,2,2,0,2,0,1,3,10,6.699999999999998,0
2017-12-03,Milano,Reggio Emilia,24.865753424657534,1,13,1,2,0.000,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,1,2,1.9,-1
2017-12-10,Milano,Torino,24.884931506849316,0,6,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-5
2017-12-17,Milano,Cantù,24.904109589041095,1,30,5,11,0.455,1,4,0.25,2,3,0.667,2,0,2,1,1,0,0,1,13,9.6,11
2017-12-26,Milano,Brescia,24.92876712328767,1,16,2,4,0.500,2,3,0.667,0,0,0.0,0,1,1,2,1,0,2,3,6,3.499999999999999,-2
2018-01-02,Milano,Pesaro,24.947945205479453,0,26,3,4,0.750,1,2,0.5,1,2,0.5,0,6,6,1,0,0,0,1,8,8.099999999999998,12
2018-01-08,Milano,Pistoia,24.964383561643835,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-01-08,Pistoia,Milano,24.964383561643835,1,13,0,1,0.000,0,1,0.0,2,2,1.0,0,0,0,0,0,1,0,1,2,1.6,-11
2018-01-22,Milano,Cremona,25.002739726027396,1,17,1,3,0.333,0,1,0.0,0,0,0.0,2,3,5,0,0,0,1,1,2,1.2000000000000002,2
2018-01-29,Milano,Varese,25.02191780821918,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-02-04,Milano,Capo d'Orlando,25.03835616438356,0,23,1,2,0.000,0,0,0.0,1,2,0.5,0,5,5,3,3,0,1,4,3,5.6,16
2018-02-11,Milano,Brindisi,25.057534246575344,0,16,2,3,0.667,2,3,0.667,2,2,1.0,1,1,2,0,1,0,0,2,8,7.900000000000001,9
2018-03-04,Milano,Sassari,25.115068493150684,0,13,1,4,0.250,0,3,0.0,1,2,0.5,1,2,3,0,1,0,3,1,3,-0.8999999999999999,-12
2018-03-11,Milano,Virtus Bologna,25.134246575342466,0,14,1,2,0.500,0,1,0.0,0,0,0.0,0,2,2,0,1,0,1,2,2,0.8,6
2018-03-17,Milano,Trentino,25.15068493150685,1,7,1,3,0.333,0,2,0.0,0,0,0.0,0,2,2,0,1,0,1,1,2,0.5000000000000004,-3
2018-03-25,Milano,Avellino,25.172602739726027,0,9,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2,0.6000000000000002,-1
2018-03-31,Milano,Reggio Emilia,25.18904109589041,0,14,2,4,0.500,1,2,0.5,0,0,0.0,0,0,0,0,1,0,2,4,5,0.3999999999999999,5
2018-04-08,Milano,Torino,25.21095890410959,0,20,1,4,0.250,1,4,0.25,2,4,0.5,3,4,7,3,1,0,0,0,5,8.2,5
2018-04-08,Pistoia,Pesaro,25.21095890410959,1,21,2,4,0.500,0,1,0.0,2,2,1.0,0,3,3,0,3,0,0,1,6,7.5,2
2018-04-22,Milano,Brescia,25.24931506849315,1,12,1,5,0.200,0,2,0.0,1,1,1.0,1,0,1,0,0,0,0,2,3,-0.20000000000000018,-3
2018-04-29,Milano,Pesaro,25.268493150684932,0,9,1,3,0.333,0,2,0.0,2,2,1.0,0,0,0,0,0,0,0,2,4,1.5000000000000007,6
2018-05-06,Milano,Pistoia,25.28767123287671,0,20,2,3,0.667,1,2,0.5,1,2,0.5,0,4,4,0,1,1,0,1,6,6.8,8
2018-05-09,Milano,Venezia,25.295890410958904,0,11,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,1,0,1,2,0,-0.10000000000000009,-3
