date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Pesaro,Brescia,29.53150684931507,0,14,1,4,0.000,0,0,0.0,0,2,0.0,2,6,8,0,1,0,2,4,2,-0.6000000000000001,8
2017-10-08,Pesaro,Reggio Emilia,29.55068493150685,0,14,2,3,0.667,0,1,0.0,2,2,1.0,2,0,2,0,0,0,1,2,6,4.3,-7
2017-10-14,Pesaro,Virtus Bologna,29.567123287671233,0,10,0,0,0.000,0,0,0.0,2,2,1.0,0,1,1,0,1,1,0,3,2,2.8,3
2017-10-22,Pesaro,Torino,29.589041095890412,0,21,3,6,0.500,0,1,0.0,0,0,0.0,3,3,6,1,1,2,0,2,6,8.299999999999999,-17
2017-10-29,Pesaro,Cremona,29.60821917808219,0,6,1,3,0.000,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,1,2,-0.19999999999999984,-3
2017-11-05,Pesaro,Capo d'Orlando,29.627397260273973,0,14,2,2,0.000,0,0,0.0,1,3,0.333,4,1,5,0,0,0,0,2,5,5.9,-2
2017-11-12,Pesaro,Brindisi,29.646575342465752,0,6,2,2,1.000,1,1,1.0,1,1,1.0,1,2,3,0,0,1,0,1,6,7.0,0
2017-11-19,Pesaro,Trentino,29.665753424657535,0,15,2,6,0.333,0,2,0.0,2,2,1.0,2,5,7,1,1,0,1,2,6,5.4,-5
2017-12-03,Pesaro,Varese,29.704109589041096,0,13,1,4,0.250,0,1,0.0,1,2,0.5,2,1,3,1,1,1,1,2,3,2.500000000000001,5
2017-12-09,Pesaro,Pistoia,29.720547945205478,0,21,2,7,0.286,1,2,0.5,0,0,0.0,1,3,4,2,0,0,1,4,5,1.2999999999999998,0
2017-12-17,Pesaro,Avellino,29.742465753424657,0,6,1,4,0.250,0,1,0.0,0,0,0.0,2,0,2,0,1,0,0,0,2,2.0,-3
2017-12-26,Pesaro,Cantù,29.767123287671232,0,11,0,3,0.000,0,0,0.0,0,0,0.0,1,0,1,1,0,2,1,2,0,-1.0999999999999999,-10
2018-01-02,Pesaro,Milano,29.786301369863015,0,11,1,5,0.200,0,1,0.0,0,0,0.0,2,3,5,0,2,0,0,1,2,2.8,-5
2018-01-07,Venezia,Pesaro,29.8,0,13,2,4,0.500,0,1,0.0,1,3,0.333,1,3,4,0,1,1,0,1,5,5.1000000000000005,-7
2018-01-07,Pesaro,Venezia,29.8,0,24,3,4,0.000,0,0,0.0,0,0,0.0,3,4,7,1,1,0,1,4,6,6.799999999999999,10
2018-01-21,Pesaro,Brescia,29.838356164383562,0,13,1,1,0.000,0,0,0.0,0,0,0.0,0,4,4,2,0,0,1,1,2,2.9,-8
2018-01-27,Pesaro,Reggio Emilia,29.854794520547944,0,11,0,2,0.000,0,0,0.0,2,2,1.0,0,2,2,3,0,1,0,2,2,3.2,0
2018-02-03,Pesaro,Virtus Bologna,29.873972602739727,0,16,0,3,0.000,0,0,0.0,3,4,0.75,3,1,4,2,0,1,2,2,3,2.2,-8
2018-02-11,Pesaro,Torino,29.895890410958906,0,11,5,5,0.000,0,0,0.0,0,0,0.0,1,0,1,1,0,0,1,2,10,8.099999999999998,-8
2018-03-04,Pesaro,Cremona,29.953424657534246,0,19,1,1,0.000,0,0,0.0,1,2,0.5,2,3,5,1,0,0,0,2,3,4.5,-25
2018-03-11,Pesaro,Capo d'Orlando,29.972602739726028,0,9,3,5,0.000,0,0,0.0,0,0,0.0,2,0,2,0,0,0,1,2,6,3.3,-5
2018-03-18,Pesaro,Brindisi,29.991780821917807,0,21,4,8,0.500,0,1,0.0,2,2,1.0,7,2,9,0,1,1,1,3,10,10.999999999999996,-7
2018-03-25,Pesaro,Trentino,30.01095890410959,0,21,3,4,0.750,0,1,0.0,0,0,0.0,2,4,6,1,1,2,0,2,6,9.299999999999999,1
2018-03-31,Pesaro,Varese,30.027397260273972,0,16,1,4,0.250,0,1,0.0,0,1,0.0,1,5,6,2,0,3,4,1,2,0.4999999999999991,-11
2018-04-08,Varese,Capo d'Orlando,30.04931506849315,0,16,2,6,0.000,0,0,0.0,2,2,1.0,4,0,4,1,0,1,3,1,6,3.4000000000000004,-18
2018-04-08,Pesaro,Pistoia,30.04931506849315,0,20,2,3,0.000,0,0,0.0,2,2,1.0,2,5,7,0,2,1,0,3,6,9.099999999999998,14
2018-04-22,Pesaro,Cantù,30.087671232876712,0,22,3,5,0.600,0,1,0.0,0,0,0.0,2,4,6,3,0,4,1,4,6,8.6,-2
2018-04-29,Pesaro,Milano,30.106849315068494,1,20,3,4,0.750,0,1,0.0,0,0,0.0,2,2,4,2,0,0,0,4,6,6.200000000000001,6
2018-05-06,Pesaro,Venezia,30.126027397260273,1,14,2,4,0.500,0,1,0.0,0,1,0.0,3,2,5,0,0,1,3,3,4,0.7999999999999998,-2
2018-05-09,Pesaro,Sassari,30.134246575342466,1,20,1,4,0.250,1,2,0.5,0,0,0.0,0,1,1,1,0,1,0,3,3,1.0999999999999996,-17
