date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Pesaro,Brescia,27.528767123287672,1,23,2,4,0.500,1,2,0.5,0,0,0.0,2,3,5,0,1,0,2,5,5,2.3000000000000007,-7
2017-10-08,Pesaro,Reggio Emilia,27.54794520547945,1,29,3,6,0.500,1,3,0.333,1,2,0.5,2,3,5,5,1,1,6,4,8,4.5,9
2017-10-14,Pesaro,Virtus Bologna,27.564383561643837,1,24,2,5,0.400,1,3,0.333,0,0,0.0,1,1,2,3,0,0,6,3,5,-1.8000000000000007,-11
2017-10-22,Pesaro,Torino,27.586301369863016,0,22,2,5,0.400,0,1,0.0,1,4,0.25,1,2,3,2,1,0,3,5,5,-0.20000000000000107,-4
2017-10-29,Pesaro,Cremona,27.605479452054794,1,37,2,7,0.286,0,2,0.0,2,2,1.0,1,4,5,2,1,1,1,5,6,3.9000000000000012,-10
2017-11-05,Pesaro,Capo d'Orlando,27.624657534246577,0,34,4,11,0.364,0,2,0.0,1,2,0.5,3,3,6,4,1,0,3,1,9,5.9,-13
2017-11-12,Pesaro,Brindisi,27.643835616438356,1,30,4,8,0.500,2,4,0.5,0,1,0.0,1,0,1,3,0,0,1,4,10,5.799999999999999,0
2017-11-19,Pesaro,Trentino,27.663013698630138,1,34,9,13,0.692,2,6,0.333,0,0,0.0,1,3,4,4,1,1,2,3,20,17.400000000000002,-12
2017-12-03,Pesaro,Varese,27.7013698630137,1,33,3,10,0.300,0,3,0.0,0,0,0.0,3,1,4,4,1,0,0,1,6,5.999999999999999,5
2017-12-09,Pesaro,Pistoia,27.71780821917808,1,31,5,7,0.714,2,3,0.667,0,0,0.0,0,2,2,4,0,0,2,2,12,9.7,-3
2017-12-17,Pesaro,Avellino,27.73972602739726,1,33,4,12,0.333,1,2,0.5,0,2,0.0,2,2,4,1,4,0,2,2,9,5.3,6
2017-12-26,Pesaro,Cantù,27.764383561643836,1,28,5,13,0.385,1,2,0.5,3,3,1.0,2,4,6,0,0,0,1,5,14,6.5,-16
2018-01-02,Pesaro,Milano,27.78356164383562,0,14,0,3,0.000,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,5,0,-2.3999999999999995,-4
2018-01-07,Venezia,Pesaro,27.797260273972604,0,28,6,9,0.667,1,2,0.5,1,1,1.0,0,0,0,1,0,0,1,5,14,7.799999999999997,1
2018-01-07,Pesaro,Venezia,27.797260273972604,1,11,0,1,0.000,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,0,0,-1.1,-16
2018-01-21,Pesaro,Brescia,27.835616438356166,1,21,4,8,0.500,2,4,0.5,1,2,0.5,0,2,2,3,0,0,1,4,11,6.699999999999999,-9
2018-01-27,Pesaro,Reggio Emilia,27.852054794520548,0,27,8,10,0.800,2,4,0.5,0,0,0.0,0,1,1,6,1,1,3,3,18,16.2,-4
2018-02-03,Pesaro,Virtus Bologna,27.87123287671233,1,34,4,14,0.286,0,3,0.0,0,0,0.0,0,2,2,2,2,0,3,4,8,-0.7999999999999994,-12
2018-02-11,Pesaro,Torino,27.893150684931506,1,20,4,8,0.500,1,1,1.0,0,0,0.0,1,4,5,1,1,0,4,4,9,3.0,-4
2018-03-04,Pesaro,Cremona,27.95068493150685,1,31,9,15,0.600,3,6,0.5,2,2,1.0,1,2,3,3,1,0,5,3,23,14.3,-1
2018-03-11,Pesaro,Capo d'Orlando,27.96986301369863,1,32,5,13,0.385,3,8,0.375,2,2,1.0,1,1,2,1,0,0,0,5,15,7.6,3
2018-03-18,Pesaro,Brindisi,27.98904109589041,0,24,1,9,0.111,0,1,0.0,2,3,0.667,1,3,4,0,0,0,0,4,4,-2.3,-5
2018-03-25,Pesaro,Trentino,28.008219178082193,1,27,6,10,0.600,2,2,1.0,0,0,0.0,0,2,2,1,1,0,2,4,14,8.099999999999998,-1
2018-03-31,Pesaro,Varese,28.024657534246575,1,30,3,12,0.250,1,5,0.2,0,0,0.0,4,2,6,1,0,0,2,1,7,1.5000000000000004,0
2018-04-08,Varese,Capo d'Orlando,28.046575342465754,1,23,4,6,0.667,1,1,1.0,3,3,1.0,0,1,1,0,0,0,2,3,12,6.5,-3
2018-04-08,Pesaro,Pistoia,28.046575342465754,1,32,3,14,0.214,0,5,0.0,0,0,0.0,5,5,10,4,2,0,3,3,6,3.000000000000001,12
2018-04-22,Pesaro,Cantù,28.084931506849315,1,27,7,15,0.467,2,7,0.286,2,2,1.0,0,3,3,1,4,0,3,3,18,11.7,-1
2018-04-29,Pesaro,Milano,28.104109589041094,1,29,9,13,0.692,3,4,0.75,2,2,1.0,0,1,1,0,3,0,2,5,23,16.8,3
2018-05-06,Pesaro,Venezia,28.123287671232877,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
