date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Venezia,Varese,27.356164383561644,0,16,3,3,0.000,0,0,0.0,3,3,1.0,1,0,1,2,0,1,1,2,9,9.099999999999998,-2
2017-10-08,Venezia,Trentino,27.375342465753423,0,10,1,2,0.000,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,4,2,0.6999999999999997,2
2017-10-14,Venezia,Brindisi,27.39178082191781,0,16,0,3,0.000,0,1,0.0,3,4,0.75,0,3,3,0,0,0,1,1,3,4.440892098500626e-16,7
2017-10-21,Venezia,Cremona,27.410958904109588,1,22,5,9,0.000,0,0,0.0,0,0,0.0,5,1,6,2,1,0,1,4,10,9.3,-17
2017-10-29,Venezia,Virtus Bologna,27.432876712328767,0,12,0,1,0.000,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,0,0,1.0,-1
2017-11-05,Venezia,Torino,27.45205479452055,0,8,0,2,0.000,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-1.2,3
2017-11-11,Venezia,Cantù,27.46849315068493,0,19,1,2,0.000,0,0,0.0,0,2,0.0,2,5,7,1,0,1,2,4,2,0.8999999999999999,10
2017-11-18,Venezia,Pistoia,27.487671232876714,0,17,2,4,0.000,0,0,0.0,6,6,1.0,0,4,4,0,0,0,0,2,10,8.399999999999999,7
2017-12-02,Venezia,Avellino,27.526027397260275,0,10,2,4,0.500,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,4,4,-0.6000000000000001,7
2017-12-09,Venezia,Reggio Emilia,27.545205479452054,0,7,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,2,0,-2.2,0
2017-12-17,Venezia,Brescia,27.567123287671233,0,14,4,4,0.000,0,0,0.0,0,0,0.0,0,1,1,1,0,1,1,1,8,7.1,-1
2017-12-26,Venezia,Sassari,27.59178082191781,0,14,3,4,0.000,0,0,0.0,0,0,0.0,3,0,3,0,0,0,0,3,6,5.3,5
2018-01-02,Venezia,Capo d'Orlando,27.61095890410959,0,23,2,5,0.000,0,0,0.0,0,0,0.0,2,4,6,1,1,2,0,2,4,6.2,16
2018-01-07,Venezia,Pesaro,27.624657534246577,0,19,5,11,0.000,0,0,0.0,0,0,0.0,3,0,3,0,0,0,0,1,10,6.0,-9
2018-01-08,Milano,Pistoia,27.627397260273973,0,21,4,6,0.000,0,0,0.0,0,0,0.0,2,1,3,0,1,0,0,1,8,7.700000000000001,0
2018-01-21,Venezia,Varese,27.663013698630138,0,17,2,3,0.000,0,0,0.0,5,5,1.0,2,2,4,0,0,1,1,3,9,8.2,2
2018-01-28,Venezia,Trentino,27.682191780821917,0,10,2,3,0.000,0,0,0.0,3,4,0.75,2,1,3,0,0,0,0,3,7,5.799999999999999,-7
2018-02-04,Venezia,Brindisi,27.7013698630137,0,17,5,6,0.000,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,10,8.0,-1
2018-02-11,Venezia,Cremona,27.720547945205478,0,13,2,2,0.000,0,0,0.0,1,1,1.0,0,0,0,1,0,1,2,0,5,3.8000000000000007,1
2018-03-04,Venezia,Virtus Bologna,27.778082191780822,0,15,3,3,0.000,0,0,0.0,0,0,0.0,1,5,6,0,0,0,0,2,6,6.500000000000001,-2
2018-03-11,Venezia,Torino,27.797260273972604,0,27,2,6,0.333,0,1,0.0,6,6,1.0,3,3,6,0,0,0,1,3,10,7.400000000000002,-3
2018-03-18,Venezia,Cantù,27.816438356164383,0,19,5,6,0.000,0,0,0.0,5,5,1.0,1,2,3,0,0,1,2,3,15,11.599999999999998,8
2018-03-25,Venezia,Pistoia,27.835616438356166,0,16,2,2,0.000,0,0,0.0,0,0,0.0,2,0,2,0,1,0,3,4,4,1.1999999999999993,-7
2018-04-01,Venezia,Avellino,27.854794520547944,0,15,4,5,0.000,0,0,0.0,1,1,1.0,1,2,3,1,0,0,1,3,9,6.8999999999999995,6
2018-04-08,Venezia,Reggio Emilia,27.873972602739727,0,16,0,2,0.000,0,0,0.0,1,2,0.5,2,2,4,0,0,0,1,2,1,-0.6000000000000001,-2
2018-04-08,Reggio Emilia,Venezia,27.873972602739727,0,15,2,3,0.000,0,0,0.0,5,5,1.0,2,3,5,0,0,0,0,1,9,9.600000000000001,-10
2018-04-22,Venezia,Sassari,27.912328767123288,0,14,2,3,0.000,0,0,0.0,1,2,0.5,0,0,0,0,0,1,2,3,5,0.7999999999999998,5
2018-04-29,Venezia,Capo d'Orlando,27.93150684931507,0,13,1,3,0.000,0,0,0.0,2,2,1.0,2,3,5,2,1,1,0,3,4,6.5,4
2018-05-06,Venezia,Pesaro,27.95068493150685,0,21,4,5,0.000,0,0,0.0,2,2,1.0,3,2,5,0,0,3,1,3,10,10.7,0
2018-05-09,Venezia,Milano,27.958904109589042,0,9,2,5,0.000,0,0,0.0,0,0,0.0,2,0,2,1,0,0,1,2,4,1.5999999999999996,-7
