date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-02,Reggio Emilia,Avellino,18.704109589041096,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-10-08,Reggio Emilia,Pesaro,18.720547945205478,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-10-15,Reggio Emilia,Sassari,18.73972602739726,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-10-22,Reggio Emilia,Capo d'Orlando,18.758904109589043,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-10-29,Reggio Emilia,Trentino,18.778082191780822,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,-3
2017-11-05,Reggio Emilia,Brescia,18.797260273972604,0,11,0,2,0.000,0,2,0.0,0,0,0.0,0,2,2,1,1,0,2,4,0,-2.7,5
2017-11-11,Reggio Emilia,Pistoia,18.813698630136987,0,1,0,1,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,0.3,0
2017-11-18,Reggio Emilia,Cremona,18.83287671232877,0,3,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,2,0,-3.5,0
2017-12-03,Reggio Emilia,Milano,18.873972602739727,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-4
2017-12-09,Reggio Emilia,Venezia,18.89041095890411,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-12-16,Reggio Emilia,Varese,18.90958904109589,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-12-23,Reggio Emilia,Torino,18.92876712328767,0,4,0,0,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,0,0,0.0,0
2017-12-30,Reggio Emilia,Cantù,18.947945205479453,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-01-07,Brescia,Torino,18.96986301369863,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-01-07,Reggio Emilia,Brindisi,18.96986301369863,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-01-20,Reggio Emilia,Avellino,19.005479452054793,0,8,0,0,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,1,0,0.6,8
2018-01-27,Reggio Emilia,Pesaro,19.024657534246575,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-02-04,Reggio Emilia,Sassari,19.046575342465754,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.10000000000000003,2
2018-02-11,Reggio Emilia,Capo d'Orlando,19.065753424657533,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-03-03,Reggio Emilia,Trentino,19.12054794520548,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-1
2018-03-17,Reggio Emilia,Pistoia,19.15890410958904,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-03-31,Reggio Emilia,Milano,19.197260273972603,0,5,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-0.7,-4
2018-04-04,Reggio Emilia,Brescia,19.208219178082192,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-04-08,Reggio Emilia,Venezia,19.21917808219178,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-04-08,Cremona,Avellino,19.21917808219178,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-04-18,Reggio Emilia,Cremona,19.246575342465754,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-1
2018-05-06,Reggio Emilia,Brindisi,19.295890410958904,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-05-09,Reggio Emilia,Virtus Bologna,19.304109589041097,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,6
