date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-02-04,Sassari,Reggio Emilia,30.756164383561643,1,26,2,6,0.333,0,2,0.0,0,0,0.0,1,2,3,4,0,0,1,4,4,2.1,1
2018-02-11,Sassari,Virtus Bologna,30.775342465753425,1,24,2,5,0.400,0,3,0.0,0,0,0.0,0,4,4,0,1,1,3,2,4,0.40000000000000036,-11
2018-03-04,Sassari,Milano,30.83287671232877,1,32,8,9,0.889,3,3,1.0,2,2,1.0,0,2,2,4,1,0,3,4,21,17.7,3
2018-03-11,Sassari,Cremona,30.852054794520548,1,28,7,10,0.700,4,6,0.667,2,2,1.0,1,3,4,5,2,0,0,5,20,20.9,29
2018-03-18,Sassari,Capo d'Orlando,30.87123287671233,0,12,7,9,0.778,1,3,0.333,1,1,1.0,1,1,2,0,0,0,0,5,16,11.5,13
2018-03-25,Sassari,Varese,30.89041095890411,0,29,7,13,0.538,5,9,0.556,5,6,0.833,1,2,3,5,4,1,3,3,24,22.600000000000005,3
2018-03-31,Sassari,Brindisi,30.906849315068495,1,44,9,16,0.563,4,9,0.444,4,5,0.8,0,2,2,3,2,1,5,2,26,17.6,-9
2018-04-08,Sassari,Brescia,30.92876712328767,1,24,3,11,0.273,2,7,0.286,3,3,1.0,0,2,2,1,0,0,0,5,11,3.8,0
2018-04-08,Brescia,Sassari,30.92876712328767,1,30,4,11,0.364,3,10,0.3,5,6,0.833,0,2,2,2,0,0,1,4,16,8.900000000000002,4
2018-04-22,Sassari,Venezia,30.96712328767123,1,31,2,8,0.250,0,4,0.0,4,4,1.0,1,3,4,3,1,0,1,4,8,5.300000000000001,0
2018-04-29,Sassari,Avellino,30.986301369863014,1,28,4,8,0.500,0,4,0.0,2,2,1.0,0,1,1,1,4,0,4,4,10,5.4,4
2018-05-06,Sassari,Trentino,31.005479452054796,1,30,2,9,0.222,0,4,0.0,2,3,0.667,0,0,0,1,2,0,4,5,6,-3.2,2
2018-05-09,Sassari,Pesaro,31.013698630136986,1,19,5,8,0.625,3,5,0.6,0,0,0.0,0,1,1,3,1,1,0,3,13,12.3,26
