date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Varese,Venezia,29.273972602739725,1,26,0,5,0.000,0,0,0.0,2,4,0.5,3,4,7,0,1,0,2,1,2,-0.40000000000000036,-19
2017-10-08,Varese,Milano,29.293150684931508,1,29,2,5,0.000,0,0,0.0,1,4,0.25,5,6,11,1,0,0,1,2,5,5.3,-1
2017-10-16,Varese,Cantù,29.315068493150687,1,25,4,6,0.000,0,0,0.0,2,2,1.0,5,6,11,4,0,0,1,2,10,13.7,22
2017-10-23,Varese,Brescia,29.334246575342465,1,25,2,3,0.000,0,0,0.0,0,0,0.0,5,7,12,1,1,2,1,2,4,9.6,-10
2017-10-29,Varese,Pistoia,29.350684931506848,1,28,4,5,0.000,0,0,0.0,1,4,0.25,4,2,6,2,2,3,1,2,9,12.999999999999998,-2
2017-11-04,Varese,Trentino,29.367123287671234,0,19,2,2,0.000,0,0,0.0,1,2,0.5,1,9,10,1,2,0,3,1,5,6.699999999999999,12
2017-11-12,Varese,Avellino,29.389041095890413,0,19,3,6,0.000,0,0,0.0,0,0,0.0,4,4,8,0,0,1,3,1,6,4.300000000000001,-14
2017-11-19,Varese,Sassari,29.40821917808219,0,27,4,5,0.000,0,0,0.0,3,4,0.75,4,4,8,1,1,0,1,1,11,12.999999999999998,-16
2017-12-03,Varese,Pesaro,29.446575342465753,0,21,0,0,0.000,0,0,0.0,0,0,0.0,3,3,6,0,0,0,1,4,0,0.39999999999999947,4
2017-12-10,Varese,Capo d'Orlando,29.465753424657535,1,30,10,10,0.000,0,0,0.0,2,2,1.0,5,9,14,2,2,0,1,2,22,26.799999999999997,27
2017-12-16,Varese,Reggio Emilia,29.482191780821918,1,26,1,1,0.000,0,0,0.0,4,6,0.667,1,5,6,0,0,1,2,2,6,5.000000000000001,-9
2017-12-26,Varese,Virtus Bologna,29.50958904109589,0,30,5,6,0.000,0,0,0.0,4,5,0.8,3,6,9,0,2,0,1,2,14,15.5,1
2018-01-02,Varese,Brindisi,29.528767123287672,1,29,3,4,0.000,0,0,0.0,1,2,0.5,1,3,4,0,0,0,1,4,7,4.0,-4
2018-01-07,Varese,Cremona,29.542465753424658,1,23,6,9,0.000,0,0,0.0,0,0,0.0,1,4,5,1,1,2,3,1,12,9.7,5
2018-01-07,Reggio Emilia,Brindisi,29.542465753424658,0,20,3,5,0.000,0,0,0.0,0,0,0.0,3,7,10,3,2,2,2,1,6,11.0,3
2018-01-21,Varese,Venezia,29.58082191780822,0,30,8,9,0.000,0,0,0.0,1,4,0.25,3,5,8,0,1,1,2,2,17,15.199999999999996,2
2018-01-29,Varese,Milano,29.602739726027398,0,28,4,8,0.000,0,0,0.0,2,4,0.5,4,3,7,1,0,0,1,4,10,7.0,4
2018-02-05,Varese,Cantù,29.621917808219177,0,25,5,6,0.000,0,0,0.0,3,5,0.6,9,9,18,4,1,1,1,4,13,20.9,20
2018-02-11,Varese,Brescia,29.638356164383563,0,24,3,5,0.000,0,0,0.0,1,2,0.5,2,7,9,0,0,1,0,2,7,7.699999999999998,7
2018-03-04,Varese,Pistoia,29.695890410958903,1,34,2,7,0.000,0,0,0.0,1,2,0.5,4,8,12,3,0,0,1,1,5,6.3999999999999995,-3
2018-03-10,Varese,Trentino,29.71232876712329,1,28,6,6,0.000,0,0,0.0,1,2,0.5,1,6,7,3,0,1,2,2,13,13.3,-1
2018-03-18,Varese,Avellino,29.734246575342468,1,18,1,1,0.000,0,0,0.0,0,0,0.0,3,5,8,3,0,0,2,4,2,3.799999999999999,6
2018-03-25,Varese,Sassari,29.753424657534246,1,30,3,6,0.000,0,0,0.0,6,8,0.75,5,8,13,3,1,0,2,3,12,14.0,-2
2018-03-31,Varese,Pesaro,29.76986301369863,1,28,5,9,0.000,0,0,0.0,1,2,0.5,4,5,9,3,2,0,1,1,11,13.299999999999999,7
2018-04-08,Varese,Capo d'Orlando,29.791780821917808,1,23,4,5,0.000,0,0,0.0,7,8,0.875,3,4,7,0,2,1,2,5,15,14.7,-9
2018-04-08,Avellino,Cremona,29.791780821917808,1,31,5,6,0.000,0,0,0.0,5,6,0.833,3,5,8,3,1,1,1,2,15,18.0,16
2018-04-22,Varese,Virtus Bologna,29.83013698630137,1,31,3,5,0.000,0,0,0.0,4,4,1.0,3,3,6,0,2,0,3,3,10,8.5,-1
2018-04-29,Varese,Brindisi,29.84931506849315,1,33,8,10,0.000,0,0,0.0,1,3,0.333,3,9,12,1,0,2,3,2,17,15.499999999999996,11
2018-05-06,Varese,Cremona,29.86849315068493,1,31,3,5,0.000,0,0,0.0,1,4,0.25,2,7,9,2,0,0,0,2,7,7.599999999999999,10
2018-05-09,Varese,Torino,29.876712328767123,1,27,4,6,0.000,0,0,0.0,1,2,0.5,2,5,7,3,1,0,1,0,9,11.0,0
