date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-01-28,Capo d'Orlando,Virtus Bologna,27.96164383561644,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-02-04,Capo d'Orlando,Milano,27.98082191780822,0,15,2,3,0.000,0,0,0.0,1,4,0.25,1,1,2,1,0,0,0,4,5,2.6,-7
2018-02-11,Capo d'Orlando,Reggio Emilia,28.0,0,20,4,6,0.000,0,0,0.0,2,4,0.5,2,0,2,0,0,0,0,3,10,6.8,3
2018-03-04,Capo d'Orlando,Torino,28.057534246575344,1,25,11,18,0.611,0,2,0.0,3,4,0.75,7,3,10,0,0,0,0,4,25,20.599999999999994,4
2018-03-11,Capo d'Orlando,Pesaro,28.076712328767123,0,19,3,5,0.000,0,0,0.0,3,4,0.75,3,3,6,1,0,0,2,2,9,7.1999999999999975,-1
2018-03-18,Capo d'Orlando,Sassari,28.095890410958905,0,8,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0.7,-12
2018-03-24,Capo d'Orlando,Brescia,28.112328767123287,0,16,1,1,0.000,0,0,0.0,1,2,0.5,1,1,2,0,0,1,1,0,3,3.0,-19
2018-03-31,Capo d'Orlando,Trentino,28.13150684931507,0,18,4,7,0.000,0,0,0.0,2,2,1.0,1,2,3,1,2,1,1,3,10,9.2,-11
2018-04-08,Brindisi,Trentino,28.153424657534245,0,2,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-1.5,-3
2018-04-08,Capo d'Orlando,Varese,28.153424657534245,0,16,1,4,0.250,0,1,0.0,3,4,0.75,1,1,2,0,0,0,0,2,5,2.4000000000000004,-3
2018-04-22,Capo d'Orlando,Avellino,28.19178082191781,0,10,1,1,0.000,0,0,0.0,1,2,0.5,1,0,1,0,0,0,0,0,3,3.0,-7
2018-04-29,Capo d'Orlando,Venezia,28.21095890410959,0,15,2,4,0.000,0,0,0.0,2,3,0.667,1,1,2,0,0,0,1,2,6,2.8,-7
2018-05-06,Capo d'Orlando,Cantù,28.23013698630137,0,16,2,4,0.500,0,1,0.0,2,2,1.0,1,1,2,2,0,1,0,2,6,6.300000000000001,-4
2018-05-09,Capo d'Orlando,Cremona,28.23835616438356,1,20,4,6,0.667,1,2,0.5,6,7,0.857,3,1,4,0,0,1,2,2,15,12.3,4
