date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Brindisi,Torino,32.679452054794524,1,17,0,2,0.000,0,2,0.0,0,0,0.0,0,3,3,0,0,0,1,2,0,-2.3,-4
2017-10-09,Brindisi,Pistoia,32.701369863013696,0,8,2,2,1.000,2,2,1.0,0,0,0.0,0,0,0,2,1,0,0,1,6,7.4,2
2017-10-14,Brindisi,Venezia,32.71506849315068,0,15,1,1,0.000,0,0,0.0,1,2,0.5,0,1,1,1,1,0,0,3,3,3.0999999999999996,-6
2017-10-22,Brindisi,Milano,32.73698630136986,0,12,3,5,0.600,2,3,0.667,0,2,0.0,0,2,2,1,2,0,0,0,8,8.2,-3
2017-10-29,Brindisi,Brescia,32.75616438356165,0,17,0,2,0.000,0,2,0.0,0,0,0.0,0,3,3,1,0,0,2,2,0,-2.6,-5
2017-11-05,Brindisi,Avellino,32.775342465753425,0,9,0,1,0.000,0,1,0.0,0,0,0.0,1,2,3,0,1,0,0,1,0,1.2000000000000002,0
2017-11-12,Brindisi,Pesaro,32.794520547945204,0,17,1,3,0.333,0,2,0.0,0,0,0.0,2,1,3,1,0,0,1,1,2,1.3000000000000003,-12
2017-11-19,Brindisi,Virtus Bologna,32.81369863013698,0,23,1,3,0.000,0,0,0.0,0,0,0.0,3,3,6,0,1,0,1,3,2,2.0999999999999996,2
2017-12-03,Brindisi,Sassari,32.85205479452055,0,9,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,0.29999999999999993,-7
2017-12-10,Brindisi,Trentino,32.87123287671233,0,21,0,1,0.000,0,1,0.0,0,0,0.0,1,2,3,0,1,0,0,3,0,0.3999999999999999,-7
2017-12-16,Brindisi,Capo d'Orlando,32.88767123287671,0,6,1,1,0.000,0,0,0.0,0,0,0.0,1,1,2,0,1,0,0,3,2,2.4999999999999996,0
2017-12-26,Brindisi,Cremona,32.915068493150685,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-01-02,Brindisi,Varese,32.93424657534246,0,6,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,3,0,-1.9000000000000001,-5
2018-01-07,Brindisi,Reggio Emilia,32.94794520547945,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-0.8,7
2018-01-21,Brindisi,Torino,32.986301369863014,0,8,0,2,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,3,0,-2.3,-5
2018-01-28,Brindisi,Pistoia,33.00547945205479,0,8,1,1,1.000,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,2,3,2.2,12
2018-02-04,Brindisi,Venezia,33.02465753424658,0,11,0,1,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,3,0,-0.9000000000000001,-2
2018-02-11,Brindisi,Milano,33.04383561643836,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,0
2018-03-05,Brindisi,Brescia,33.104109589041094,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2
2018-03-11,Brindisi,Avellino,33.12054794520548,0,13,1,4,0.250,0,1,0.0,0,0,0.0,1,1,2,2,2,0,1,2,2,2.2,3
2018-03-18,Brindisi,Pesaro,33.13972602739726,0,13,2,3,0.667,0,1,0.0,0,0,0.0,1,2,3,0,2,0,0,0,4,6.0,0
2018-03-25,Brindisi,Virtus Bologna,33.15890410958904,0,11,1,1,1.000,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,1,3,2.9000000000000004,-3
2018-03-31,Brindisi,Sassari,33.175342465753424,0,17,0,0,0.000,0,0,0.0,1,2,0.5,2,3,5,2,1,0,0,4,1,3.6999999999999997,5
2018-04-08,Trentino,Brindisi,33.1972602739726,0,6,0,1,0.000,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,1,0,-0.10000000000000003,6
2018-04-08,Brindisi,Trentino,33.1972602739726,0,12,0,5,0.000,0,0,0.0,1,2,0.5,3,1,4,1,0,0,0,1,1,-0.2000000000000003,-3
2018-04-22,Brindisi,Cremona,33.23561643835617,0,16,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,0,1,0,3,3,3,-1.5999999999999996,-8
2018-04-29,Brindisi,Varese,33.25479452054795,0,9,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.8,-1
2018-05-06,Brindisi,Reggio Emilia,33.273972602739725,0,4,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,0
2018-05-09,Brindisi,Cantù,33.28219178082192,0,18,2,2,0.000,0,0,0.0,0,1,0.0,0,4,4,0,0,0,0,2,4,3.4000000000000004,-6
