date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Cantù,Sassari,30.33150684931507,1,29,3,6,0.500,1,4,0.25,3,3,1.0,0,3,3,3,1,1,3,2,10,7.899999999999999,-4
2017-10-07,Cantù,Cremona,30.34794520547945,1,29,10,14,0.714,4,6,0.667,0,0,0.0,0,3,3,2,1,0,2,2,24,18.7,17
2017-10-16,Cantù,Varese,30.372602739726027,1,31,6,12,0.500,3,6,0.5,1,1,1.0,2,8,10,1,1,1,6,2,16,9.399999999999999,-19
2017-10-22,Cantù,Trentino,30.389041095890413,1,32,9,14,0.643,2,3,0.667,4,5,0.8,1,5,6,4,7,0,0,1,24,29.000000000000007,9
2017-10-28,Cantù,Avellino,30.405479452054795,1,32,5,9,0.556,1,1,1.0,0,0,0.0,3,4,7,4,2,0,2,4,11,11.200000000000001,-8
2017-11-04,Cantù,Pistoia,30.424657534246574,1,25,4,6,0.667,0,1,0.0,0,0,0.0,0,4,4,3,0,1,3,5,8,4.399999999999999,12
2017-11-11,Cantù,Venezia,30.443835616438356,1,44,6,13,0.462,1,4,0.25,5,6,0.833,2,10,12,5,0,0,1,4,18,16.199999999999996,-2
2017-11-19,Cantù,Torino,30.465753424657535,1,32,3,9,0.333,0,4,0.0,0,0,0.0,1,4,5,1,1,0,3,4,6,-0.10000000000000009,14
2017-12-04,Cantù,Brescia,30.506849315068493,1,33,8,15,0.533,1,5,0.2,0,0,0.0,3,8,11,4,3,0,2,2,17,17.2,3
2017-12-10,Cantù,Virtus Bologna,30.523287671232875,1,31,6,13,0.462,0,3,0.0,3,4,0.75,2,3,5,2,0,2,2,4,15,9.4,4
2017-12-17,Cantù,Milano,30.542465753424658,1,23,1,8,0.125,0,2,0.0,1,2,0.5,2,6,8,0,0,0,2,4,3,-3.0,-8
2017-12-26,Cantù,Pesaro,30.567123287671233,1,30,5,11,0.455,1,5,0.2,0,0,0.0,3,10,13,6,2,0,1,3,11,14.400000000000002,26
2017-12-30,Cantù,Reggio Emilia,30.578082191780823,1,31,4,8,0.500,2,4,0.5,0,0,0.0,0,2,2,0,2,1,0,2,10,8.499999999999998,9
2018-01-07,Virtus Bologna,Avellino,30.6,1,35,2,6,0.333,1,2,0.5,1,2,0.5,0,5,5,3,1,0,1,2,6,5.000000000000001,3
2018-01-07,Cantù,Capo d'Orlando,30.6,1,25,7,10,0.700,2,4,0.5,0,0,0.0,1,7,8,5,3,1,0,0,16,21.8,27
2018-01-20,Cantù,Sassari,30.635616438356166,1,43,9,14,0.643,2,6,0.333,2,2,1.0,1,9,10,4,1,2,4,3,22,19.200000000000003,11
2018-01-28,Cantù,Cremona,30.65753424657534,1,35,3,10,0.300,1,4,0.25,0,0,0.0,0,1,1,4,1,0,3,4,7,0.6999999999999988,-3
2018-02-05,Cantù,Varese,30.67945205479452,1,36,2,10,0.200,1,6,0.167,2,2,1.0,0,4,4,2,0,1,3,4,7,-0.5000000000000004,-12
2018-02-10,Cantù,Trentino,30.693150684931506,1,37,3,12,0.250,0,3,0.0,0,0,0.0,1,3,4,2,4,1,1,2,6,4.700000000000001,-15
2018-03-04,Cantù,Avellino,30.753424657534246,1,32,3,9,0.333,1,3,0.333,0,0,0.0,0,4,4,6,2,0,1,4,7,6.699999999999999,7
2018-03-11,Cantù,Pistoia,30.77260273972603,1,31,2,5,0.400,0,3,0.0,10,10,1.0,2,6,8,4,2,0,4,3,14,14.100000000000001,22
2018-03-18,Cantù,Venezia,30.791780821917808,1,26,5,11,0.455,2,5,0.4,0,0,0.0,0,4,4,2,0,0,2,4,12,5.300000000000001,-14
2018-03-25,Cantù,Torino,30.81095890410959,1,33,9,13,0.692,2,5,0.4,0,0,0.0,2,5,7,4,1,1,2,4,20,18.3,7
2018-03-31,Cantù,Brescia,30.827397260273973,1,35,4,8,0.500,2,5,0.4,4,6,0.667,2,4,6,1,2,0,6,3,14,7.299999999999997,-14
2018-04-07,Cantù,Virtus Bologna,30.846575342465755,1,35,5,10,0.500,3,7,0.429,2,2,1.0,0,4,4,3,4,0,0,3,15,16.099999999999998,5
2018-04-08,Pesaro,Pistoia,30.84931506849315,1,30,4,14,0.286,0,3,0.0,2,3,0.667,5,3,8,1,2,0,0,4,10,6.9,6
2018-04-22,Cantù,Pesaro,30.887671232876713,1,32,6,9,0.667,3,5,0.6,2,2,1.0,1,4,5,1,1,0,1,3,17,14.499999999999996,6
2018-04-29,Cantù,Reggio Emilia,30.906849315068495,1,31,2,8,0.250,0,3,0.0,1,3,0.333,2,5,7,1,3,0,3,4,5,1.4000000000000004,4
2018-05-06,Cantù,Capo d'Orlando,30.926027397260274,1,31,4,9,0.444,1,4,0.25,1,1,1.0,1,1,2,1,1,1,1,4,10,6.1,3
2018-05-09,Cantù,Brindisi,30.934246575342467,1,28,3,9,0.333,0,2,0.0,0,0,0.0,1,3,4,2,2,0,2,5,6,1.9000000000000004,11
