date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Cantù,Sassari,28.397260273972602,1,30,4,13,0.308,1,4,0.25,2,3,0.667,0,3,3,1,2,0,5,1,11,1.2999999999999998,-16
2017-10-07,Cantù,Cremona,28.413698630136988,1,28,6,12,0.500,3,7,0.429,2,3,0.667,0,7,7,7,2,0,3,1,17,16.2,23
2017-10-16,Cantù,Varese,28.438356164383563,1,34,4,14,0.286,2,6,0.333,6,10,0.6,0,5,5,2,2,0,2,3,16,7.900000000000002,-21
2017-10-22,Cantù,Trentino,28.454794520547946,1,27,1,8,0.125,0,3,0.0,0,0,0.0,0,4,4,2,0,1,1,0,2,-0.8999999999999999,6
2017-10-28,Cantù,Avellino,28.471232876712328,1,34,3,13,0.231,1,7,0.143,2,3,0.667,1,4,5,3,2,0,2,0,9,4.699999999999999,-11
2017-11-04,Cantù,Pistoia,28.49041095890411,1,34,10,17,0.588,3,6,0.5,13,16,0.813,0,4,4,2,2,1,4,0,36,28.200000000000003,5
2017-11-11,Cantù,Venezia,28.50958904109589,1,37,6,11,0.545,3,5,0.6,11,15,0.733,0,5,5,3,2,0,4,1,26,20.299999999999997,3
2017-11-19,Cantù,Torino,28.53150684931507,1,35,8,17,0.471,5,9,0.556,4,6,0.667,1,1,2,6,2,0,0,1,25,22.3,0
2017-12-04,Cantù,Brescia,28.572602739726026,1,33,8,17,0.471,5,11,0.455,4,6,0.667,0,2,2,8,3,0,1,3,25,22.500000000000004,0
2017-12-10,Cantù,Virtus Bologna,28.589041095890412,1,33,7,10,0.700,4,5,0.8,10,10,1.0,1,2,3,3,4,0,4,2,28,26.400000000000002,3
2017-12-17,Cantù,Milano,28.60821917808219,1,35,4,10,0.400,1,5,0.2,3,3,1.0,0,2,2,3,2,0,4,1,12,6.899999999999999,-21
2017-12-26,Cantù,Pesaro,28.632876712328766,1,28,8,14,0.571,0,4,0.0,4,4,1.0,0,2,2,5,2,1,2,3,20,17.0,10
2017-12-30,Cantù,Reggio Emilia,28.643835616438356,1,38,4,13,0.308,3,7,0.429,5,6,0.833,1,3,4,6,0,0,2,2,16,11.1,0
2018-01-07,Virtus Bologna,Avellino,28.665753424657535,1,34,8,16,0.500,2,6,0.333,0,0,0.0,1,0,1,3,1,0,2,3,18,10.599999999999998,-3
2018-01-07,Cantù,Capo d'Orlando,28.665753424657535,1,28,3,10,0.300,1,4,0.25,2,2,1.0,0,3,3,5,2,0,3,0,9,6.6,21
2018-01-20,Cantù,Sassari,28.7013698630137,1,39,5,19,0.263,1,7,0.143,2,6,0.333,1,5,6,7,2,0,4,2,13,4.399999999999999,12
2018-01-28,Cantù,Cremona,28.723287671232878,1,34,8,17,0.471,5,11,0.455,4,5,0.8,0,4,4,1,2,0,3,3,25,15.600000000000001,-13
2018-02-05,Cantù,Varese,28.745205479452054,1,23,4,11,0.364,4,9,0.444,2,2,1.0,1,1,2,2,0,0,1,0,14,9.3,-14
2018-03-04,Cantù,Avellino,28.81917808219178,1,29,3,8,0.375,1,6,0.167,4,4,1.0,0,3,3,4,2,0,1,3,11,10.100000000000001,-1
2018-03-11,Cantù,Pistoia,28.838356164383562,1,28,4,5,0.800,3,4,0.75,2,6,0.333,0,3,3,2,2,0,2,2,13,11.0,-10
2018-03-18,Cantù,Venezia,28.857534246575344,1,33,6,11,0.545,0,4,0.0,6,7,0.857,0,4,4,1,0,1,3,1,18,11.499999999999996,-30
2018-03-25,Cantù,Torino,28.876712328767123,1,33,7,19,0.368,4,10,0.4,2,4,0.5,1,0,1,8,3,0,1,0,20,17.0,5
2018-03-31,Cantù,Brescia,28.893150684931506,1,38,4,14,0.286,1,5,0.2,2,5,0.4,1,3,4,2,4,0,0,3,11,7.400000000000001,-8
2018-04-07,Cantù,Virtus Bologna,28.912328767123288,1,36,6,9,0.667,1,2,0.5,2,3,0.667,1,1,2,3,3,0,3,4,15,12.199999999999998,4
2018-04-08,Pesaro,Pistoia,28.915068493150685,1,34,7,12,0.583,3,7,0.429,3,4,0.75,0,3,3,4,1,0,3,2,20,14.900000000000002,1
2018-04-22,Cantù,Pesaro,28.953424657534246,1,28,3,10,0.300,0,3,0.0,1,1,1.0,0,2,2,3,6,0,2,1,7,7.499999999999998,18
2018-04-29,Cantù,Reggio Emilia,28.972602739726028,1,39,8,19,0.421,3,10,0.3,2,2,1.0,0,6,6,3,3,0,2,0,21,15.799999999999997,15
2018-05-06,Cantù,Capo d'Orlando,28.991780821917807,1,36,5,19,0.263,2,10,0.2,2,2,1.0,2,3,5,1,3,0,2,2,14,5.900000000000001,1
2018-05-09,Cantù,Brindisi,29.0,1,37,8,11,0.727,2,4,0.5,3,5,0.6,0,2,2,6,1,1,3,2,21,18.4,14
