date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-02,Avellino,Reggio Emilia,29.66027397260274,0,16,1,2,0.500,1,1,1.0,0,0,0.0,0,0,0,0,1,0,0,0,3,3.0,2
2017-10-08,Avellino,Brescia,29.676712328767124,0,5,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.10000000000000003,-7
2017-10-14,Avellino,Torino,29.693150684931506,0,7,0,2,0.000,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-0.7,10
2017-10-22,Avellino,Pistoia,29.715068493150685,0,8,0,1,0.000,0,1,0.0,0,0,0.0,0,3,3,0,1,0,0,0,0,1.2,15
2017-10-28,Avellino,Cantù,29.731506849315068,0,5,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.7,-4
2017-11-05,Avellino,Brindisi,29.753424657534246,0,14,1,4,0.250,1,1,1.0,2,2,1.0,0,0,0,1,0,0,2,2,5,0.5000000000000009,8
2017-11-12,Avellino,Varese,29.77260273972603,0,17,3,4,0.750,3,3,1.0,1,2,0.5,1,3,4,0,0,0,2,3,10,6.399999999999999,6
2017-11-19,Avellino,Milano,29.791780821917808,0,20,1,2,0.500,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,1,3,2.6,-4
2017-12-02,Avellino,Venezia,29.827397260273973,0,9,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-1.4,-5
2017-12-10,Avellino,Cremona,29.84931506849315,1,13,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-1.5,-3
2017-12-17,Avellino,Pesaro,29.86849315068493,1,28,1,2,0.500,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,1,3,2.2,0
2017-12-27,Avellino,Capo d'Orlando,29.895890410958906,1,23,1,4,0.250,1,4,0.25,0,0,0.0,1,3,4,3,0,0,0,2,3,3.5,11
2018-01-02,Avellino,Sassari,29.912328767123288,1,15,1,2,0.500,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,1,3,2.3000000000000003,12
2018-01-07,Avellino,Virtus Bologna,29.926027397260274,1,16,2,4,0.500,1,3,0.333,0,0,0.0,0,1,1,0,2,0,0,2,5,4.5,7
2018-01-07,Capo d'Orlando,Cantù,29.926027397260274,1,9,0,0,0.000,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,2,0,-0.20000000000000018,4
2018-01-20,Avellino,Reggio Emilia,29.96164383561644,0,16,0,0,0.000,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,3,0,0.3999999999999999,3
2018-01-28,Avellino,Brescia,29.983561643835618,1,18,3,6,0.500,3,5,0.6,0,0,0.0,0,1,1,1,0,0,1,1,9,5.6,-8
2018-02-04,Avellino,Torino,30.002739726027396,1,21,3,7,0.429,2,6,0.333,0,0,0.0,0,2,2,2,0,0,1,1,8,4.899999999999999,10
2018-02-11,Avellino,Pistoia,30.02191780821918,1,20,1,4,0.250,0,3,0.0,0,0,0.0,0,2,2,0,1,0,2,2,2,-1.5999999999999999,14
2018-03-04,Avellino,Cantù,30.079452054794523,0,8,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,-7
2018-03-11,Avellino,Brindisi,30.0986301369863,1,15,2,4,0.500,1,3,0.333,0,0,0.0,0,1,1,0,0,0,0,3,5,2.0999999999999996,8
2018-03-18,Avellino,Varese,30.117808219178084,1,11,1,1,1.000,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,2.7,-1
2018-03-25,Avellino,Milano,30.136986301369863,1,19,1,3,0.333,1,3,0.333,0,0,0.0,0,2,2,1,0,0,1,1,3,1.2000000000000006,-5
2018-04-01,Avellino,Venezia,30.156164383561645,0,11,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.8,-11
2018-04-08,Avellino,Cremona,30.175342465753424,0,15,2,4,0.500,2,3,0.667,0,0,0.0,0,1,1,2,1,0,2,1,6,4.299999999999999,1
2018-04-08,Capo d'Orlando,Varese,30.175342465753424,0,15,2,2,1.000,1,1,1.0,0,0,0.0,0,2,2,3,0,0,0,1,5,6.699999999999999,8
2018-04-22,Avellino,Capo d'Orlando,30.213698630136985,0,27,4,8,0.500,4,6,0.667,1,1,1.0,1,2,3,1,2,0,1,3,13,10.799999999999997,2
2018-04-29,Avellino,Sassari,30.232876712328768,0,29,2,6,0.333,1,4,0.25,0,0,0.0,0,3,3,2,1,0,0,4,5,3.3000000000000003,-7
2018-05-06,Avellino,Virtus Bologna,30.252054794520546,1,13,0,3,0.000,0,3,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-3.4999999999999996,-2
2018-05-09,Avellino,Trentino,30.26027397260274,0,13,0,4,0.000,0,2,0.0,0,0,0.0,0,1,1,2,1,0,0,0,0,-0.10000000000000009,5
