date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-05,Capo d'Orlando,Pistoia,27.736986301369864,1,21,4,6,0.000,0,0,0.0,0,0,0.0,2,3,5,1,0,1,2,3,8,5.8999999999999995,-7
2017-10-08,Capo d'Orlando,Virtus Bologna,27.745205479452054,1,21,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,4,0,-0.30000000000000004,-23
2017-10-15,Capo d'Orlando,Milano,27.764383561643836,1,28,5,12,0.417,0,1,0.0,1,3,0.333,2,2,4,0,2,0,2,3,11,4.6000000000000005,-13
2017-10-22,Capo d'Orlando,Reggio Emilia,27.78356164383562,1,18,3,6,0.000,0,0,0.0,0,0,0.0,3,2,5,1,0,0,0,2,6,5.6000000000000005,-3
2017-10-29,Capo d'Orlando,Torino,27.802739726027397,0,23,3,7,0.429,0,1,0.0,2,3,0.667,2,3,5,3,1,0,0,3,8,8.099999999999998,-10
2017-11-05,Capo d'Orlando,Pesaro,27.82191780821918,0,18,4,6,0.000,0,0,0.0,1,2,0.5,2,3,5,0,0,0,1,4,9,5.700000000000001,4
2017-11-12,Capo d'Orlando,Sassari,27.84109589041096,1,34,5,9,0.000,0,0,0.0,0,0,0.0,1,3,4,2,0,0,4,3,10,3.500000000000001,11
2017-11-19,Capo d'Orlando,Brescia,27.86027397260274,1,25,3,7,0.000,0,0,0.0,2,4,0.5,5,5,10,2,0,0,1,4,8,7.300000000000001,-15
2017-12-02,Capo d'Orlando,Trentino,27.895890410958906,1,15,0,2,0.000,0,0,0.0,0,0,0.0,0,5,5,2,0,0,2,2,0,-1.3,-4
2017-12-10,Capo d'Orlando,Varese,27.91780821917808,1,23,4,4,0.000,0,0,0.0,0,0,0.0,1,2,3,0,1,0,3,3,8,4.8999999999999995,-15
2017-12-16,Capo d'Orlando,Brindisi,27.934246575342467,1,26,2,5,0.400,0,1,0.0,2,3,0.667,1,2,3,1,1,0,1,4,6,3.299999999999999,4
2017-12-27,Capo d'Orlando,Avellino,27.964383561643835,1,26,5,8,0.625,0,1,0.0,0,1,0.0,2,5,7,2,1,0,3,4,10,6.700000000000001,-13
2018-01-02,Capo d'Orlando,Venezia,27.98082191780822,1,18,1,4,0.000,0,0,0.0,0,0,0.0,3,0,3,1,0,0,1,4,2,-0.20000000000000062,-23
2018-01-07,Sassari,Trentino,27.994520547945207,1,18,3,4,0.000,0,0,0.0,2,4,0.5,1,2,3,2,0,0,2,4,8,4.699999999999999,6
2018-01-07,Capo d'Orlando,Cantù,27.994520547945207,1,27,2,6,0.000,0,0,0.0,1,2,0.5,2,5,7,4,1,0,4,2,5,3.1000000000000005,-8
2018-01-21,Capo d'Orlando,Pistoia,28.03287671232877,1,25,6,6,0.000,0,0,0.0,1,2,0.5,1,2,3,3,0,1,4,5,13,8.899999999999999,4
2018-01-28,Capo d'Orlando,Virtus Bologna,28.052054794520547,1,27,3,5,0.000,0,0,0.0,1,2,0.5,4,4,8,1,1,0,0,4,7,8.399999999999999,-25
2018-02-04,Capo d'Orlando,Milano,28.07123287671233,1,20,1,6,0.167,0,1,0.0,0,0,0.0,4,3,7,1,0,1,4,2,2,-1.4999999999999991,-22
2018-02-11,Capo d'Orlando,Reggio Emilia,28.09041095890411,1,16,4,7,0.000,0,0,0.0,0,0,0.0,2,3,5,0,0,0,2,4,8,3.4000000000000004,-10
2018-03-04,Varese,Pistoia,28.147945205479452,0,6,1,2,0.000,0,0,0.0,0,0,0.0,3,0,3,0,0,0,2,4,2,-0.5000000000000004,-6
2018-03-10,Varese,Trentino,28.164383561643834,0,12,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,4,0,-2.3,-7
2018-03-18,Varese,Avellino,28.186301369863013,0,22,1,3,0.000,0,0,0.0,1,2,0.5,2,3,5,0,1,1,1,3,3,2.7,1
2018-03-25,Varese,Sassari,28.205479452054796,0,10,3,3,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,4,6,3.5,6
2018-03-31,Varese,Pesaro,28.221917808219178,0,12,2,2,0.000,0,0,0.0,1,2,0.5,1,1,2,5,2,0,1,4,5,7.9,13
2018-04-08,Varese,Capo d'Orlando,28.243835616438357,0,18,2,3,0.000,0,0,0.0,2,4,0.5,1,8,9,0,2,0,0,4,6,7.4,11
2018-04-08,Avellino,Cremona,28.243835616438357,0,9,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-0.8,-9
2018-04-22,Varese,Virtus Bologna,28.28219178082192,0,9,0,1,0.000,0,0,0.0,0,0,0.0,0,3,3,0,1,0,2,2,0,-1.6,3
2018-04-29,Varese,Brindisi,28.301369863013697,0,7,1,1,0.000,0,0,0.0,0,0,0.0,1,0,1,1,0,0,1,3,2,0.8999999999999995,-7
2018-05-06,Varese,Cremona,28.32054794520548,0,9,0,1,0.000,0,0,0.0,1,2,0.5,3,3,6,0,0,0,0,1,1,2.4999999999999996,2
2018-05-09,Varese,Torino,28.328767123287673,0,13,0,1,0.000,0,0,0.0,1,2,0.5,2,1,3,1,0,0,1,5,1,-0.7000000000000002,-9
