date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-12-09,Pistoia,Pesaro,21.317808219178083,0,3,0,1,0.000,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-0.09999999999999998,2
2017-12-16,Pistoia,Sassari,21.336986301369862,0,7,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,0.6,12
2017-12-23,Pistoia,Trentino,21.356164383561644,0,7,1,1,1.000,1,1,1.0,0,0,0.0,1,0,1,1,0,0,0,1,3,3.7000000000000006,-5
2018-01-02,Pistoia,Virtus Bologna,21.383561643835616,0,6,2,3,0.667,2,2,1.0,0,0,0.0,0,0,0,0,0,0,0,1,6,4.3,-1
2018-01-07,Varese,Cremona,21.397260273972602,0,11,2,4,0.500,2,4,0.5,0,0,0.0,0,0,0,3,3,0,0,4,6,7.5,5
2018-01-08,Pistoia,Milano,21.4,0,5,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,2,0,-0.8,-7
2018-01-21,Pistoia,Capo d'Orlando,21.435616438356163,0,8,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,4,0,-2.0,4
2018-01-28,Pistoia,Brindisi,21.454794520547946,0,5,2,4,0.500,2,3,0.667,0,0,0.0,0,1,1,0,0,0,0,1,6,3.9,-6
2018-02-04,Pistoia,Cremona,21.473972602739725,0,2,0,0,0.000,0,0,0.0,2,2,1.0,0,0,0,0,1,0,0,0,2,3.0,4
2018-02-11,Pistoia,Avellino,21.493150684931507,0,8,1,3,0.333,1,3,0.333,0,0,0.0,0,3,3,0,0,0,0,2,3,1.4000000000000001,-9
2018-03-04,Pistoia,Varese,21.55068493150685,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-03-11,Pistoia,Cantù,21.56986301369863,0,3,1,3,0.333,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0.30000000000000027,0
2018-03-17,Pistoia,Reggio Emilia,21.586301369863016,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-6
2018-03-25,Pistoia,Venezia,21.60821917808219,0,6,2,2,1.000,2,2,1.0,0,0,0.0,0,0,0,2,0,0,0,0,6,6.800000000000001,5
2018-03-31,Pistoia,Torino,21.624657534246577,0,5,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,2,0,0,1,1,0,-1.1102230246251565e-16,-11
2018-04-08,Sassari,Brescia,21.646575342465752,0,6,1,3,0.333,0,1,0.0,2,2,1.0,1,0,1,0,0,0,0,1,4,2.600000000000001,-4
2018-04-08,Pistoia,Pesaro,21.646575342465752,0,5,1,1,1.000,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,3,3.0,1
2018-04-22,Pistoia,Trentino,21.684931506849317,0,4,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-1.5,-9
2018-04-29,Pistoia,Virtus Bologna,21.704109589041096,0,8,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,4,0,-0.6000000000000001,5
2018-05-06,Pistoia,Milano,21.723287671232878,0,12,1,3,0.333,0,2,0.0,0,0,0.0,1,0,1,2,1,0,1,4,2,0.7999999999999998,-15
2018-05-09,Pistoia,Brescia,21.731506849315068,0,8,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,2,1,0,1,1,0,1.3000000000000003,-2
