date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-02,Reggio Emilia,Avellino,24.493150684931507,1,31,3,13,0.231,0,5,0.0,4,4,1.0,0,2,2,2,4,0,2,0,10,6.1,-1
2017-10-08,Reggio Emilia,Pesaro,24.50958904109589,1,26,7,15,0.467,2,8,0.25,8,8,1.0,1,2,3,3,1,0,2,3,24,17.500000000000004,-5
2017-10-15,Reggio Emilia,Sassari,24.528767123287672,1,32,2,8,0.250,0,1,0.0,7,8,0.875,0,2,2,3,0,0,3,2,11,4.7,4
2017-10-22,Reggio Emilia,Capo d'Orlando,24.54794520547945,1,37,9,17,0.529,4,7,0.571,4,4,1.0,0,0,0,6,2,0,0,0,26,23.900000000000002,-10
2017-10-29,Reggio Emilia,Trentino,24.567123287671233,1,31,4,9,0.444,0,1,0.0,3,4,0.75,1,4,5,3,1,1,5,1,11,6.199999999999999,-19
2017-11-05,Reggio Emilia,Brescia,24.586301369863016,1,33,6,13,0.462,1,3,0.333,5,5,1.0,0,1,1,5,0,0,4,3,18,9.899999999999999,-1
2017-11-11,Reggio Emilia,Pistoia,24.602739726027398,1,30,5,9,0.556,1,3,0.333,7,7,1.0,2,3,5,4,4,0,2,0,18,20.8,22
2017-11-18,Reggio Emilia,Cremona,24.621917808219177,1,35,8,18,0.444,3,9,0.333,5,5,1.0,0,2,2,2,3,0,6,2,24,12.799999999999997,11
2017-12-03,Reggio Emilia,Milano,24.663013698630138,1,33,3,12,0.250,1,4,0.25,8,8,1.0,3,4,7,6,1,0,2,1,15,13.899999999999997,7
2017-12-16,Reggio Emilia,Varese,24.698630136986303,1,27,3,11,0.273,1,5,0.2,7,8,0.875,0,5,5,3,0,0,6,3,14,3.5,-1
2017-12-23,Reggio Emilia,Torino,24.71780821917808,1,28,1,6,0.167,1,4,0.25,0,0,0.0,0,5,5,4,1,1,2,2,3,2.4000000000000004,-13
2017-12-30,Reggio Emilia,Cantù,24.736986301369864,1,29,4,8,0.500,2,6,0.333,7,9,0.778,0,2,2,3,0,0,5,2,17,9.1,-12
2018-01-07,Brescia,Torino,24.758904109589043,1,29,2,8,0.250,0,3,0.0,2,2,1.0,0,1,1,3,1,0,4,0,6,0.5999999999999996,-14
2018-01-07,Reggio Emilia,Brindisi,24.758904109589043,1,34,5,13,0.385,1,5,0.2,4,4,1.0,0,2,2,3,0,0,3,2,15,6.799999999999999,1
2018-01-20,Reggio Emilia,Avellino,24.794520547945204,1,29,6,13,0.462,1,2,0.5,6,8,0.75,0,4,4,3,1,0,0,2,19,14.999999999999996,3
2018-01-27,Reggio Emilia,Pesaro,24.813698630136987,1,25,2,7,0.286,1,3,0.333,2,3,0.667,0,1,1,3,0,0,3,0,7,1.9000000000000004,-4
2018-02-04,Reggio Emilia,Sassari,24.835616438356166,1,24,4,12,0.333,0,1,0.0,2,3,0.667,1,2,3,0,1,0,3,0,10,2.1000000000000005,3
2018-02-11,Reggio Emilia,Capo d'Orlando,24.854794520547944,1,33,8,14,0.571,4,5,0.8,4,4,1.0,0,6,6,3,1,0,1,2,24,20.499999999999996,17
2018-03-03,Reggio Emilia,Trentino,24.90958904109589,1,32,6,15,0.400,1,6,0.167,5,6,0.833,0,2,2,2,0,0,1,3,18,9.299999999999997,-9
2018-03-31,Reggio Emilia,Milano,24.986301369863014,1,34,7,15,0.467,4,10,0.4,2,2,1.0,0,1,1,4,1,0,1,2,20,14.600000000000001,-10
2018-04-04,Reggio Emilia,Brescia,24.997260273972604,1,14,1,5,0.200,0,2,0.0,0,0,0.0,1,0,1,1,0,0,0,2,2,-0.5000000000000002,-11
2018-04-08,Cremona,Avellino,25.008219178082193,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-04-18,Reggio Emilia,Cremona,25.035616438356165,1,24,4,10,0.400,2,3,0.667,4,4,1.0,0,6,6,2,1,1,2,2,14,10.699999999999998,2
2018-04-23,Reggio Emilia,Torino,25.04931506849315,1,29,2,12,0.167,0,5,0.0,6,6,1.0,1,2,3,3,1,0,1,4,10,4.200000000000003,16
2018-04-29,Reggio Emilia,Cantù,25.065753424657533,1,35,9,19,0.474,5,10,0.5,5,6,0.833,0,3,3,1,2,0,3,4,28,16.900000000000002,-4
2018-05-06,Reggio Emilia,Brindisi,25.084931506849315,1,32,2,8,0.250,1,6,0.167,4,5,0.8,0,4,4,3,2,0,1,3,9,6.900000000000001,2
2018-05-09,Reggio Emilia,Virtus Bologna,25.09315068493151,1,23,1,9,0.111,1,6,0.167,3,3,1.0,0,2,2,3,0,0,0,4,6,1.2000000000000002,-7
