date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-12-23,Pistoia,Trentino,35.342465753424655,0,22,2,5,0.400,0,2,0.0,1,2,0.5,2,4,6,0,0,0,2,2,5,1.7000000000000002,-3
2018-01-02,Pistoia,Virtus Bologna,35.369863013698634,1,27,3,10,0.300,0,3,0.0,2,2,1.0,5,4,9,1,0,0,1,3,8,5.3999999999999995,-12
2018-01-07,Varese,Cremona,35.38356164383562,1,26,2,5,0.400,1,2,0.5,1,2,0.5,1,6,7,1,0,0,4,3,6,0.8999999999999995,-13
2018-01-08,Pistoia,Milano,35.38630136986301,1,26,1,5,0.200,1,2,0.5,0,0,0.0,0,4,4,1,0,0,2,2,3,-1.0000000000000002,-13
2018-01-21,Pistoia,Capo d'Orlando,35.42191780821918,1,29,4,11,0.364,1,4,0.25,2,4,0.5,1,7,8,0,3,0,2,1,11,7.5,7
2018-01-28,Pistoia,Brindisi,35.441095890410956,1,26,0,3,0.000,0,2,0.0,1,4,0.25,1,9,10,1,0,0,0,2,1,0.9999999999999998,-4
2018-02-04,Pistoia,Cremona,35.46027397260274,0,18,5,7,0.714,1,2,0.5,4,4,1.0,2,4,6,0,1,0,0,2,15,14.9,2
2018-02-11,Pistoia,Avellino,35.47945205479452,0,22,1,4,0.000,0,0,0.0,1,2,0.5,0,2,2,1,1,0,1,2,3,0.7,-25
2018-03-04,Pistoia,Varese,35.536986301369865,0,19,2,6,0.333,1,2,0.5,0,0,0.0,0,3,3,0,0,0,0,0,5,2.5000000000000004,7
2018-03-11,Pistoia,Cantù,35.556164383561644,1,24,2,4,0.500,1,2,0.5,0,0,0.0,0,2,2,1,0,0,1,4,5,1.6999999999999997,-28
2018-03-17,Pistoia,Reggio Emilia,35.57260273972603,0,22,4,8,0.500,3,5,0.6,0,0,0.0,1,3,4,2,0,0,1,3,11,7.800000000000001,9
