date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Cremona,Milano,35.61095890410959,1,20,0,5,0.000,0,4,0.0,0,0,0.0,1,1,2,5,1,0,3,0,0,-1.0,-12
2017-10-07,Cremona,Cantù,35.62739726027397,1,16,0,4,0.000,0,4,0.0,2,2,1.0,0,1,1,1,0,0,3,1,2,-3.1999999999999997,-24
2017-10-15,Cremona,Pistoia,35.64931506849315,0,21,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,3,2,0,1,0,4,6.1,-1
2017-10-21,Cremona,Venezia,35.66575342465754,0,10,0,2,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,2,1,0,-3.5,-24
2017-10-29,Cremona,Pesaro,35.68767123287671,0,16,0,3,0.000,0,3,0.0,0,0,0.0,0,3,3,1,1,0,0,0,0,0.5000000000000002,-8
2017-11-05,Cremona,Sassari,35.706849315068496,1,23,3,6,0.500,3,5,0.6,0,0,0.0,1,0,1,3,1,0,2,0,9,7.800000000000001,3
2017-11-12,Cremona,Torino,35.726027397260275,1,25,3,4,0.750,1,2,0.5,0,0,0.0,0,2,2,6,1,0,1,1,7,9.799999999999999,-6
2017-11-18,Cremona,Reggio Emilia,35.74246575342466,1,29,3,6,0.500,1,3,0.333,0,0,0.0,1,3,4,4,0,0,2,0,7,6.399999999999999,-9
2017-12-03,Cremona,Virtus Bologna,35.78356164383562,1,26,1,4,0.250,0,2,0.0,0,0,0.0,0,7,7,8,0,0,0,0,2,7.3,1
2017-12-10,Cremona,Avellino,35.8027397260274,0,25,1,5,0.200,1,3,0.333,0,0,0.0,3,3,6,5,1,0,1,1,3,5.999999999999999,16
2017-12-17,Cremona,Trentino,35.821917808219176,0,25,4,5,0.800,2,2,1.0,0,0,0.0,0,4,4,3,0,0,1,3,10,9.2,-10
2017-12-26,Cremona,Brindisi,35.846575342465755,0,23,4,7,0.571,3,5,0.6,0,1,0.0,1,0,1,2,0,0,2,0,11,7.4,-5
2018-01-02,Cremona,Brescia,35.865753424657534,0,25,3,7,0.429,3,4,0.75,0,0,0.0,1,5,6,4,0,0,1,1,9,8.9,15
2018-01-07,Trentino,Sassari,35.87945205479452,0,21,1,4,0.250,1,2,0.5,1,2,0.5,0,1,1,7,2,0,2,1,4,6.0,4
2018-01-07,Cremona,Varese,35.87945205479452,0,19,1,3,0.333,1,3,0.333,0,0,0.0,0,2,2,1,1,0,0,1,3,3.2000000000000006,12
2018-01-22,Cremona,Milano,35.92054794520548,0,17,2,3,0.667,0,1,0.0,2,2,1.0,1,2,3,1,1,0,0,1,6,7.3,0
2018-01-28,Cremona,Cantù,35.93698630136986,0,24,1,4,0.250,0,3,0.0,0,0,0.0,0,3,3,5,0,0,0,0,2,4.0,-3
2018-02-04,Cremona,Pistoia,35.95616438356164,0,24,0,2,0.000,0,1,0.0,2,2,1.0,1,1,2,6,5,0,1,2,2,8.999999999999998,-3
2018-02-11,Cremona,Venezia,35.97534246575343,1,21,1,2,0.000,0,0,0.0,0,0,0.0,0,0,0,2,1,0,0,1,2,3.0,-4
2018-03-04,Cremona,Pesaro,36.032876712328765,0,28,2,3,0.667,1,2,0.5,0,0,0.0,0,0,0,8,1,0,1,0,5,9.3,13
2018-03-11,Cremona,Sassari,36.05205479452055,0,18,1,2,0.000,0,0,0.0,3,4,0.75,1,1,2,3,2,0,4,1,5,4.299999999999999,-17
2018-03-18,Cremona,Torino,36.07123287671233,0,13,1,2,0.500,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,1.7,3
2018-03-31,Cremona,Virtus Bologna,36.106849315068494,0,17,0,2,0.000,0,1,0.0,0,0,0.0,2,1,3,6,1,0,0,0,0,5.499999999999999,12
2018-04-08,Cremona,Avellino,36.12876712328767,0,24,3,7,0.429,2,5,0.4,0,0,0.0,1,0,1,2,1,0,2,0,8,5.4,-21
2018-04-08,Milano,Torino,36.12876712328767,0,17,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,4,0,0,3,2,3,0.2999999999999998,-9
2018-04-18,Cremona,Reggio Emilia,36.156164383561645,0,23,5,8,0.625,2,4,0.5,3,3,1.0,0,1,1,3,2,0,1,1,15,14.4,-5
2018-04-22,Cremona,Brindisi,36.16712328767123,0,20,0,2,0.000,0,1,0.0,0,0,0.0,1,2,3,4,1,0,0,0,0,3.6999999999999997,18
2018-04-28,Cremona,Brescia,36.18356164383562,0,22,5,8,0.625,4,6,0.667,0,0,0.0,0,3,3,2,0,0,1,2,14,10.9,-13
2018-05-06,Cremona,Varese,36.205479452054796,0,28,1,2,0.500,1,2,0.5,0,0,0.0,0,5,5,5,2,0,0,1,3,8.6,-3
2018-05-09,Cremona,Capo d'Orlando,36.21369863013699,0,21,4,7,0.571,3,6,0.5,1,1,1.0,0,3,3,5,1,0,1,1,12,12.7,20
