date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Varese,Venezia,29.10958904109589,1,23,5,13,0.385,0,3,0.0,4,4,1.0,2,2,4,1,5,0,0,4,14,13.0,-3
2017-10-08,Varese,Milano,29.12876712328767,1,16,1,4,0.250,1,3,0.333,1,4,0.25,0,1,1,0,0,0,0,0,4,0.7000000000000004,-6
2017-10-16,Varese,Cantù,29.15068493150685,1,26,6,10,0.600,2,5,0.4,3,3,1.0,0,1,1,0,0,0,0,4,17,11.1,25
2017-10-23,Varese,Brescia,29.16986301369863,1,21,1,4,0.250,1,4,0.25,1,2,0.5,3,1,4,0,0,0,4,5,4,-2.4,-6
2017-10-29,Varese,Pistoia,29.186301369863013,1,16,0,4,0.000,0,2,0.0,2,2,1.0,2,2,4,0,1,0,0,2,2,1.4000000000000001,1
2017-11-04,Varese,Trentino,29.202739726027396,1,19,3,3,1.000,2,2,1.0,0,0,0.0,0,1,1,3,0,0,0,4,8,7.9,25
2017-11-12,Varese,Avellino,29.224657534246575,1,14,1,3,0.333,1,2,0.5,0,0,0.0,1,1,2,0,0,0,0,0,3,2.3,-11
2017-11-19,Varese,Sassari,29.243835616438357,1,23,3,9,0.333,0,3,0.0,0,0,0.0,0,0,0,0,1,0,0,2,6,1.1000000000000003,-12
2017-12-03,Varese,Pesaro,29.28219178082192,1,24,2,6,0.333,0,2,0.0,1,1,1.0,0,1,1,0,0,0,2,3,5,-1.2999999999999996,4
2017-12-10,Varese,Capo d'Orlando,29.301369863013697,0,29,6,10,0.600,2,4,0.5,0,2,0.0,1,5,6,1,2,0,1,2,14,11.699999999999996,23
2017-12-16,Varese,Reggio Emilia,29.317808219178083,0,32,4,6,0.667,1,3,0.333,0,0,0.0,0,3,3,0,0,0,0,4,9,5.700000000000001,-7
2017-12-26,Varese,Virtus Bologna,29.345205479452055,1,25,7,9,0.778,3,4,0.75,0,0,0.0,2,1,3,1,1,0,0,5,17,14.900000000000002,0
2018-01-02,Varese,Brindisi,29.364383561643837,1,26,2,8,0.250,2,6,0.333,2,2,1.0,0,3,3,3,0,0,0,1,8,5.800000000000001,2
2018-01-07,Varese,Cremona,29.378082191780823,1,27,3,7,0.429,0,2,0.0,5,5,1.0,0,0,0,2,0,0,0,4,11,7.1,-4
2018-01-07,Reggio Emilia,Brindisi,29.378082191780823,1,28,5,10,0.500,2,6,0.333,3,3,1.0,0,1,1,0,2,0,2,4,15,8.700000000000001,1
2018-01-21,Varese,Venezia,29.416438356164385,1,19,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,3,0,0,0,4,3,1.7999999999999998,2
2018-01-29,Varese,Milano,29.438356164383563,1,25,3,6,0.500,2,3,0.667,0,0,0.0,1,1,2,2,0,0,1,4,8,4.800000000000001,15
2018-02-05,Varese,Cantù,29.457534246575342,1,15,2,3,0.667,1,1,1.0,0,0,0.0,0,1,1,3,0,0,0,3,5,4.8999999999999995,-3
2018-02-11,Varese,Brescia,29.473972602739725,1,23,3,5,0.600,1,3,0.333,2,2,1.0,1,2,3,3,0,0,0,3,9,8.899999999999999,19
2018-03-04,Varese,Pistoia,29.53150684931507,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-03-10,Varese,Trentino,29.54794520547945,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.0,0
2018-03-18,Varese,Avellino,29.56986301369863,0,7,1,2,0.500,1,2,0.5,0,0,0.0,0,1,1,0,0,0,1,2,3,0.4999999999999998,2
2018-03-25,Varese,Sassari,29.589041095890412,0,14,3,5,0.600,1,2,0.5,2,2,1.0,1,1,2,1,1,0,0,2,9,8.599999999999998,7
2018-03-31,Varese,Pesaro,29.605479452054794,0,19,0,4,0.000,0,2,0.0,0,0,0.0,1,1,2,0,0,0,0,3,0,-3.0,-10
2018-04-08,Varese,Capo d'Orlando,29.627397260273973,0,15,1,5,0.200,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,-0.5000000000000001,-8
2018-04-08,Avellino,Cremona,29.627397260273973,0,22,2,2,0.000,0,0,0.0,3,4,0.75,2,1,3,0,0,0,1,4,7,5.1,2
2018-04-22,Varese,Virtus Bologna,29.665753424657535,0,8,1,2,0.500,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,0.0,-5
2018-04-29,Varese,Brindisi,29.684931506849317,0,7,0,3,0.000,0,0,0.0,0,0,0.0,1,2,3,1,0,0,0,3,0,-1.2999999999999998,-6
2018-05-06,Varese,Cremona,29.704109589041096,0,7,1,4,0.250,1,3,0.333,2,2,1.0,2,1,3,0,0,0,1,0,5,3.3,-9
2018-05-09,Varese,Torino,29.71232876712329,0,19,4,5,0.800,2,3,0.667,0,0,0.0,1,3,4,0,0,0,1,4,10,7.1,-7
