date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-02,Avellino,Reggio Emilia,26.186301369863013,1,23,4,10,0.400,1,6,0.167,0,1,0.0,0,2,2,1,0,0,1,2,9,2.7,-1
2017-10-08,Avellino,Brescia,26.202739726027396,1,30,3,6,0.500,2,5,0.4,2,2,1.0,0,0,0,8,1,0,2,3,10,10.399999999999999,-7
2017-10-14,Avellino,Torino,26.21917808219178,1,31,7,13,0.538,2,6,0.333,2,2,1.0,0,1,1,4,0,0,2,2,18,12.0,3
2017-10-22,Avellino,Pistoia,26.24109589041096,1,28,1,5,0.200,0,1,0.0,0,0,0.0,0,2,2,5,0,0,1,2,2,1.2000000000000002,-2
2017-10-28,Avellino,Cantù,26.257534246575343,1,26,4,9,0.444,1,4,0.25,0,0,0.0,0,2,2,6,1,0,4,1,9,5.6999999999999975,10
2017-11-05,Avellino,Brindisi,26.279452054794522,1,16,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,1,2,-0.3999999999999998,-25
2017-12-10,Avellino,Cremona,26.375342465753423,0,25,3,5,0.600,2,4,0.5,0,0,0.0,0,1,1,3,0,0,3,3,8,3.8999999999999977,-7
2017-12-17,Avellino,Pesaro,26.394520547945206,0,18,1,3,0.333,0,2,0.0,1,2,0.5,0,0,0,1,1,0,0,3,3,1.4000000000000004,1
2017-12-27,Avellino,Capo d'Orlando,26.421917808219177,0,21,4,7,0.571,1,4,0.25,0,0,0.0,0,0,0,2,2,0,4,3,9,3.8999999999999995,14
2018-01-02,Avellino,Sassari,26.438356164383563,0,22,6,9,0.667,3,5,0.6,3,4,0.75,0,1,1,1,0,0,2,5,18,10.699999999999998,-1
2018-01-07,Avellino,Virtus Bologna,26.45205479452055,0,22,6,12,0.500,4,7,0.571,2,2,1.0,0,4,4,6,0,0,1,2,18,15.599999999999998,18
2018-01-07,Capo d'Orlando,Cantù,26.45205479452055,0,14,0,4,0.000,0,3,0.0,2,2,1.0,0,1,1,3,1,0,0,1,2,2.1999999999999997,4
2018-01-20,Avellino,Reggio Emilia,26.487671232876714,0,18,3,5,0.600,3,4,0.75,2,2,1.0,0,0,0,3,1,0,2,3,11,8.599999999999998,-3
2018-01-28,Avellino,Brescia,26.50958904109589,0,12,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,1,0,0,1,2,0,-2.5,-17
2018-02-04,Avellino,Torino,26.528767123287672,0,18,2,5,0.400,1,3,0.333,0,0,0.0,1,2,3,5,2,0,1,3,5,6.8999999999999995,-2
2018-02-11,Avellino,Pistoia,26.54794520547945,0,23,3,5,0.600,1,3,0.333,0,1,0.0,0,2,2,8,4,0,3,2,7,10.699999999999998,19
2018-03-04,Avellino,Cantù,26.605479452054794,0,17,1,7,0.143,0,2,0.0,0,0,0.0,0,2,2,3,0,0,1,2,2,-1.5999999999999999,-1
2018-03-11,Avellino,Brindisi,26.624657534246577,0,18,7,9,0.778,4,4,1.0,0,0,0.0,0,1,1,1,1,0,2,2,18,13.7,13
2018-03-18,Avellino,Varese,26.643835616438356,0,19,3,4,0.750,3,3,1.0,0,0,0.0,0,3,3,0,0,0,2,3,9,5.099999999999999,-7
2018-03-25,Avellino,Milano,26.663013698630138,0,17,1,4,0.250,0,3,0.0,1,2,0.5,0,3,3,2,0,1,1,3,3,1.0,-7
2018-04-01,Avellino,Venezia,26.682191780821917,1,30,4,7,0.571,3,4,0.75,2,3,0.667,1,0,1,4,0,0,2,3,13,9.599999999999998,-11
2018-04-08,Avellino,Cremona,26.7013698630137,1,24,5,6,0.833,2,3,0.667,2,2,1.0,0,1,1,4,1,0,2,3,14,12.700000000000003,22
2018-04-08,Capo d'Orlando,Varese,26.7013698630137,1,21,5,5,1.000,2,2,1.0,0,0,0.0,0,1,1,2,1,0,0,0,12,13.200000000000001,13
2018-04-22,Avellino,Capo d'Orlando,26.73972602739726,1,21,2,6,0.333,1,3,0.333,0,0,0.0,0,2,2,2,2,0,0,2,5,4.800000000000002,13
2018-04-29,Avellino,Sassari,26.758904109589043,1,14,1,6,0.167,0,3,0.0,0,0,0.0,0,0,0,1,1,0,1,2,2,-1.8999999999999995,-19
2018-05-06,Avellino,Virtus Bologna,26.778082191780822,0,13,1,3,0.333,1,3,0.333,0,0,0.0,0,1,1,1,0,0,1,2,3,0.5000000000000002,-3
2018-05-09,Avellino,Trentino,26.786301369863015,0,11,1,4,0.250,1,4,0.25,0,0,0.0,0,0,0,0,0,0,0,0,3,0.6000000000000001,-6
