date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-09-30,Trentino,Virtus Bologna,21.5013698630137,0,13,0,4,0.000,0,1,0.0,0,0,0.0,0,2,2,1,0,0,1,1,0,-2.9,4
2017-10-08,Trentino,Venezia,21.523287671232875,0,25,3,9,0.333,1,3,0.333,5,5,1.0,0,1,1,1,1,0,0,3,12,7.699999999999998,1
2017-10-14,Trentino,Brescia,21.53972602739726,0,15,2,5,0.400,0,2,0.0,0,0,0.0,0,3,3,1,0,0,2,2,4,0.09999999999999964,-9
2017-10-22,Trentino,Cantù,21.56164383561644,0,22,4,7,0.571,2,4,0.5,2,6,0.333,1,1,2,2,2,0,3,2,12,7.699999999999999,-8
2017-10-29,Trentino,Reggio Emilia,21.58082191780822,0,16,3,6,0.500,1,2,0.5,0,0,0.0,0,0,0,1,0,0,1,1,7,3.3,16
2017-11-04,Trentino,Varese,21.5972602739726,1,24,4,8,0.500,2,6,0.333,3,4,0.75,1,0,1,2,0,0,2,3,13,7.5,-14
2017-11-11,Trentino,Milano,21.616438356164384,1,31,1,9,0.111,1,5,0.2,2,3,0.667,1,1,2,2,1,0,3,4,5,-2.4999999999999996,-16
2017-11-19,Trentino,Pesaro,21.638356164383563,1,28,4,8,0.500,2,4,0.5,3,3,1.0,0,2,2,3,1,1,0,2,13,12.599999999999998,4
2017-12-02,Trentino,Capo d'Orlando,21.673972602739727,1,22,3,8,0.375,1,4,0.25,0,2,0.0,0,2,2,1,0,0,0,2,7,2.3,3
2017-12-10,Trentino,Brindisi,21.695890410958903,0,13,0,3,0.000,0,1,0.0,2,2,1.0,0,1,1,2,0,0,1,0,2,0.6000000000000003,8
2017-12-17,Trentino,Cremona,21.715068493150685,0,18,5,7,0.714,3,3,1.0,1,1,1.0,0,0,0,2,0,0,1,1,14,11.100000000000001,6
2017-12-23,Trentino,Pistoia,21.731506849315068,0,18,2,4,0.500,1,2,0.5,4,4,1.0,0,1,1,3,0,0,1,0,9,8.4,5
2017-12-30,Trentino,Torino,21.75068493150685,0,22,3,8,0.375,2,5,0.4,0,0,0.0,0,0,0,2,1,0,1,3,8,3.8,-6
2018-01-07,Trentino,Sassari,21.77260273972603,0,24,3,8,0.375,1,2,0.5,1,2,0.5,0,2,2,2,3,0,1,3,8,5.999999999999999,2
2018-01-07,Cantù,Capo d'Orlando,21.77260273972603,0,24,4,11,0.364,0,3,0.0,1,2,0.5,0,3,3,1,3,0,0,1,9,6.7,2
2018-01-21,Trentino,Virtus Bologna,21.81095890410959,0,24,5,11,0.455,1,6,0.167,4,4,1.0,0,2,2,4,2,1,0,2,15,14.599999999999998,-3
2018-01-28,Trentino,Venezia,21.83013698630137,0,17,1,6,0.000,0,0,0.0,0,0,0.0,0,2,2,2,1,0,1,2,2,-0.5999999999999994,2
2018-02-04,Trentino,Brescia,21.84931506849315,0,25,4,12,0.333,3,8,0.375,3,5,0.6,0,0,0,0,1,1,0,2,14,7.300000000000002,2
2018-02-10,Trentino,Cantù,21.865753424657534,0,16,2,7,0.286,0,2,0.0,3,4,0.75,2,4,6,0,0,0,1,0,7,4.1000000000000005,0
2018-03-03,Trentino,Reggio Emilia,21.923287671232877,0,26,3,12,0.250,0,4,0.0,3,5,0.6,1,3,4,2,1,0,0,2,9,4.2,8
2018-03-10,Trentino,Varese,21.942465753424656,0,21,0,7,0.000,0,4,0.0,3,4,0.75,1,1,2,2,0,0,1,1,3,-1.2999999999999994,4
2018-03-17,Trentino,Milano,21.96164383561644,0,23,6,10,0.600,2,3,0.667,2,2,1.0,0,1,1,0,1,0,1,3,16,10.5,-8
2018-03-25,Trentino,Pesaro,21.983561643835618,0,19,1,7,0.143,0,2,0.0,2,2,1.0,0,1,1,0,1,0,2,2,4,-1.9999999999999991,13
2018-03-31,Trentino,Capo d'Orlando,22.0,0,23,4,8,0.500,2,5,0.4,3,5,0.6,0,2,2,1,2,0,3,2,13,7.6999999999999975,10
2018-04-08,Trentino,Brindisi,22.02191780821918,0,20,0,3,0.000,0,3,0.0,3,4,0.75,1,1,2,2,1,0,2,1,3,1.5,-1
2018-04-08,Torino,Milano,22.02191780821918,0,17,3,6,0.500,2,4,0.5,3,4,0.75,0,2,2,2,1,0,1,2,11,8.799999999999999,11
2018-04-22,Trentino,Pistoia,22.06027397260274,0,16,2,6,0.333,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,2,4,-0.8999999999999995,-7
2018-04-29,Trentino,Torino,22.07945205479452,0,21,4,7,0.571,4,5,0.8,1,2,0.5,0,3,3,1,5,0,0,0,13,15.899999999999999,9
2018-05-06,Trentino,Sassari,22.0986301369863,0,27,5,10,0.500,4,9,0.444,6,8,0.75,1,0,1,4,0,0,1,2,20,15.899999999999999,-3
2018-05-09,Trentino,Avellino,22.106849315068494,0,23,3,10,0.300,0,3,0.0,2,4,0.5,3,2,5,3,1,0,2,2,8,4.399999999999999,0
