date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-09-30,Trentino,Virtus Bologna,21.375342465753423,0,11,3,5,0.600,0,1,0.0,0,0,0.0,1,0,1,0,0,0,2,2,6,1.6000000000000005,-16
2017-10-08,Trentino,Venezia,21.397260273972602,0,14,2,3,0.667,2,2,1.0,2,4,0.5,0,1,1,1,1,0,0,1,8,7.500000000000001,-2
2017-10-14,Trentino,Brescia,21.413698630136988,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-10-22,Trentino,Cantù,21.435616438356163,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-10-29,Trentino,Reggio Emilia,21.454794520547946,0,17,4,6,0.667,0,1,0.0,1,1,1.0,0,1,1,0,2,1,0,2,9,8.599999999999998,22
2017-11-04,Trentino,Varese,21.471232876712328,0,17,1,6,0.167,1,3,0.333,2,2,1.0,0,0,0,0,0,0,0,1,5,0.800000000000001,-8
2017-11-11,Trentino,Milano,21.49041095890411,0,11,0,2,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.7999999999999998,-16
2017-11-19,Trentino,Pesaro,21.51232876712329,0,5,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,5
2017-12-02,Trentino,Capo d'Orlando,21.54794520547945,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-12-10,Trentino,Brindisi,21.56986301369863,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.0,-1
2017-12-17,Trentino,Cremona,21.589041095890412,0,5,1,1,1.000,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,2.7,9
2017-12-23,Trentino,Pistoia,21.605479452054794,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-4
2017-12-30,Trentino,Torino,21.624657534246577,0,10,0,1,0.000,0,0,0.0,1,2,0.5,1,1,2,0,1,0,0,1,1,1.5,-2
2018-01-07,Trentino,Sassari,21.646575342465752,0,5,1,2,0.000,0,0,0.0,3,6,0.5,3,0,3,0,0,0,0,0,5,4.8999999999999995,1
2018-01-07,Cantù,Capo d'Orlando,21.646575342465752,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-01-21,Trentino,Virtus Bologna,21.684931506849317,0,9,1,1,1.000,1,1,1.0,0,0,0.0,1,0,1,0,1,0,2,3,3,1.2000000000000002,0
2018-01-28,Trentino,Venezia,21.704109589041096,1,24,3,8,0.375,0,2,0.0,0,0,0.0,0,4,4,3,0,0,0,3,6,3.7,-2
2018-02-04,Trentino,Brescia,21.723287671232878,0,11,2,2,1.000,1,1,1.0,0,0,0.0,0,1,1,2,0,0,1,2,5,4.3,9
2018-02-10,Trentino,Cantù,21.73972602739726,0,4,1,3,0.333,1,2,0.5,0,0,0.0,1,1,2,1,0,0,0,0,3,3.0,0
2018-03-03,Trentino,Reggio Emilia,21.797260273972604,0,11,3,7,0.429,1,1,1.0,0,0,0.0,1,1,2,0,1,0,0,2,7,4.5,7
2018-03-10,Trentino,Varese,21.816438356164383,0,15,4,5,0.800,3,4,0.75,2,3,0.667,0,3,3,3,1,1,0,2,13,14.599999999999998,13
2018-03-17,Trentino,Milano,21.835616438356166,0,8,0,3,0.000,0,2,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0,-0.6999999999999997,0
2018-03-25,Trentino,Pesaro,21.857534246575344,0,13,0,4,0.000,0,2,0.0,0,0,0.0,1,0,1,2,0,0,1,1,0,-2.0999999999999996,1
2018-03-31,Trentino,Capo d'Orlando,21.873972602739727,0,6,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-0.39999999999999997,0
2018-04-08,Trentino,Brindisi,21.895890410958906,0,4,0,2,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.7999999999999998,7
2018-04-08,Torino,Milano,21.895890410958906,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-04-22,Trentino,Pistoia,21.934246575342467,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-04-29,Trentino,Torino,21.953424657534246,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-05-06,Trentino,Sassari,21.972602739726028,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-05-09,Trentino,Avellino,21.980821917808218,0,9,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,4
