date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Torino,Brindisi,28.92876712328767,1,27,4,13,0.308,1,3,0.333,1,2,0.5,0,3,3,7,0,0,0,1,10,7.499999999999999,6
2017-10-07,Torino,Sassari,28.945205479452056,1,33,4,10,0.400,2,3,0.667,3,4,0.75,1,3,4,11,0,0,2,2,13,13.7,17
2017-10-14,Torino,Avellino,28.964383561643835,1,25,2,7,0.000,0,0,0.0,0,0,0.0,0,0,0,3,3,0,2,1,4,2.5999999999999996,-9
2017-10-22,Torino,Pesaro,28.986301369863014,1,31,2,7,0.286,1,3,0.333,5,6,0.833,0,2,2,6,1,0,2,1,10,8.9,10
2017-10-29,Torino,Capo d'Orlando,29.005479452054796,1,29,4,12,0.333,0,3,0.0,3,4,0.75,2,2,4,7,6,0,3,4,11,12.1,7
2017-11-05,Torino,Venezia,29.024657534246575,1,29,7,12,0.583,2,5,0.4,3,5,0.6,2,1,3,3,2,0,1,2,19,16.600000000000005,-6
2017-11-12,Torino,Cremona,29.043835616438358,1,29,5,8,0.625,0,1,0.0,3,4,0.75,2,2,4,10,1,1,1,3,13,17.5,6
2017-11-19,Torino,Cantù,29.063013698630137,1,19,1,10,0.100,1,4,0.25,0,0,0.0,0,1,1,6,0,1,1,1,3,0.19999999999999885,-14
2017-12-03,Torino,Pistoia,29.101369863013698,1,27,10,17,0.588,1,3,0.333,2,3,0.667,0,2,2,3,1,0,5,4,23,11.799999999999997,-6
2017-12-10,Torino,Milano,29.12054794520548,1,32,1,9,0.111,1,4,0.25,0,0,0.0,1,3,4,5,3,0,4,2,3,0.39999999999999947,17
2017-12-17,Torino,Virtus Bologna,29.13972602739726,1,37,6,16,0.375,1,3,0.333,2,2,1.0,1,2,3,2,1,0,6,2,15,3.0999999999999996,-5
2017-12-23,Torino,Reggio Emilia,29.156164383561645,1,28,2,7,0.286,0,1,0.0,0,0,0.0,1,2,3,6,1,0,2,0,4,4.3999999999999995,33
2017-12-30,Torino,Trentino,29.175342465753424,1,21,3,10,0.300,0,5,0.0,1,2,0.5,0,4,4,1,0,0,5,2,7,-3.1000000000000005,-32
2018-01-07,Brindisi,Reggio Emilia,29.197260273972603,1,35,8,14,0.571,2,5,0.4,0,0,0.0,2,3,5,5,0,0,3,3,18,13.000000000000004,0
2018-01-07,Torino,Brescia,29.197260273972603,1,27,4,12,0.333,4,6,0.667,2,4,0.5,0,1,1,3,1,0,1,4,14,7.200000000000001,6
2018-01-21,Torino,Brindisi,29.235616438356164,1,29,5,10,0.500,2,4,0.5,0,0,0.0,0,0,0,4,1,0,2,1,12,8.4,-13
2018-01-27,Torino,Sassari,29.252054794520546,1,33,4,14,0.286,2,5,0.4,2,2,1.0,2,1,3,9,3,0,2,1,12,12.4,-4
2018-02-04,Torino,Avellino,29.273972602739725,1,35,7,20,0.350,0,5,0.0,2,3,0.667,2,2,4,3,1,0,0,1,16,9.1,-14
2018-02-11,Torino,Pesaro,29.293150684931508,1,27,8,10,0.800,2,2,1.0,4,4,1.0,0,0,0,3,1,0,3,2,22,17.499999999999996,7
2018-03-04,Torino,Capo d'Orlando,29.350684931506848,1,28,4,15,0.267,0,5,0.0,3,4,0.75,0,3,3,7,0,0,1,2,11,5.699999999999999,8
2018-03-11,Torino,Venezia,29.36986301369863,1,36,9,18,0.500,1,3,0.333,6,7,0.857,2,1,3,4,1,0,2,0,25,19.1,-6
2018-03-18,Torino,Cremona,29.389041095890413,1,27,8,11,0.727,3,4,0.75,3,4,0.75,1,2,3,2,2,0,3,3,22,17.6,-15
2018-03-25,Torino,Cantù,29.40821917808219,1,35,6,22,0.273,2,10,0.2,0,0,0.0,1,4,5,10,2,0,6,4,14,4.300000000000001,-4
2018-03-31,Torino,Pistoia,29.424657534246574,1,31,6,12,0.500,0,2,0.0,7,8,0.875,2,4,6,5,2,0,3,1,19,17.3,-6
2018-04-07,Virtus Bologna,Cantù,29.443835616438356,1,31,2,12,0.167,0,5,0.0,3,4,0.75,0,3,3,4,0,0,3,0,7,-0.29999999999999893,3
2018-04-08,Torino,Milano,29.446575342465753,1,29,9,17,0.529,2,7,0.286,0,1,0.0,0,4,4,7,1,0,1,2,20,16.6,-4
2018-04-23,Torino,Reggio Emilia,29.487671232876714,1,25,7,11,0.636,2,4,0.5,1,2,0.5,0,2,2,5,1,0,1,4,17,14.200000000000001,3
2018-04-29,Torino,Trentino,29.504109589041096,1,31,6,15,0.400,3,4,0.75,0,0,0.0,1,5,6,9,1,0,3,0,15,13.399999999999999,5
2018-05-06,Torino,Brescia,29.523287671232875,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-05-09,Torino,Varese,29.53150684931507,1,27,5,13,0.385,3,6,0.5,0,0,0.0,1,3,4,6,1,0,2,0,13,10.7,5
