date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Cremona,Milano,26.041095890410958,0,3,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.7999999999999998,-4
2017-10-07,Cremona,Cantù,26.057534246575344,0,9,1,3,0.333,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,1,2,1.3000000000000003,-7
2017-10-15,Cremona,Pistoia,26.07945205479452,0,11,2,4,0.500,0,1,0.0,0,0,0.0,1,2,3,1,0,0,0,3,4,2.8,21
2017-10-21,Cremona,Venezia,26.095890410958905,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-13
2017-10-29,Cremona,Pesaro,26.117808219178084,0,20,2,7,0.286,0,3,0.0,0,0,0.0,0,1,1,1,0,0,0,3,4,-0.2999999999999998,3
2017-11-05,Cremona,Sassari,26.136986301369863,0,8,1,1,1.000,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,1,3,2.9000000000000004,2
2017-11-12,Cremona,Torino,26.156164383561645,0,3,1,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.7,5
2017-11-18,Cremona,Reggio Emilia,26.172602739726027,0,7,2,2,1.000,1,1,1.0,0,0,0.0,1,1,2,0,1,0,1,0,5,5.4,7
2017-12-03,Cremona,Virtus Bologna,26.213698630136985,0,8,1,2,0.500,0,1,0.0,1,2,0.5,0,1,1,0,0,0,0,2,3,1.1,0
2017-12-10,Cremona,Avellino,26.232876712328768,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-12-17,Cremona,Trentino,26.252054794520546,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-12-26,Cremona,Brindisi,26.276712328767122,0,4,0,2,0.000,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-2.4,-4
2018-01-02,Cremona,Brescia,26.295890410958904,0,17,0,0,0.000,0,0,0.0,0,0,0.0,3,4,7,1,0,0,0,1,0,3.6,10
2018-01-07,Trentino,Sassari,26.30958904109589,0,18,4,5,0.800,1,2,0.5,1,2,0.5,2,3,5,0,1,1,1,4,10,9.1,13
2018-01-07,Cremona,Varese,26.30958904109589,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-01-22,Cremona,Milano,26.350684931506848,0,5,0,2,0.000,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,2,0,-1.6,-2
2018-01-28,Cremona,Cantù,26.367123287671234,0,5,0,2,0.000,0,0,0.0,1,2,0.5,0,3,3,1,0,0,1,2,1,-1.0,7
2018-02-04,Cremona,Pistoia,26.386301369863013,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,0,0,-2.0,-8
2018-02-11,Cremona,Venezia,26.405479452054795,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-03-04,Cremona,Pesaro,26.46301369863014,0,24,3,4,0.750,1,2,0.5,0,0,0.0,4,8,12,2,1,0,0,1,7,12.6,22
2018-03-11,Cremona,Sassari,26.482191780821918,1,10,0,0,0.000,0,0,0.0,0,0,0.0,1,3,4,1,0,0,1,1,0,0.8999999999999999,5
2018-03-18,Cremona,Torino,26.5013698630137,0,17,2,3,0.667,1,2,0.5,2,2,1.0,2,2,4,1,0,1,2,2,7,6.299999999999997,7
2018-03-31,Cremona,Virtus Bologna,26.536986301369865,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-04-08,Cremona,Avellino,26.55890410958904,0,10,2,4,0.500,1,2,0.5,0,0,0.0,2,0,2,1,1,0,1,0,5,5.1000000000000005,-10
2018-04-08,Milano,Torino,26.55890410958904,0,5,0,0,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,1,0,0.6,-8
2018-04-18,Cremona,Reggio Emilia,26.586301369863016,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-04-22,Cremona,Brindisi,26.5972602739726,0,6,0,0,0.000,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,1,0,1.2000000000000002,6
2018-04-28,Cremona,Brescia,26.613698630136987,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-05-06,Cremona,Varese,26.635616438356166,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-05-09,Cremona,Capo d'Orlando,26.643835616438356,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,1,0,0.29999999999999993,3
