date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-09-30,Trentino,Virtus Bologna,32.43561643835616,1,17,1,4,0.250,0,2,0.0,0,0,0.0,0,3,3,1,1,0,0,1,2,1.8000000000000003,-11
2017-10-08,Trentino,Venezia,32.45753424657534,1,28,2,6,0.333,0,3,0.0,2,2,1.0,0,5,5,1,2,0,0,0,6,6.800000000000001,-5
2017-10-14,Trentino,Brescia,32.47397260273973,1,25,1,3,0.333,1,3,0.333,0,0,0.0,1,5,6,0,0,1,1,0,3,3.2,-7
2017-10-22,Trentino,Cantù,32.49589041095891,1,30,5,11,0.455,2,6,0.333,3,4,0.75,1,7,8,2,1,0,2,2,15,11.299999999999999,-3
2017-10-29,Trentino,Reggio Emilia,32.515068493150686,1,18,3,7,0.429,1,4,0.25,0,0,0.0,0,3,3,1,0,1,1,1,7,4.199999999999999,-4
2017-11-04,Trentino,Varese,32.53150684931507,1,25,1,9,0.111,0,6,0.0,0,2,0.0,2,2,4,1,1,2,1,0,2,-0.6000000000000003,-19
2017-11-11,Trentino,Milano,32.55068493150685,1,34,2,7,0.286,1,4,0.25,0,0,0.0,2,3,5,0,0,0,1,0,5,2.2,-19
2017-11-19,Trentino,Pesaro,32.57260273972603,1,28,3,9,0.333,1,6,0.167,2,2,1.0,0,4,4,2,0,0,0,1,9,6.1,3
2017-12-02,Trentino,Capo d'Orlando,32.608219178082194,1,31,3,9,0.333,1,6,0.167,0,0,0.0,4,5,9,0,0,0,0,0,7,6.199999999999999,-16
2017-12-10,Trentino,Brindisi,32.63013698630137,1,28,7,11,0.636,2,5,0.4,0,0,0.0,1,4,5,0,1,1,1,3,16,12.5,3
2017-12-17,Trentino,Cremona,32.64931506849315,1,27,2,8,0.250,2,6,0.333,0,2,0.0,1,5,6,0,0,0,0,2,6,1.8,-4
2017-12-23,Trentino,Pistoia,32.66575342465753,1,28,4,9,0.444,3,5,0.6,3,4,0.75,1,0,1,2,0,0,0,2,14,10.2,4
2017-12-30,Trentino,Torino,32.68493150684932,1,25,8,12,0.667,2,5,0.4,2,5,0.4,0,6,6,1,0,1,0,2,20,16.0,19
2018-01-07,Trentino,Sassari,32.706849315068496,1,28,2,8,0.250,0,4,0.0,0,0,0.0,1,3,4,0,0,0,1,0,4,-0.19999999999999996,-17
2018-01-07,Cantù,Capo d'Orlando,32.706849315068496,1,31,3,7,0.429,2,5,0.4,3,5,0.6,1,2,3,0,0,0,2,3,11,4.6,-6
2018-01-21,Trentino,Virtus Bologna,32.74520547945205,1,28,1,6,0.167,0,3,0.0,0,0,0.0,0,5,5,0,0,1,1,1,2,-0.9999999999999994,-5
2018-01-28,Trentino,Venezia,32.76438356164383,0,23,2,3,0.667,1,1,1.0,1,2,0.5,0,3,3,0,0,0,0,0,6,5.199999999999999,9
2018-02-04,Trentino,Brescia,32.78356164383562,0,21,2,5,0.400,2,3,0.667,2,2,1.0,2,5,7,0,2,0,2,3,8,7.0,15
2018-02-10,Trentino,Cantù,32.8,0,18,2,3,0.667,2,3,0.667,0,0,0.0,0,4,4,0,0,1,2,0,6,4.6000000000000005,16
2018-03-03,Trentino,Reggio Emilia,32.85753424657534,0,17,4,7,0.571,3,5,0.6,0,0,0.0,0,3,3,0,0,0,2,1,11,6.199999999999999,-3
2018-03-10,Trentino,Varese,32.87671232876713,0,28,6,13,0.462,5,8,0.625,3,3,1.0,1,7,8,1,2,0,0,1,20,18.4,13
2018-03-17,Trentino,Milano,32.895890410958906,0,30,4,9,0.444,4,6,0.667,0,0,0.0,1,6,7,1,1,0,0,1,12,11.1,-9
2018-03-25,Trentino,Pesaro,32.917808219178085,0,24,4,9,0.444,2,6,0.333,1,2,0.5,0,6,6,0,0,1,1,2,11,6.599999999999999,24
2018-03-31,Trentino,Capo d'Orlando,32.93424657534246,0,22,6,7,0.857,4,5,0.8,0,0,0.0,1,3,4,1,2,0,0,0,16,17.8,35
2018-04-08,Trentino,Brindisi,32.95616438356164,0,28,6,12,0.500,3,7,0.429,1,3,0.333,1,6,7,3,2,0,1,1,16,14.399999999999999,5
2018-04-08,Torino,Milano,32.95616438356164,0,29,4,9,0.444,1,5,0.2,3,3,1.0,0,2,2,1,0,2,2,4,12,6.4,12
2018-04-22,Trentino,Pistoia,32.99452054794521,0,30,6,13,0.462,3,6,0.5,1,1,1.0,1,7,8,0,1,0,0,1,16,12.699999999999998,21
2018-04-29,Trentino,Torino,33.013698630136986,0,30,2,9,0.222,0,4,0.0,6,8,0.75,0,5,5,3,1,0,1,0,10,7.300000000000001,11
2018-05-06,Trentino,Sassari,33.032876712328765,0,23,3,6,0.500,1,3,0.333,0,0,0.0,1,3,4,0,1,0,2,2,7,3.8,-7
2018-05-09,Trentino,Avellino,33.04109589041096,0,24,2,8,0.250,0,3,0.0,3,3,1.0,0,5,5,1,1,0,0,0,7,5.4,-10
