date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Varese,Venezia,29.136986301369863,0,15,5,8,0.000,0,0,0.0,2,2,1.0,1,1,2,0,0,0,2,2,12,6.6,-16
2017-10-08,Varese,Milano,29.156164383561645,0,24,5,10,0.500,2,3,0.667,1,2,0.5,3,5,8,1,1,0,1,1,13,11.499999999999998,5
2017-10-16,Varese,Cantù,29.17808219178082,0,15,2,6,0.000,0,0,0.0,1,1,1.0,1,3,4,0,0,0,2,0,5,1.2000000000000006,6
2017-10-23,Varese,Brescia,29.197260273972603,0,19,5,7,0.714,2,2,1.0,0,0,0.0,4,1,5,1,1,0,5,1,12,8.500000000000002,-3
2017-10-29,Varese,Pistoia,29.213698630136985,0,24,2,6,0.333,1,2,0.5,0,0,0.0,2,4,6,1,1,0,0,1,5,5.5,7
2017-11-04,Varese,Trentino,29.23013698630137,0,20,4,8,0.500,1,4,0.25,1,1,1.0,0,0,0,1,1,1,2,4,10,4.800000000000001,5
2017-11-12,Varese,Avellino,29.252054794520546,0,26,6,9,0.667,1,2,0.5,2,2,1.0,1,5,6,2,1,0,2,2,15,12.899999999999997,7
2017-11-19,Varese,Sassari,29.27123287671233,0,11,0,3,0.000,0,2,0.0,2,2,1.0,1,2,3,0,0,0,1,1,2,-0.19999999999999984,-4
2017-12-03,Varese,Pesaro,29.30958904109589,0,14,3,7,0.429,1,4,0.25,0,0,0.0,3,2,5,0,1,0,1,1,7,5.599999999999999,-6
2017-12-10,Varese,Capo d'Orlando,29.328767123287673,1,10,0,4,0.000,0,3,0.0,0,0,0.0,1,4,5,0,0,0,1,0,0,-1.8999999999999997,-2
2017-12-16,Varese,Reggio Emilia,29.345205479452055,1,3,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,1,2,1,0,-2.1,-3
2018-01-02,Varese,Brindisi,29.39178082191781,0,11,0,2,0.000,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,3,0,-2.3,-6
