date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Venezia,Varese,31.34246575342466,0,17,2,3,0.667,1,2,0.5,0,0,0.0,1,2,3,1,0,1,2,1,5,4.0,0
2017-10-08,Venezia,Trentino,31.361643835616437,0,19,0,4,0.000,0,2,0.0,0,0,0.0,0,0,0,0,1,0,1,3,0,-4.0,-15
2017-10-14,Venezia,Brindisi,31.378082191780823,0,14,2,7,0.286,1,4,0.25,0,0,0.0,2,2,4,1,1,1,0,3,5,4.1000000000000005,1
2017-10-21,Venezia,Cremona,31.397260273972602,0,20,1,3,0.333,1,3,0.333,4,6,0.667,1,2,3,4,2,0,0,2,7,9.8,8
2017-10-29,Venezia,Virtus Bologna,31.41917808219178,0,13,4,7,0.571,1,3,0.333,0,0,0.0,0,2,2,0,0,0,1,2,9,4.5,-10
2017-11-05,Venezia,Torino,31.438356164383563,0,14,2,7,0.286,1,3,0.333,0,0,0.0,0,2,2,1,1,0,1,1,5,1.8000000000000003,-11
2017-11-11,Venezia,Cantù,31.454794520547946,0,14,1,5,0.200,1,3,0.333,2,2,1.0,0,0,0,1,0,0,0,3,5,1.4000000000000004,-2
2017-11-18,Venezia,Pistoia,31.473972602739725,1,11,3,5,0.600,1,2,0.5,0,0,0.0,1,1,2,2,1,1,1,2,7,6.999999999999999,-6
2017-12-17,Venezia,Brescia,31.553424657534247,0,12,1,4,0.250,0,3,0.0,0,0,0.0,0,0,0,2,0,0,0,1,2,0.6,-11
2018-01-21,Venezia,Varese,31.649315068493152,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-1.1,0
2018-01-28,Venezia,Trentino,31.66849315068493,0,7,0,3,0.000,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,2,0,-1.8999999999999997,-6
2018-03-04,Venezia,Virtus Bologna,31.764383561643836,0,14,1,5,0.200,0,3,0.0,1,3,0.333,0,1,1,0,0,0,0,2,3,-1.4000000000000001,2
2018-03-11,Venezia,Torino,31.78356164383562,1,31,6,13,0.462,3,8,0.375,0,0,0.0,2,3,5,6,1,0,1,2,15,13.999999999999998,11
2018-03-18,Venezia,Cantù,31.802739726027397,1,22,4,8,0.500,2,5,0.4,0,0,0.0,2,6,8,3,1,0,1,3,10,10.099999999999998,14
2018-03-25,Venezia,Pistoia,31.82191780821918,1,18,5,8,0.625,3,6,0.5,1,2,0.5,0,1,1,2,0,0,1,5,14,8.700000000000001,-7
2018-04-01,Venezia,Avellino,31.84109589041096,1,19,1,5,0.200,0,2,0.0,1,1,1.0,0,1,1,3,0,0,1,2,3,0.49999999999999933,5
2018-04-08,Reggio Emilia,Venezia,31.86027397260274,1,13,1,6,0.167,0,3,0.0,0,0,0.0,1,0,1,2,0,0,1,1,2,-1.0999999999999996,2
2018-04-22,Venezia,Sassari,31.898630136986302,0,9,0,3,0.000,0,2,0.0,0,0,0.0,0,3,3,1,0,0,1,1,0,-1.9,-1
2018-05-09,Venezia,Milano,31.945205479452056,1,25,5,7,0.714,2,4,0.5,4,5,0.8,2,1,3,4,2,0,0,2,16,18.400000000000002,5
