date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-01-08,Milano,Pistoia,28.24109589041096,1,24,3,16,0.188,1,6,0.167,2,2,1.0,2,5,7,0,2,2,0,2,9,4.5,6
2018-01-08,Pistoia,Milano,28.24109589041096,1,12,1,7,0.143,0,3,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,-1.4999999999999996,0
2018-01-22,Milano,Cremona,28.279452054794522,1,28,7,12,0.583,0,3,0.0,5,5,1.0,3,6,9,4,0,0,3,2,19,16.3,8
2018-02-04,Milano,Capo d'Orlando,28.315068493150687,1,17,5,12,0.417,1,2,0.5,2,2,1.0,3,1,4,2,1,0,0,1,13,11.000000000000002,21
2018-02-11,Milano,Brindisi,28.334246575342465,1,18,2,4,0.500,1,2,0.5,3,4,0.75,1,4,5,1,1,0,3,1,8,5.799999999999999,9
2018-03-04,Milano,Sassari,28.39178082191781,0,22,4,9,0.444,3,5,0.6,5,6,0.833,0,2,2,2,1,0,0,1,16,13.5,12
2018-03-11,Milano,Virtus Bologna,28.410958904109588,1,15,3,7,0.429,1,4,0.25,0,0,0.0,0,2,2,1,1,0,2,2,7,2.8000000000000007,2
2018-03-17,Milano,Trentino,28.427397260273974,1,16,0,2,0.000,0,2,0.0,0,0,0.0,0,1,1,1,0,0,2,3,0,-3.6,-2
2018-03-25,Milano,Avellino,28.44931506849315,1,16,2,7,0.286,1,4,0.25,0,1,0.0,0,0,0,0,0,0,2,1,5,-1.8999999999999997,-4
2018-03-31,Milano,Reggio Emilia,28.465753424657535,1,17,0,2,0.000,0,2,0.0,0,0,0.0,0,1,1,3,0,0,0,0,0,0.9999999999999998,-4
2018-04-08,Milano,Torino,28.487671232876714,1,6,0,3,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-3.1999999999999997,0
2018-04-08,Pistoia,Pesaro,28.487671232876714,0,18,3,7,0.429,2,4,0.5,2,2,1.0,1,5,6,2,1,0,2,4,10,7.300000000000001,2
2018-04-22,Milano,Brescia,28.526027397260275,0,9,1,5,0.200,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,1,2,-0.9000000000000001,-5
2018-04-29,Milano,Pesaro,28.545205479452054,1,17,0,6,0.000,0,4,0.0,0,0,0.0,0,2,2,2,0,0,1,0,0,-3.1999999999999993,-7
2018-05-06,Milano,Pistoia,28.564383561643837,1,23,3,8,0.375,1,5,0.2,2,2,1.0,0,2,2,2,0,0,1,4,9,4.0,16
2018-05-09,Milano,Venezia,28.572602739726026,1,17,3,5,0.600,1,3,0.333,0,0,0.0,1,1,2,0,0,1,3,1,7,2.999999999999999,-9
