date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Brindisi,Torino,25.46027397260274,1,28,4,7,0.571,1,3,0.333,0,1,0.0,3,9,12,2,3,1,2,2,9,12.399999999999999,1
2017-10-09,Brindisi,Pistoia,25.482191780821918,1,29,3,8,0.375,0,1,0.0,2,10,0.2,3,6,9,1,1,2,3,4,8,2.799999999999999,-13
2017-10-14,Brindisi,Venezia,25.495890410958904,1,32,5,12,0.417,1,3,0.333,2,4,0.5,6,12,18,1,1,1,4,4,13,10.399999999999999,3
2017-10-22,Brindisi,Milano,25.517808219178082,1,31,8,12,0.667,3,5,0.6,2,2,1.0,2,8,10,0,0,1,1,3,21,18.099999999999998,-11
2017-10-29,Brindisi,Brescia,25.536986301369865,1,28,5,11,0.455,0,1,0.0,3,3,1.0,5,11,16,0,0,0,2,4,13,10.500000000000002,-10
2017-11-05,Brindisi,Avellino,25.556164383561644,1,37,8,14,0.571,3,6,0.5,5,8,0.625,4,5,9,1,0,2,2,3,24,19.4,7
2017-11-12,Brindisi,Pesaro,25.575342465753426,1,21,5,9,0.556,2,5,0.4,2,2,1.0,2,6,8,0,0,1,4,5,14,7.599999999999998,11
2017-11-19,Brindisi,Virtus Bologna,25.594520547945205,1,27,3,10,0.300,0,2,0.0,2,3,0.667,2,10,12,0,0,2,1,2,8,5.8,-2
2017-12-03,Brindisi,Sassari,25.632876712328766,1,27,3,9,0.333,1,4,0.25,6,6,1.0,0,5,5,0,0,0,2,2,13,6.599999999999998,-17
2017-12-10,Brindisi,Trentino,25.65205479452055,1,32,10,16,0.625,1,4,0.25,2,3,0.667,0,4,4,3,0,1,6,3,23,12.200000000000003,-1
2017-12-16,Brindisi,Capo d'Orlando,25.66849315068493,1,30,6,13,0.462,1,3,0.333,2,3,0.667,2,4,6,0,2,2,4,4,15,8.299999999999999,1
2017-12-26,Brindisi,Cremona,25.695890410958903,1,28,8,10,0.000,0,0,0.0,6,6,1.0,2,2,4,1,0,2,5,5,22,15.299999999999997,-8
2018-01-02,Brindisi,Varese,25.715068493150685,1,39,9,15,0.600,2,5,0.4,3,4,0.75,1,10,11,2,0,1,2,2,23,18.7,12
2018-01-07,Brindisi,Reggio Emilia,25.72876712328767,1,30,4,7,0.000,0,0,0.0,5,6,0.833,1,8,9,0,0,3,5,4,13,7.899999999999999,5
2018-01-07,Avellino,Virtus Bologna,25.72876712328767,1,34,9,18,0.500,0,3,0.0,4,4,1.0,1,11,12,0,0,0,2,1,22,14.600000000000001,5
2018-01-21,Brindisi,Torino,25.767123287671232,1,31,7,12,0.583,0,1,0.0,1,1,1.0,0,7,7,1,0,1,3,4,15,8.3,31
2018-01-28,Brindisi,Pistoia,25.786301369863015,1,32,3,9,0.333,0,2,0.0,6,10,0.6,5,7,12,0,1,2,1,1,12,11.899999999999999,19
2018-02-04,Brindisi,Venezia,25.805479452054794,1,35,6,12,0.500,0,2,0.0,3,6,0.5,1,13,14,0,2,2,4,4,15,10.200000000000001,-5
