date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-05,Pistoia,Capo d'Orlando,22.263013698630136,0,17,1,3,0.000,0,0,0.0,2,2,1.0,1,1,2,2,2,0,1,3,4,4.500000000000001,11
2017-10-09,Pistoia,Brindisi,22.273972602739725,0,12,3,3,0.000,0,0,0.0,0,0,0.0,0,4,4,1,0,0,1,1,6,5.6000000000000005,11
2017-10-15,Pistoia,Cremona,22.29041095890411,0,14,1,2,0.000,0,0,0.0,2,2,1.0,1,4,5,0,0,0,2,1,4,2.5,-19
2017-10-22,Pistoia,Avellino,22.30958904109589,0,12,2,4,0.000,0,0,0.0,0,0,0.0,0,2,2,0,1,0,2,4,4,0.0,-11
2017-10-29,Pistoia,Varese,22.328767123287673,0,17,2,8,0.250,1,3,0.333,2,2,1.0,0,1,1,1,1,0,0,3,7,3.0,-4
2017-11-04,Pistoia,Cantù,22.345205479452055,1,23,2,9,0.222,1,2,0.5,3,3,1.0,2,0,2,2,1,0,3,5,8,1.3000000000000007,-4
2017-11-11,Pistoia,Reggio Emilia,22.364383561643837,0,20,4,4,0.000,0,0,0.0,0,0,0.0,0,1,1,0,1,0,2,1,8,5.699999999999999,-24
2017-11-18,Pistoia,Venezia,22.383561643835616,0,26,3,7,0.000,0,0,0.0,1,2,0.5,1,1,2,1,2,0,0,1,7,6.199999999999999,2
2017-12-03,Pistoia,Torino,22.424657534246574,0,16,1,2,0.000,0,0,0.0,0,0,0.0,0,2,2,0,1,0,2,3,2,-0.6000000000000001,-3
2018-01-07,Varese,Cremona,22.52054794520548,0,4,1,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,2,0.2999999999999998,-7
2018-01-08,Pistoia,Milano,22.523287671232875,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-01-21,Pistoia,Capo d'Orlando,22.55890410958904,0,21,6,14,0.429,0,3,0.0,0,0,0.0,3,3,6,3,0,0,0,3,12,8.5,15
2018-01-28,Pistoia,Brindisi,22.578082191780823,0,10,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,0,1,0,1,3,2,-0.5999999999999999,-15
2018-02-04,Pistoia,Cremona,22.5972602739726,0,14,1,7,0.143,0,3,0.0,2,2,1.0,0,2,2,1,2,0,1,3,4,0.6000000000000005,-2
2018-02-11,Pistoia,Avellino,22.616438356164384,0,12,2,4,0.500,1,1,1.0,2,2,1.0,0,0,0,0,2,0,1,1,7,5.6,-4
2018-03-04,Pistoia,Varese,22.673972602739727,1,18,4,7,0.571,2,4,0.5,1,1,1.0,1,3,4,2,1,0,1,3,11,9.5,-1
2018-03-11,Pistoia,Cantù,22.693150684931506,0,22,6,8,0.750,0,1,0.0,1,3,0.333,2,1,3,2,3,0,2,4,13,11.500000000000002,-12
2018-03-17,Pistoia,Reggio Emilia,22.709589041095892,1,22,6,9,0.667,1,3,0.333,2,3,0.667,0,1,1,0,2,0,0,1,15,12.599999999999998,3
2018-03-25,Pistoia,Venezia,22.731506849315068,0,27,2,5,0.000,0,0,0.0,1,1,1.0,0,2,2,1,1,0,0,2,5,3.8,-5
2018-03-31,Pistoia,Torino,22.747945205479454,0,19,0,1,0.000,0,0,0.0,6,6,1.0,1,4,5,2,1,0,2,2,6,6.799999999999999,0
2018-04-08,Sassari,Brescia,22.76986301369863,1,17,2,4,0.500,1,2,0.5,1,2,0.5,2,3,5,2,2,0,2,4,6,5.700000000000001,-10
2018-04-08,Pistoia,Pesaro,22.76986301369863,0,18,1,3,0.333,0,2,0.0,2,2,1.0,0,4,4,0,0,0,2,3,4,0.3000000000000007,-12
2018-04-22,Pistoia,Trentino,22.808219178082194,1,22,4,7,0.000,0,0,0.0,0,0,0.0,2,4,6,2,0,0,1,2,8,6.8999999999999995,-6
2018-04-29,Pistoia,Virtus Bologna,22.827397260273973,0,15,2,8,0.250,0,2,0.0,2,2,1.0,1,4,5,0,0,0,0,3,6,1.9,-6
2018-05-06,Pistoia,Milano,22.846575342465755,0,19,1,4,0.000,0,0,0.0,1,2,0.5,0,5,5,1,1,0,1,3,3,1.2000000000000002,-11
2018-05-09,Pistoia,Brescia,22.854794520547944,0,22,4,9,0.444,0,2,0.0,6,6,1.0,2,4,6,1,1,1,2,2,14,11.499999999999998,-14
