date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-03-04,Avellino,Cantù,31.424657534246574,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-03-11,Avellino,Brindisi,31.443835616438356,0,14,1,4,0.000,0,0,0.0,1,4,0.25,2,5,7,2,1,1,1,2,3,3.5999999999999996,8
2018-03-18,Avellino,Varese,31.46301369863014,0,7,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,0,-0.7000000000000001,-10
2018-03-25,Avellino,Milano,31.482191780821918,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-04-01,Avellino,Venezia,31.5013698630137,0,19,3,4,0.000,0,0,0.0,1,2,0.5,4,6,10,2,0,0,4,4,7,5.399999999999999,-5
2018-04-08,Avellino,Cremona,31.52054794520548,0,14,3,5,0.000,0,0,0.0,0,2,0.0,4,3,7,0,1,2,0,4,6,7.4,5
2018-04-08,Capo d'Orlando,Varese,31.52054794520548,0,23,2,7,0.000,0,0,0.0,0,0,0.0,8,6,14,5,1,1,3,3,4,8.3,15
2018-04-22,Avellino,Capo d'Orlando,31.55890410958904,0,26,2,6,0.333,0,1,0.0,3,3,1.0,4,9,13,0,0,1,1,1,7,8.399999999999999,-6
2018-04-29,Avellino,Sassari,31.578082191780823,0,23,2,3,0.000,0,0,0.0,0,0,0.0,2,3,5,6,1,1,3,3,4,6.699999999999999,-13
2018-05-06,Avellino,Virtus Bologna,31.5972602739726,0,16,1,3,0.000,0,0,0.0,2,2,1.0,2,2,4,0,1,1,1,3,4,3.8000000000000007,1
2018-05-09,Avellino,Trentino,31.605479452054794,0,22,0,0,0.000,0,0,0.0,0,0,0.0,1,4,5,1,0,0,5,2,0,-3.2,6
