date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-02,Avellino,Reggio Emilia,32.1013698630137,1,28,2,4,0.500,1,3,0.333,3,4,0.75,0,4,4,3,3,0,4,4,8,6.300000000000001,0
2017-10-08,Avellino,Brescia,32.11780821917808,1,31,6,9,0.667,4,5,0.8,0,0,0.0,2,6,8,5,1,0,3,0,16,16.799999999999997,-2
2017-10-14,Avellino,Torino,32.134246575342466,1,28,5,8,0.625,1,4,0.25,2,2,1.0,1,4,5,2,1,0,4,1,13,9.299999999999999,6
2017-10-22,Avellino,Pistoia,32.156164383561645,1,32,1,4,0.250,0,1,0.0,0,0,0.0,1,9,10,2,0,0,3,3,2,0.20000000000000018,6
2017-10-28,Avellino,Cantù,32.17260273972603,1,23,6,8,0.750,3,4,0.75,2,2,1.0,1,5,6,3,1,0,0,1,17,18.700000000000003,1
2017-11-05,Avellino,Brindisi,32.1945205479452,1,38,3,5,0.600,1,3,0.333,0,0,0.0,1,8,9,1,2,0,0,4,7,8.899999999999999,-12
2017-11-12,Avellino,Varese,32.21369863013699,1,26,2,4,0.500,2,3,0.667,0,0,0.0,2,4,6,2,0,0,2,2,6,5.2,3
2017-11-19,Avellino,Milano,32.23287671232877,1,40,3,6,0.500,2,4,0.5,1,1,1.0,0,10,10,8,2,0,1,4,9,14.000000000000002,11
2017-12-02,Avellino,Venezia,32.26849315068493,1,34,3,5,0.600,0,2,0.0,0,0,0.0,2,10,12,6,0,1,1,2,6,11.199999999999998,17
2017-12-10,Avellino,Cremona,32.29041095890411,1,26,5,12,0.417,2,9,0.222,0,0,0.0,2,4,6,1,0,0,1,1,12,7.5,2
2017-12-17,Avellino,Pesaro,32.30958904109589,1,35,3,9,0.333,1,5,0.2,0,0,0.0,3,7,10,5,1,1,4,3,7,6.099999999999998,11
2017-12-27,Avellino,Capo d'Orlando,32.33698630136986,1,20,4,5,0.800,1,2,0.5,3,3,1.0,1,4,5,4,0,0,1,0,12,13.799999999999997,15
2018-01-02,Avellino,Sassari,32.35342465753425,1,34,2,7,0.286,1,4,0.25,0,0,0.0,2,3,5,4,0,0,1,2,5,4.2,3
2018-01-07,Avellino,Virtus Bologna,32.367123287671234,1,27,0,2,0.000,0,1,0.0,0,0,0.0,0,9,9,9,1,0,2,2,0,5.8,22
2018-01-07,Capo d'Orlando,Cantù,32.367123287671234,1,28,2,5,0.400,2,4,0.5,2,3,0.667,0,5,5,2,0,0,1,2,8,6.000000000000001,9
2018-01-20,Avellino,Reggio Emilia,32.4027397260274,1,23,1,4,0.250,1,3,0.333,0,0,0.0,0,2,2,1,0,0,2,2,3,-0.8999999999999999,1
2018-01-28,Avellino,Brescia,32.42465753424658,1,34,4,11,0.364,2,8,0.25,5,7,0.714,2,3,5,5,0,0,0,2,15,13.100000000000001,-1
2018-02-04,Avellino,Torino,32.443835616438356,1,28,2,4,0.500,2,4,0.5,2,2,1.0,0,9,9,5,0,0,1,2,8,10.4,14
2018-02-11,Avellino,Pistoia,32.463013698630135,1,18,3,4,0.750,3,4,0.75,0,1,0.0,1,3,4,5,1,0,0,1,9,12.7,13
2018-03-04,Avellino,Cantù,32.52054794520548,1,27,1,2,0.500,1,2,0.5,0,0,0.0,2,7,9,6,1,0,5,5,3,3.6999999999999993,-6
2018-03-11,Avellino,Brindisi,32.53972602739726,1,25,4,4,1.000,1,1,1.0,0,0,0.0,0,5,5,3,0,0,4,2,9,6.6,13
2018-03-18,Avellino,Varese,32.558904109589044,1,31,4,5,0.800,1,2,0.5,0,0,0.0,2,4,6,7,1,0,2,4,9,11.999999999999998,0
2018-03-25,Avellino,Milano,32.57808219178082,1,31,0,4,0.000,0,4,0.0,2,3,0.667,0,7,7,8,0,0,2,0,2,4.5,-3
2018-04-01,Avellino,Venezia,32.5972602739726,1,28,0,2,0.000,0,2,0.0,0,0,0.0,0,3,3,2,1,0,2,2,0,-0.9000000000000001,-13
2018-04-08,Avellino,Cremona,32.61643835616439,1,32,3,3,1.000,1,1,1.0,0,0,0.0,1,9,10,5,1,0,4,3,7,8.8,32
2018-04-08,Capo d'Orlando,Varese,32.61643835616439,1,16,3,6,0.500,0,2,0.0,0,1,0.0,1,2,3,1,2,0,0,1,6,6.2,15
2018-04-22,Avellino,Capo d'Orlando,32.654794520547945,1,28,1,1,1.000,1,1,1.0,0,0,0.0,1,5,6,5,1,0,1,0,3,8.4,-10
2018-04-29,Avellino,Sassari,32.673972602739724,1,25,1,3,0.333,1,1,1.0,0,0,0.0,1,4,5,2,1,0,0,2,3,4.8,-14
2018-05-06,Avellino,Virtus Bologna,32.69315068493151,1,24,2,8,0.250,1,4,0.25,0,0,0.0,1,6,7,0,1,0,2,4,5,0.10000000000000009,1
2018-05-09,Avellino,Trentino,32.701369863013696,1,34,4,7,0.571,2,5,0.4,3,4,0.75,0,8,8,8,0,1,3,2,13,14.199999999999996,18
