date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-05,Pistoia,Capo d'Orlando,30.4986301369863,0,16,2,4,0.000,0,0,0.0,0,0,0.0,1,2,3,0,0,2,0,1,4,4.3,7
2017-10-09,Pistoia,Brindisi,30.50958904109589,1,13,1,2,0.000,0,0,0.0,0,0,0.0,0,1,1,1,0,1,2,5,2,-1.2999999999999998,10
2017-10-15,Pistoia,Cremona,30.526027397260275,0,13,1,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,1,2,-0.7000000000000002,9
2017-10-22,Pistoia,Avellino,30.545205479452054,0,8,1,1,0.000,0,0,0.0,0,0,0.0,2,0,2,0,0,0,3,3,2,-1.1000000000000005,-9
2017-10-29,Pistoia,Varese,30.564383561643837,0,14,1,3,0.000,0,0,0.0,4,4,1.0,3,3,6,1,0,1,1,2,6,6.8999999999999995,-10
2017-11-04,Pistoia,Cantù,30.58082191780822,0,9,0,0,0.000,0,0,0.0,2,2,1.0,1,3,4,0,0,0,1,2,2,1.7999999999999998,-10
2017-11-11,Pistoia,Reggio Emilia,30.6,0,19,0,2,0.000,0,0,0.0,2,2,1.0,2,4,6,0,0,1,0,2,2,3.1000000000000005,-11
2017-11-18,Pistoia,Venezia,30.61917808219178,0,25,2,2,0.000,0,0,0.0,3,4,0.75,3,4,7,4,0,1,0,3,7,11.599999999999998,-2
2017-12-03,Pistoia,Torino,30.66027397260274,0,13,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,3,4,0,-3.9000000000000004,-10
2017-12-09,Pistoia,Pesaro,30.676712328767124,0,6,1,1,0.000,0,0,0.0,1,2,0.5,2,1,3,0,0,0,1,3,3,1.7999999999999998,-8
2017-12-16,Pistoia,Sassari,30.695890410958903,1,10,1,1,0.000,0,0,0.0,0,0,0.0,1,0,1,1,0,0,2,5,2,-0.9000000000000004,-5
2017-12-23,Pistoia,Trentino,30.715068493150685,0,5,0,1,0.000,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,1,0,0.6,2
2018-01-02,Pistoia,Virtus Bologna,30.742465753424657,0,9,0,1,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,2,0,-1.8,6
2018-01-07,Varese,Cremona,30.756164383561643,0,13,2,3,0.000,0,0,0.0,0,0,0.0,2,2,4,0,1,1,0,1,4,5.999999999999999,-6
2018-01-08,Pistoia,Milano,30.758904109589043,0,8,0,0,0.000,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,2,0,-0.20000000000000007,-6
2018-01-21,Pistoia,Capo d'Orlando,30.794520547945204,0,23,6,9,0.000,0,0,0.0,3,3,1.0,2,6,8,1,0,0,2,3,15,11.799999999999997,23
2018-01-28,Pistoia,Brindisi,30.813698630136987,0,7,0,2,0.000,0,0,0.0,0,0,0.0,0,2,2,1,0,0,2,0,0,-2.1,-4
2018-02-04,Pistoia,Cremona,30.83287671232877,0,10,1,2,0.000,0,0,0.0,0,0,0.0,2,2,4,0,0,0,1,2,2,1.2000000000000002,0
2018-02-11,Pistoia,Avellino,30.852054794520548,0,16,3,5,0.000,0,0,0.0,0,1,0.0,3,3,6,1,0,0,0,0,6,7.000000000000001,2
2018-03-04,Pistoia,Varese,30.90958904109589,0,12,1,3,0.000,0,0,0.0,1,2,0.5,4,2,6,0,1,1,0,2,3,5.2,5
2018-03-11,Pistoia,Cantù,30.92876712328767,0,8,0,0,0.000,0,0,0.0,3,4,0.75,2,1,3,1,1,1,0,4,3,5.1,-8
2018-03-17,Pistoia,Reggio Emilia,30.945205479452056,0,10,1,2,0.000,0,0,0.0,0,0,0.0,3,1,4,0,1,0,1,3,2,2.1999999999999993,11
2018-03-25,Pistoia,Venezia,30.96712328767123,0,15,3,5,0.600,0,1,0.0,1,2,0.5,1,2,3,0,0,0,0,2,7,4.799999999999999,5
2018-03-31,Pistoia,Torino,30.983561643835618,0,14,2,2,0.000,0,0,0.0,2,2,1.0,1,0,1,0,1,0,2,1,6,4.7,-13
2018-04-08,Sassari,Brescia,31.005479452054796,0,12,2,4,0.000,0,0,0.0,1,2,0.5,0,0,0,0,0,0,1,3,5,0.3999999999999999,-8
2018-04-08,Pistoia,Pesaro,31.005479452054796,0,11,2,2,0.000,0,0,0.0,3,3,1.0,2,2,4,0,2,1,2,2,7,8.299999999999999,-3
2018-04-22,Pistoia,Trentino,31.043835616438358,0,13,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,1,1,1,0,-0.4,-1
2018-04-29,Pistoia,Virtus Bologna,31.063013698630137,0,10,2,2,0.000,0,0,0.0,1,1,1.0,3,1,4,2,0,0,2,1,5,5.799999999999999,-1
