date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Torino,Brindisi,28.704109589041096,1,24,6,7,0.000,0,0,0.0,2,5,0.4,1,7,8,1,1,0,4,4,14,9.2,15
2017-10-07,Torino,Sassari,28.720547945205478,1,24,5,6,0.000,0,0,0.0,3,4,0.75,7,1,8,4,1,0,0,3,13,18.200000000000003,0
2017-10-14,Torino,Avellino,28.73972602739726,1,22,4,6,0.000,0,0,0.0,0,2,0.0,1,1,2,0,0,1,0,2,8,5.500000000000001,-6
2017-10-22,Torino,Pesaro,28.76164383561644,1,23,5,9,0.000,0,0,0.0,0,0,0.0,1,6,7,0,2,1,2,3,10,7.699999999999999,2
2017-10-29,Torino,Capo d'Orlando,28.78082191780822,1,27,4,4,0.000,0,0,0.0,6,6,1.0,2,3,5,0,0,0,1,1,14,13.700000000000001,9
2017-11-05,Torino,Venezia,28.8,1,33,8,11,0.000,0,0,0.0,1,2,0.5,3,5,8,1,1,1,0,3,17,16.9,15
2017-11-12,Torino,Cremona,28.81917808219178,1,26,10,14,0.000,0,0,0.0,1,2,0.5,5,4,9,0,0,1,2,3,21,17.0,20
2017-11-19,Torino,Cantù,28.838356164383562,1,18,1,4,0.000,0,0,0.0,5,6,0.833,2,4,6,0,0,0,1,4,7,4.199999999999999,-10
2017-12-03,Torino,Pistoia,28.876712328767123,1,25,5,8,0.000,0,0,0.0,0,0,0.0,3,5,8,0,0,2,0,2,10,10.6,-15
2017-12-10,Torino,Milano,28.895890410958906,1,22,6,7,0.000,0,0,0.0,3,6,0.5,6,2,8,0,0,1,2,3,15,13.600000000000001,5
2017-12-17,Torino,Virtus Bologna,28.915068493150685,1,24,3,5,0.000,0,0,0.0,6,8,0.75,0,5,5,1,1,0,2,5,12,8.099999999999998,0
2017-12-23,Torino,Reggio Emilia,28.93150684931507,1,22,5,7,0.000,0,0,0.0,6,6,1.0,3,8,11,0,1,1,3,2,16,15.5,13
2017-12-30,Torino,Trentino,28.95068493150685,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-02-04,Torino,Avellino,29.04931506849315,0,24,4,7,0.000,0,0,0.0,3,3,1.0,5,4,9,0,0,0,2,2,11,9.599999999999998,0
2018-02-11,Torino,Pesaro,29.068493150684933,1,22,5,9,0.000,0,0,0.0,5,6,0.833,2,4,6,1,1,0,1,3,15,12.399999999999999,2
2018-03-04,Torino,Capo d'Orlando,29.126027397260273,1,28,4,4,0.000,0,0,0.0,6,11,0.545,3,7,10,1,1,0,3,3,14,12.5,17
2018-03-11,Torino,Venezia,29.145205479452056,1,27,4,6,0.000,0,0,0.0,7,8,0.875,6,9,15,0,0,1,1,2,15,17.8,6
2018-03-18,Torino,Cremona,29.164383561643834,1,23,4,5,0.800,1,2,0.5,3,4,0.75,6,2,8,1,1,0,2,4,12,12.6,-15
2018-03-25,Torino,Cantù,29.183561643835617,1,24,6,8,0.000,0,0,0.0,0,2,0.0,2,3,5,0,0,2,2,4,12,8.100000000000001,-7
2018-03-31,Torino,Pistoia,29.2,1,21,4,4,0.000,0,0,0.0,1,2,0.5,1,6,7,1,0,1,3,2,9,7.4999999999999964,-15
2018-04-07,Virtus Bologna,Cantù,29.21917808219178,1,24,4,5,0.000,0,0,0.0,5,5,1.0,5,0,5,3,2,1,2,1,13,17.000000000000004,3
2018-04-08,Torino,Milano,29.221917808219178,1,25,5,8,0.000,0,0,0.0,2,4,0.5,6,2,8,0,0,2,1,2,12,12.0,-17
2018-04-23,Torino,Reggio Emilia,29.263013698630136,1,27,7,9,0.000,0,0,0.0,5,5,1.0,1,3,4,1,1,0,0,3,19,17.599999999999998,2
2018-04-29,Torino,Trentino,29.279452054794522,1,30,6,6,0.000,0,0,0.0,2,2,1.0,2,7,9,0,0,0,4,3,14,10.5,16
2018-05-06,Torino,Brescia,29.2986301369863,1,29,4,9,0.000,0,0,0.0,2,2,1.0,2,8,10,0,1,0,1,5,10,7.1,13
2018-05-09,Torino,Varese,29.306849315068494,1,27,2,5,0.000,0,0,0.0,2,4,0.5,4,4,8,1,0,3,0,2,6,8.5,4
