date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Pesaro,Brescia,24.51232876712329,0,22,1,6,0.167,1,2,0.5,3,4,0.75,0,0,0,2,1,0,1,3,6,2.000000000000001,1
2017-10-08,Pesaro,Reggio Emilia,24.53150684931507,0,18,3,7,0.429,2,3,0.667,3,4,0.75,0,1,1,0,1,0,2,3,11,4.999999999999999,-8
2017-10-14,Pesaro,Virtus Bologna,24.54794520547945,0,31,4,8,0.500,1,5,0.2,2,2,1.0,0,3,3,3,3,0,1,2,11,11.2,-2
2017-10-22,Pesaro,Torino,24.56986301369863,0,12,0,1,0.000,0,0,0.0,1,2,0.5,0,0,0,2,0,0,1,1,1,-0.1000000000000002,-9
2017-10-29,Pesaro,Cremona,24.589041095890412,0,17,0,5,0.000,0,3,0.0,1,2,0.5,0,0,0,1,0,0,2,3,1,-5.4,5
2017-11-05,Pesaro,Capo d'Orlando,24.60821917808219,0,22,1,7,0.143,1,6,0.167,0,0,0.0,1,0,1,2,0,0,1,2,3,-1.1999999999999997,-10
2017-11-12,Pesaro,Brindisi,24.627397260273973,0,21,1,6,0.167,1,4,0.25,0,2,0.0,1,2,3,2,0,0,1,4,3,-1.4999999999999996,6
2017-11-19,Pesaro,Trentino,24.646575342465752,1,24,1,5,0.200,0,2,0.0,1,2,0.5,0,0,0,2,2,0,0,3,3,1.6999999999999997,-14
2017-12-03,Pesaro,Varese,24.684931506849317,0,16,2,4,0.500,0,1,0.0,0,2,0.0,1,1,2,0,1,0,0,1,4,2.8,-6
2017-12-09,Pesaro,Pistoia,24.7013698630137,0,9,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,5,0,0,1,1,0,2.4,6
2017-12-17,Pesaro,Avellino,24.723287671232878,0,15,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,3,0,-1.2000000000000002,-1
2017-12-26,Pesaro,Cantù,24.747945205479454,0,26,4,7,0.571,1,3,0.333,4,6,0.667,0,2,2,1,2,1,0,1,13,12.499999999999996,-14
2018-01-02,Pesaro,Milano,24.767123287671232,0,19,1,2,0.500,0,1,0.0,2,4,0.5,0,0,0,2,2,0,2,2,4,2.8,-6
2018-01-07,Venezia,Pesaro,24.78082191780822,0,6,1,3,0.000,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,2,0.30000000000000027,0
2018-01-07,Pesaro,Venezia,24.78082191780822,0,23,5,11,0.455,0,3,0.0,2,4,0.5,0,3,3,2,2,0,2,0,12,7.800000000000001,10
2018-01-21,Pesaro,Brescia,24.81917808219178,0,17,2,4,0.500,0,2,0.0,0,0,0.0,0,1,1,2,2,0,1,2,4,3.8999999999999995,-2
2018-01-27,Pesaro,Reggio Emilia,24.835616438356166,0,23,6,8,0.750,3,4,0.75,2,2,1.0,0,0,0,2,5,0,1,2,17,18.399999999999995,-3
2018-02-03,Pesaro,Virtus Bologna,24.854794520547944,0,22,2,5,0.400,1,4,0.25,0,0,0.0,0,0,0,3,0,0,2,3,5,1.1999999999999993,-17
2018-02-11,Pesaro,Torino,24.876712328767123,0,26,1,8,0.125,1,4,0.25,0,0,0.0,0,2,2,9,3,0,1,4,3,5.1,-2
2018-03-04,Pesaro,Cremona,24.934246575342467,0,13,1,2,0.500,0,1,0.0,0,0,0.0,1,3,4,0,1,0,1,1,2,2.1999999999999997,3
2018-03-11,Pesaro,Capo d'Orlando,24.953424657534246,0,4,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-0.39999999999999997,-9
2018-03-18,Pesaro,Brindisi,24.972602739726028,0,6,0,0,0.000,0,0,0.0,1,2,0.5,0,0,0,2,1,0,1,0,1,2.0,-5
2018-03-25,Pesaro,Trentino,24.991780821917807,0,24,2,10,0.200,2,8,0.25,0,0,0.0,0,2,2,3,0,0,1,4,6,-0.10000000000000053,-10
2018-03-31,Pesaro,Varese,25.008219178082193,0,19,1,3,0.333,0,1,0.0,0,0,0.0,2,0,2,3,1,0,1,3,2,2.5999999999999996,-26
2018-04-08,Varese,Capo d'Orlando,25.03013698630137,0,10,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,2,0,0,-1.3,-15
2018-04-08,Pesaro,Pistoia,25.03013698630137,0,21,3,6,0.500,1,4,0.25,3,5,0.6,0,1,1,4,4,0,2,2,10,10.5,9
2018-04-22,Pesaro,Cantù,25.068493150684933,0,20,1,4,0.250,0,2,0.0,0,0,0.0,0,2,2,3,0,1,3,2,2,-0.7999999999999998,3
2018-04-29,Pesaro,Milano,25.087671232876712,0,19,0,3,0.000,0,1,0.0,0,0,0.0,0,1,1,3,0,0,1,1,0,-1.1,-3
2018-05-06,Pesaro,Venezia,25.106849315068494,0,17,1,7,0.143,0,3,0.0,2,2,1.0,1,2,3,1,0,0,2,0,4,-0.4999999999999991,-6
2018-05-09,Pesaro,Sassari,25.115068493150684,0,25,3,7,0.429,0,3,0.0,0,5,0.0,0,0,0,4,1,0,1,2,6,2.3000000000000007,-23
