date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-02,Reggio Emilia,Avellino,21.572602739726026,1,16,1,2,0.500,1,2,0.5,0,0,0.0,0,0,0,0,0,0,2,1,3,-0.3999999999999999,-6
2017-10-08,Reggio Emilia,Pesaro,21.589041095890412,1,16,2,4,0.500,0,2,0.0,0,0,0.0,0,1,1,1,1,0,0,3,4,2.8,-3
2017-10-15,Reggio Emilia,Sassari,21.60821917808219,1,14,2,4,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,4,1.7000000000000002,0
2017-10-22,Reggio Emilia,Capo d'Orlando,21.627397260273973,1,23,4,9,0.444,1,5,0.2,0,0,0.0,1,0,1,1,0,0,0,1,9,5.3,1
2017-10-29,Reggio Emilia,Trentino,21.646575342465752,1,28,5,11,0.455,3,6,0.5,5,5,1.0,1,1,2,1,1,0,2,3,18,11.8,-17
2017-11-05,Reggio Emilia,Brescia,21.665753424657535,0,20,1,4,0.250,1,4,0.25,1,2,0.5,1,0,1,0,0,0,1,2,4,0.10000000000000053,-11
2017-11-11,Reggio Emilia,Pistoia,21.682191780821917,0,14,2,4,0.500,2,4,0.5,0,0,0.0,0,1,1,2,3,0,0,2,6,7.8999999999999995,8
2017-11-18,Reggio Emilia,Cremona,21.7013698630137,0,18,1,3,0.333,1,2,0.5,3,3,1.0,1,2,3,0,0,0,1,0,6,4.6000000000000005,-9
2017-12-03,Reggio Emilia,Milano,21.742465753424657,0,12,1,1,1.000,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,1,3,2.3000000000000003,-6
2017-12-09,Reggio Emilia,Venezia,21.758904109589043,0,17,3,10,0.300,0,3,0.0,0,0,0.0,2,0,2,0,1,0,0,0,6,2.6,4
2017-12-16,Reggio Emilia,Varese,21.778082191780822,0,16,2,4,0.500,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,2,5,2.2,7
2017-12-23,Reggio Emilia,Torino,21.797260273972604,0,23,2,7,0.286,1,5,0.2,1,2,0.5,0,0,0,1,1,0,3,2,6,-0.5999999999999996,-17
2017-12-30,Reggio Emilia,Cantù,21.816438356164383,0,14,0,2,0.000,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,1,0,-0.8,13
2018-01-07,Brescia,Torino,21.838356164383562,0,24,2,7,0.286,1,4,0.25,2,2,1.0,0,4,4,0,0,0,1,1,7,2.7000000000000006,-4
2018-01-07,Reggio Emilia,Brindisi,21.838356164383562,0,8,0,4,0.000,0,3,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-3.1999999999999997,-11
2018-01-20,Reggio Emilia,Avellino,21.873972602739727,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-6
2018-01-27,Reggio Emilia,Pesaro,21.893150684931506,0,21,7,8,0.875,4,5,0.8,0,0,0.0,0,1,1,0,1,0,1,3,18,14.3,14
2018-02-04,Reggio Emilia,Sassari,21.915068493150685,0,18,2,6,0.333,2,4,0.5,0,0,0.0,0,1,1,0,0,0,0,4,6,1.3000000000000003,-1
2018-02-11,Reggio Emilia,Capo d'Orlando,21.934246575342467,0,6,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,0.3,-7
2018-03-03,Reggio Emilia,Trentino,21.98904109589041,0,4,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-1.5,-7
2018-03-17,Reggio Emilia,Pistoia,22.027397260273972,0,9,3,5,0.600,1,2,0.5,0,0,0.0,0,0,0,0,0,0,0,3,7,3.499999999999999,-9
