date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-02,Avellino,Reggio Emilia,30.742465753424657,1,13,0,3,0.000,0,0,0.0,0,2,0.0,2,2,4,0,0,2,0,3,0,-0.6999999999999998,-6
2017-10-08,Avellino,Brescia,30.758904109589043,0,16,1,4,0.000,0,0,0.0,0,0,0.0,2,3,5,0,1,2,2,4,2,0.6999999999999997,-7
2017-10-14,Avellino,Torino,30.775342465753425,0,21,1,2,0.000,0,0,0.0,0,0,0.0,1,2,3,0,0,4,1,1,2,3.6999999999999993,10
2017-10-22,Avellino,Pistoia,30.797260273972604,1,25,3,4,0.000,0,0,0.0,1,4,0.25,1,4,5,0,0,2,0,2,7,6.7,12
2017-10-28,Avellino,Cantù,30.813698630136987,1,17,2,3,0.000,0,0,0.0,1,2,0.5,2,3,5,0,0,1,0,2,5,5.5,-5
2017-11-05,Avellino,Brindisi,30.835616438356166,0,28,3,4,0.000,0,0,0.0,0,4,0.0,1,4,5,0,2,4,1,4,6,6.9,19
2017-11-12,Avellino,Varese,30.854794520547944,1,23,3,4,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,3,2,3,6,4.0,0
2017-11-19,Avellino,Milano,30.873972602739727,1,36,7,10,0.000,0,0,0.0,2,8,0.25,4,8,12,0,1,4,1,3,16,16.2,5
2017-12-02,Avellino,Venezia,30.90958904109589,1,15,2,2,0.000,0,0,0.0,0,2,0.0,0,4,4,0,0,0,1,1,4,2.4,-3
2017-12-10,Avellino,Cremona,30.93150684931507,1,16,3,4,0.000,0,0,0.0,1,2,0.5,3,1,4,0,0,2,1,2,7,6.999999999999999,-9
2017-12-17,Avellino,Pesaro,30.95068493150685,0,21,2,3,0.000,0,0,0.0,0,1,0.0,1,2,3,0,2,2,1,1,4,5.6,2
2017-12-27,Avellino,Capo d'Orlando,30.97808219178082,0,19,3,4,0.000,0,0,0.0,2,2,1.0,1,3,4,0,1,4,3,3,8,7.600000000000001,7
2018-01-02,Avellino,Sassari,30.994520547945207,0,15,2,3,0.000,0,0,0.0,1,2,0.5,1,5,6,0,0,0,1,4,5,2.9,-6
2018-01-07,Avellino,Virtus Bologna,31.008219178082193,0,16,2,4,0.000,0,0,0.0,2,2,1.0,1,5,6,0,0,4,0,2,6,8.2,14
2018-01-07,Capo d'Orlando,Cantù,31.008219178082193,0,23,5,5,0.000,0,0,0.0,0,1,0.0,0,5,5,0,0,3,2,1,10,9.299999999999999,10
2018-01-20,Avellino,Reggio Emilia,31.043835616438358,0,12,0,1,0.000,0,0,0.0,3,6,0.5,2,0,2,0,1,0,0,2,3,2.6999999999999993,-3
2018-01-28,Avellino,Brescia,31.065753424657533,0,14,3,4,0.000,0,0,0.0,1,4,0.25,3,3,6,0,0,1,1,0,7,6.8999999999999995,-5
2018-02-04,Avellino,Torino,31.084931506849315,0,17,1,3,0.000,0,0,0.0,1,2,0.5,0,4,4,0,1,3,2,4,3,1.5999999999999992,5
2018-02-11,Avellino,Pistoia,31.104109589041098,0,21,6,8,0.000,0,0,0.0,1,2,0.5,0,4,4,0,0,2,0,1,13,11.6,14
