date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Torino,Brindisi,19.057534246575344,1,13,1,2,0.500,0,1,0.0,0,0,0.0,2,0,2,0,0,0,0,2,2,1.5999999999999999,7
2017-10-07,Torino,Sassari,19.073972602739726,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-0.8,4
2017-10-14,Torino,Avellino,19.09315068493151,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-10-22,Torino,Pesaro,19.115068493150684,0,10,0,2,0.000,0,1,0.0,0,2,0.0,0,1,1,0,0,0,0,1,0,-2.3000000000000003,2
2017-10-29,Torino,Capo d'Orlando,19.134246575342466,0,11,2,2,0.000,0,0,0.0,2,2,1.0,1,2,3,0,0,0,1,2,6,4.9,-4
2017-11-05,Torino,Venezia,19.153424657534245,0,8,1,2,0.500,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,1,3,2.2,0
2017-11-12,Torino,Cremona,19.172602739726027,0,20,2,4,0.000,0,0,0.0,0,0,0.0,3,4,7,1,0,1,0,1,4,6.3,11
2017-11-19,Torino,Cantù,19.19178082191781,0,20,1,2,0.000,0,0,0.0,1,2,0.5,1,0,1,1,0,0,0,3,3,1.7999999999999998,7
2017-12-03,Torino,Pistoia,19.23013698630137,0,8,1,5,0.000,0,0,0.0,0,0,0.0,3,2,5,0,0,0,0,2,2,0.7999999999999996,-2
2017-12-10,Torino,Milano,19.24931506849315,1,8,1,2,0.000,0,0,0.0,0,0,0.0,0,2,2,0,0,1,0,0,2,2.3,-4
2017-12-17,Torino,Virtus Bologna,19.268493150684932,0,20,4,7,0.571,0,1,0.0,1,1,1.0,2,4,6,0,0,0,0,4,9,6.699999999999999,-3
2017-12-23,Torino,Reggio Emilia,19.284931506849315,1,29,6,8,0.750,1,2,0.5,0,0,0.0,0,4,4,2,1,2,2,2,13,12.0,18
2017-12-30,Torino,Trentino,19.304109589041097,0,9,0,1,0.000,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,3,0,-1.3000000000000003,-14
2018-01-07,Brindisi,Reggio Emilia,19.326027397260273,1,29,4,7,0.571,3,5,0.6,0,0,0.0,1,5,6,0,0,0,3,4,11,5.300000000000001,11
2018-01-07,Torino,Brescia,19.326027397260273,1,23,2,5,0.400,1,3,0.333,1,2,0.5,0,4,4,1,0,0,0,2,6,4.0,3
2018-01-21,Torino,Brindisi,19.364383561643837,0,12,3,10,0.300,1,3,0.333,0,0,0.0,1,1,2,1,0,0,0,1,7,2.4999999999999996,0
2018-01-27,Torino,Sassari,19.38082191780822,1,20,1,6,0.167,1,3,0.333,1,2,0.5,1,3,4,2,1,1,3,1,4,1.1000000000000005,-4
2018-02-04,Torino,Avellino,19.4027397260274,1,19,0,4,0.000,0,2,0.0,0,0,0.0,1,5,6,0,0,0,0,1,0,-0.9999999999999997,-9
