date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Brindisi,Torino,23.923287671232877,0,9,1,4,0.000,0,0,0.0,0,0,0.0,1,2,3,0,1,1,2,1,2,0.19999999999999973,-1
2017-10-09,Brindisi,Pistoia,23.945205479452056,0,17,1,2,0.500,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,1.6,-12
2017-10-14,Brindisi,Venezia,23.958904109589042,0,10,0,3,0.000,0,0,0.0,2,4,0.5,1,1,2,0,0,0,0,2,2,-0.6999999999999997,-4
2017-10-22,Brindisi,Milano,23.980821917808218,0,8,0,3,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-1.7999999999999998,-3
2017-10-29,Brindisi,Brescia,24.0,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-11-05,Brindisi,Avellino,24.019178082191782,0,8,2,3,0.000,0,0,0.0,2,2,1.0,1,1,2,0,0,0,0,0,6,5.7,-3
2017-11-12,Brindisi,Pesaro,24.03835616438356,0,15,2,5,0.000,0,0,0.0,0,0,0.0,4,1,5,0,0,0,1,2,4,2.5999999999999996,-7
2017-11-19,Brindisi,Virtus Bologna,24.057534246575344,0,8,0,6,0.000,0,0,0.0,0,2,0.0,5,4,9,0,0,1,0,0,0,0.4000000000000008,2
2017-12-03,Brindisi,Sassari,24.095890410958905,0,16,2,6,0.000,0,0,0.0,3,4,0.75,2,1,3,0,2,2,2,4,7,4.700000000000001,-4
2017-12-10,Brindisi,Trentino,24.115068493150684,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-12-16,Brindisi,Capo d'Orlando,24.13150684931507,0,12,2,4,0.000,0,0,0.0,0,0,0.0,1,3,4,0,1,0,0,0,4,4.6,-1
2017-12-26,Brindisi,Cremona,24.15890410958904,0,15,2,2,0.000,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,0,5,4.3,-2
2018-01-02,Brindisi,Varese,24.17808219178082,0,4,0,1,0.000,0,1,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,-1.5,-4
2018-01-07,Brindisi,Reggio Emilia,24.19178082191781,0,12,0,2,0.000,0,0,0.0,0,0,0.0,2,2,4,0,0,1,1,1,0,-0.1000000000000002,-4
2018-01-07,Avellino,Virtus Bologna,24.19178082191781,0,4,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,1,0,2,1,0,-1.7999999999999998,-2
2018-01-21,Brindisi,Torino,24.23013698630137,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-01-28,Brindisi,Pistoia,24.24931506849315,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-02-04,Brindisi,Venezia,24.268493150684932,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-02-11,Brindisi,Milano,24.28767123287671,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
