date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-28,Avellino,Cantù,34.64383561643836,0,18,2,5,0.000,0,0,0.0,0,0,0.0,2,5,7,1,0,0,1,5,4,1.8999999999999995,10
2017-11-05,Avellino,Brindisi,34.66575342465754,1,14,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,1,1,0,0,-0.30000000000000004,-26
2017-11-12,Avellino,Varese,34.68493150684932,0,17,1,2,0.000,0,0,0.0,2,2,1.0,2,3,5,2,1,0,0,2,4,6.900000000000001,4
2017-11-19,Avellino,Milano,34.704109589041096,0,14,2,3,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,1,4,2.3000000000000003,0
2017-12-02,Avellino,Venezia,34.73972602739726,0,13,1,2,0.000,0,0,0.0,0,0,0.0,1,0,1,1,2,0,0,2,2,3.6000000000000005,-3
2017-12-10,Avellino,Cremona,34.76164383561644,0,4,0,2,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,1,0,-1.8,-2
2017-12-17,Brescia,Venezia,34.78082191780822,0,5,1,1,0.000,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,1,2,2.6,4
2017-12-26,Brescia,Milano,34.8054794520548,0,9,1,1,0.000,0,0,0.0,2,2,1.0,1,0,1,0,0,0,0,2,4,3.6000000000000005,-4
2018-01-02,Brescia,Cremona,34.824657534246576,0,7,1,2,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,2,-0.4,-9
2018-01-07,Brescia,Torino,34.83835616438356,0,5,2,2,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,2,4,3.3,-4
2018-01-07,Cremona,Varese,34.83835616438356,1,17,2,3,0.000,0,0,0.0,0,0,0.0,1,2,3,0,0,0,2,3,4,0.7999999999999998,8
2018-01-21,Brescia,Pesaro,34.87671232876713,0,10,1,3,0.000,0,0,0.0,0,0,0.0,0,3,3,0,1,0,1,2,2,0.40000000000000013,2
2018-01-28,Brescia,Avellino,34.895890410958906,0,10,0,0,0.000,0,0,0.0,0,0,0.0,3,2,5,1,0,0,0,2,0,2.5999999999999996,-5
2018-02-04,Brescia,Trentino,34.915068493150685,0,4,0,2,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,1,0,-0.7999999999999999,0
2018-02-11,Brescia,Varese,34.93424657534246,0,12,1,3,0.000,0,0,0.0,1,1,1.0,0,1,1,1,0,0,1,3,3,0.10000000000000009,3
2018-03-05,Brescia,Brindisi,34.99452054794521,0,26,4,6,0.000,0,0,0.0,1,2,0.5,3,10,13,0,1,4,1,2,9,13.099999999999998,22
2018-03-18,Brescia,Virtus Bologna,35.03013698630137,0,12,1,3,0.000,0,0,0.0,0,0,0.0,1,1,2,0,2,0,0,3,2,2.1,-10
2018-03-24,Brescia,Capo d'Orlando,35.04657534246575,0,11,0,2,0.000,0,0,0.0,0,0,0.0,2,0,2,2,1,1,0,4,0,1.4999999999999996,13
2018-03-31,Brescia,Cantù,35.06575342465754,0,15,4,8,0.000,0,0,0.0,5,7,0.714,1,5,6,1,0,1,0,5,13,9.799999999999997,23
2018-04-04,Brescia,Reggio Emilia,35.07671232876712,0,21,5,9,0.556,0,1,0.0,3,4,0.75,2,5,7,0,0,0,2,1,13,8.799999999999999,3
2018-04-08,Venezia,Reggio Emilia,35.087671232876716,0,9,3,4,0.000,0,0,0.0,0,0,0.0,1,1,2,0,0,0,2,4,6,1.8000000000000003,-3
2018-04-08,Brescia,Sassari,35.087671232876716,0,11,2,3,0.000,0,0,0.0,0,0,0.0,0,5,5,0,0,0,0,2,4,3.4000000000000004,0
2018-04-22,Brescia,Milano,35.12602739726027,1,28,2,5,0.000,0,0,0.0,1,2,0.5,2,3,5,1,2,0,2,4,5,3.299999999999999,-1
2018-04-28,Brescia,Cremona,35.14246575342466,0,20,5,6,0.833,1,1,1.0,0,0,0.0,2,5,7,4,1,0,2,2,11,12.7,0
2018-05-06,Brescia,Torino,35.16438356164384,1,27,3,5,0.000,0,0,0.0,6,7,0.857,4,6,10,1,0,1,1,4,12,12.699999999999998,-7
2018-05-09,Brescia,Pistoia,35.17260273972603,0,5,1,1,0.000,0,0,0.0,1,2,0.5,1,0,1,1,1,0,0,1,3,4.3,3
