date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Sassari,Cantù,23.887671232876713,1,25,5,7,0.714,1,2,0.5,2,3,0.667,3,3,6,1,1,0,1,0,13,13.4,-4
2017-10-07,Sassari,Torino,23.904109589041095,1,18,2,7,0.286,0,4,0.0,0,0,0.0,0,2,2,1,1,0,2,2,4,-0.5999999999999999,-14
2017-10-15,Sassari,Reggio Emilia,23.926027397260274,0,20,3,5,0.600,1,2,0.5,1,3,0.333,1,3,4,1,0,0,0,0,8,7.2,21
2017-10-22,Sassari,Virtus Bologna,23.945205479452056,0,23,2,2,0.000,0,0,0.0,2,2,1.0,0,5,5,3,1,1,1,1,6,9.299999999999999,-7
2017-10-29,Sassari,Milano,23.964383561643835,0,20,3,5,0.600,1,2,0.5,0,0,0.0,1,3,4,1,0,1,1,1,7,6.299999999999999,22
2017-11-05,Sassari,Cremona,23.983561643835618,1,21,2,4,0.500,1,1,1.0,6,6,1.0,0,0,0,1,0,0,0,2,11,8.899999999999999,0
2017-11-12,Sassari,Capo d'Orlando,24.002739726027396,0,18,3,9,0.333,0,3,0.0,4,4,1.0,1,0,1,2,0,0,0,2,10,6.2,-2
2017-11-19,Sassari,Varese,24.02191780821918,1,28,3,6,0.500,1,4,0.25,2,2,1.0,1,2,3,1,0,0,1,1,9,6.6,26
2017-12-03,Sassari,Brindisi,24.06027397260274,1,24,3,6,0.500,0,1,0.0,0,0,0.0,2,3,5,0,1,0,1,4,6,3.700000000000001,7
2017-12-09,Sassari,Brescia,24.076712328767123,1,30,1,4,0.250,0,2,0.0,2,2,1.0,2,1,3,3,1,1,0,2,4,6.300000000000001,13
2017-12-16,Sassari,Pistoia,24.095890410958905,1,35,6,12,0.500,2,5,0.4,2,2,1.0,3,7,10,2,1,1,2,2,16,14.499999999999996,14
2017-12-26,Sassari,Venezia,24.123287671232877,1,26,0,5,0.000,0,1,0.0,4,6,0.667,4,2,6,0,0,0,1,2,4,1.2999999999999998,-9
2018-01-02,Sassari,Avellino,24.14246575342466,1,32,3,7,0.429,0,1,0.0,1,2,0.5,4,6,10,1,4,0,0,2,7,11.399999999999999,-1
2018-01-07,Sassari,Trentino,24.156164383561645,1,23,4,7,0.571,3,4,0.75,2,2,1.0,2,4,6,1,0,0,2,4,13,9.399999999999999,18
2018-01-07,Pesaro,Venezia,24.156164383561645,1,28,2,5,0.000,0,0,0.0,2,2,1.0,0,2,2,0,0,1,0,4,6,2.9999999999999996,0
2018-01-20,Sassari,Cantù,24.19178082191781,1,44,11,16,0.688,0,2,0.0,4,5,0.8,2,8,10,3,0,1,4,3,26,20.199999999999996,-1
2018-01-27,Sassari,Torino,24.21095890410959,1,39,9,13,0.692,4,6,0.667,5,6,0.833,3,5,8,4,1,1,3,3,27,25.000000000000004,14
2018-02-04,Sassari,Reggio Emilia,24.232876712328768,1,19,1,5,0.200,0,1,0.0,0,0,0.0,0,4,4,0,0,0,1,3,2,-2.1000000000000005,-1
2018-02-11,Sassari,Virtus Bologna,24.252054794520546,1,23,2,5,0.000,0,0,0.0,0,0,0.0,3,2,5,1,0,0,0,0,4,4.699999999999999,4
2018-03-04,Sassari,Milano,24.30958904109589,0,10,1,1,1.000,1,1,1.0,1,2,0.5,0,0,0,0,0,0,0,3,4,2.1,-19
2018-03-11,Sassari,Cremona,24.328767123287673,1,18,5,5,1.000,2,2,1.0,1,2,0.5,0,2,2,2,1,1,0,0,13,14.799999999999999,-16
2018-03-18,Sassari,Capo d'Orlando,24.34794520547945,1,25,7,9,0.778,3,4,0.75,1,2,0.5,1,1,2,0,0,1,3,3,18,11.599999999999998,6
2018-03-25,Sassari,Varese,24.367123287671234,1,20,1,2,0.500,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,1.6,-4
2018-03-31,Sassari,Brindisi,24.383561643835616,0,32,0,4,0.000,0,2,0.0,2,2,1.0,0,3,3,0,0,0,0,4,2,-1.5,0
2018-04-08,Sassari,Brescia,24.405479452054795,0,8,0,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,2,0,-0.19999999999999996,-3
2018-04-08,Brescia,Sassari,24.405479452054795,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-04-22,Sassari,Venezia,24.443835616438356,0,9,0,1,0.000,0,1,0.0,0,0,0.0,1,2,3,0,0,0,0,1,0,0.19999999999999996,-7
2018-04-29,Sassari,Avellino,24.46301369863014,0,16,1,2,0.500,0,1,0.0,0,0,0.0,1,5,6,2,1,0,1,0,2,4.6,19
2018-05-06,Sassari,Trentino,24.482191780821918,0,16,1,3,0.000,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,2,2,0.1000000000000002,-19
2018-05-09,Sassari,Pesaro,24.49041095890411,0,18,2,3,0.667,0,1,0.0,0,0,0.0,1,2,3,2,0,0,0,0,4,5.4,12
