date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Sassari,Cantù,25.873972602739727,1,26,4,9,0.444,1,4,0.25,0,3,0.0,1,2,3,4,0,0,1,2,9,5.3999999999999995,14
2017-10-07,Sassari,Torino,25.89041095890411,1,33,9,16,0.563,2,6,0.333,3,3,1.0,1,3,4,1,1,0,0,3,23,17.5,-4
2017-10-15,Sassari,Reggio Emilia,25.912328767123288,1,23,4,12,0.333,2,4,0.5,1,4,0.25,4,2,6,0,0,1,1,3,11,4.9,-9
2017-10-22,Sassari,Virtus Bologna,25.93150684931507,1,19,3,7,0.429,0,4,0.0,2,4,0.5,2,4,6,2,1,0,2,1,8,6.1,-14
2017-10-29,Sassari,Milano,25.95068493150685,1,26,4,7,0.571,3,4,0.75,0,0,0.0,1,1,2,4,1,1,0,2,11,12.399999999999999,7
2017-11-05,Sassari,Cremona,25.96986301369863,1,31,5,6,0.833,5,6,0.833,1,2,0.5,0,5,5,0,0,0,2,2,16,12.1,-18
2017-11-12,Sassari,Capo d'Orlando,25.98904109589041,1,15,0,5,0.000,0,3,0.0,0,0,0.0,1,2,3,0,0,0,1,0,0,-3.1999999999999997,-9
2017-11-19,Sassari,Varese,26.008219178082193,1,34,4,7,0.571,3,6,0.5,0,0,0.0,1,7,8,6,0,2,0,3,11,14.899999999999999,16
2017-12-03,Sassari,Brindisi,26.046575342465754,1,26,6,9,0.667,2,3,0.667,0,0,0.0,1,10,11,1,1,1,2,0,14,14.199999999999996,24
2017-12-09,Sassari,Brescia,26.063013698630137,1,36,3,9,0.333,2,6,0.333,2,4,0.5,1,9,10,0,0,0,0,1,10,7.1,1
2017-12-16,Sassari,Pistoia,26.08219178082192,1,17,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,0,0,0,0,2,3,0.5000000000000002,3
2017-12-26,Sassari,Venezia,26.10958904109589,1,17,2,4,0.000,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,1,4,2.9,-12
2018-01-02,Sassari,Avellino,26.12876712328767,1,35,2,9,0.222,0,5,0.0,4,4,1.0,4,1,5,3,2,0,0,3,8,8.5,1
2018-01-07,Sassari,Trentino,26.14246575342466,1,33,4,10,0.400,1,6,0.167,2,4,0.5,2,9,11,1,1,3,1,2,11,10.899999999999997,8
2018-01-07,Pesaro,Venezia,26.14246575342466,1,33,7,11,0.636,4,7,0.571,0,0,0.0,3,7,10,1,0,0,1,2,18,16.2,-9
2018-01-20,Sassari,Cantù,26.17808219178082,1,29,5,6,0.833,4,5,0.8,0,0,0.0,2,3,5,6,1,0,0,1,14,18.900000000000002,0
2018-01-27,Sassari,Torino,26.197260273972603,1,19,3,5,0.600,1,2,0.5,1,1,1.0,0,7,7,3,1,1,3,0,8,8.599999999999998,4
2018-02-04,Sassari,Reggio Emilia,26.21917808219178,1,26,2,8,0.250,0,4,0.0,2,2,1.0,2,5,7,0,2,0,1,2,6,4.3,-2
2018-02-11,Sassari,Virtus Bologna,26.23835616438356,1,22,3,8,0.375,2,5,0.4,0,0,0.0,3,2,5,1,2,1,1,0,8,8.699999999999998,-2
2018-03-04,Sassari,Milano,26.295890410958904,0,14,0,2,0.000,0,1,0.0,0,0,0.0,0,2,2,0,1,0,0,0,0,0.20000000000000007,-28
2018-03-11,Sassari,Cremona,26.315068493150687,0,33,7,12,0.583,3,7,0.429,3,5,0.6,3,5,8,3,2,2,2,1,20,20.300000000000004,25
2018-03-18,Sassari,Capo d'Orlando,26.334246575342465,1,36,8,15,0.533,3,8,0.375,1,1,1.0,2,5,7,5,2,0,1,1,20,19.700000000000003,11
2018-03-25,Sassari,Varese,26.353424657534248,1,38,7,12,0.583,4,7,0.571,2,2,1.0,1,4,5,3,1,2,1,0,20,19.799999999999997,3
2018-03-31,Sassari,Brindisi,26.36986301369863,1,20,0,2,0.000,0,1,0.0,0,0,0.0,1,1,2,1,1,0,0,0,0,1.3,-14
2018-04-08,Sassari,Brescia,26.39178082191781,1,34,2,7,0.286,0,2,0.0,0,1,0.0,3,5,8,1,1,1,1,2,4,3.7,-3
2018-04-08,Brescia,Sassari,26.39178082191781,1,34,5,8,0.625,3,6,0.5,0,0,0.0,0,6,6,0,1,2,2,5,13,9.6,12
2018-04-22,Sassari,Venezia,26.43013698630137,1,24,2,9,0.222,0,3,0.0,3,5,0.6,3,2,5,0,0,1,1,2,7,2.3,-5
2018-04-29,Sassari,Avellino,26.44931506849315,1,24,6,8,0.750,3,5,0.6,1,2,0.5,0,5,5,0,0,2,2,2,16,12.499999999999998,3
2018-05-06,Sassari,Trentino,26.46849315068493,1,34,6,13,0.462,1,3,0.333,1,3,0.333,2,4,6,0,0,1,2,2,14,6.9999999999999964,1
2018-05-09,Sassari,Pesaro,26.476712328767125,1,24,7,9,0.778,3,5,0.6,2,2,1.0,1,3,4,1,0,0,0,3,19,16.599999999999998,15
