date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Venezia,Varese,37.134246575342466,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-10-08,Venezia,Trentino,37.153424657534245,0,7,1,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.7,-9
2017-10-14,Venezia,Brindisi,37.16986301369863,0,10,0,1,0.000,0,1,0.0,3,4,0.75,0,1,1,0,0,0,0,0,3,2.1999999999999997,8
2017-10-21,Venezia,Cremona,37.18904109589041,0,5,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1.4,-1
2017-10-29,Venezia,Virtus Bologna,37.21095890410959,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,1.0,-4
2017-11-05,Venezia,Torino,37.23013698630137,0,2,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-2
2017-11-11,Venezia,Cantù,37.24657534246575,0,10,2,3,0.667,1,2,0.5,0,0,0.0,0,3,3,1,0,0,0,1,5,4.8999999999999995,-7
2017-11-18,Venezia,Pistoia,37.26575342465753,0,3,1,1,1.000,1,1,1.0,0,0,0.0,0,0,0,0,0,1,0,1,3,3.0000000000000004,5
2017-12-02,Venezia,Avellino,37.3041095890411,0,5,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-1.4,-10
2017-12-09,Venezia,Reggio Emilia,37.323287671232876,0,5,0,0,0.000,0,0,0.0,0,2,0.0,0,0,0,0,0,0,0,1,0,-1.2000000000000002,-2
2017-12-17,Venezia,Brescia,37.345205479452055,0,4,0,2,0.000,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1.4,-6
2017-12-26,Venezia,Sassari,37.369863013698634,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-01-02,Venezia,Capo d'Orlando,37.38904109589041,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-01-07,Venezia,Pesaro,37.4027397260274,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-01-08,Milano,Pistoia,37.40547945205479,1,19,1,4,0.250,0,2,0.0,0,0,0.0,0,3,3,2,1,0,0,2,2,2.0999999999999996,-14
2018-01-21,Venezia,Varese,37.441095890410956,0,4,0,3,0.000,0,1,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,-1.0999999999999996,-3
2018-01-28,Venezia,Trentino,37.46027397260274,1,12,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,2,0,0,0,0,3,2.7,14
2018-02-04,Venezia,Brindisi,37.47945205479452,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-02-11,Venezia,Cremona,37.4986301369863,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-03-04,Venezia,Virtus Bologna,37.556164383561644,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-03-11,Venezia,Torino,37.57534246575342,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-03-18,Venezia,Cantù,37.59452054794521,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-03-25,Venezia,Pistoia,37.61369863013699,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-04-01,Venezia,Avellino,37.632876712328766,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-04-08,Venezia,Reggio Emilia,37.652054794520545,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-04-08,Reggio Emilia,Venezia,37.652054794520545,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-04-22,Venezia,Sassari,37.69041095890411,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-04-29,Venezia,Capo d'Orlando,37.70958904109589,0,12,3,3,1.000,2,2,1.0,2,3,0.667,0,2,2,0,0,2,0,2,10,9.899999999999999,9
2018-05-06,Venezia,Pesaro,37.728767123287675,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-05-09,Venezia,Milano,37.73698630136986,0,3,1,2,0.500,1,2,0.5,0,0,0.0,0,2,2,0,0,0,0,0,3,2.6,-1
