date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-02,Avellino,Reggio Emilia,31.432876712328767,1,28,5,10,0.000,0,0,0.0,8,10,0.8,0,2,2,1,0,0,5,4,18,6.899999999999999,0
2017-10-08,Avellino,Brescia,31.44931506849315,1,29,8,14,0.571,2,5,0.4,0,0,0.0,1,1,2,1,0,0,0,2,18,12.299999999999999,-8
2017-10-14,Avellino,Torino,31.465753424657535,1,18,4,7,0.571,0,2,0.0,2,2,1.0,0,6,6,2,0,0,3,4,10,5.300000000000001,18
2017-10-22,Avellino,Pistoia,31.487671232876714,1,32,11,15,0.733,1,1,1.0,5,5,1.0,0,3,3,3,2,0,2,2,28,24.099999999999998,10
2017-10-28,Avellino,Cantù,31.504109589041096,1,29,5,12,0.417,0,3,0.0,4,4,1.0,0,2,2,2,1,0,0,2,14,9.8,16
2017-11-05,Avellino,Brindisi,31.526027397260275,1,32,12,22,0.545,2,7,0.286,2,2,1.0,0,4,4,2,2,0,0,2,28,21.199999999999996,-1
2017-11-12,Avellino,Varese,31.545205479452054,1,29,2,14,0.143,1,5,0.2,1,2,0.5,2,7,9,6,0,0,1,0,6,3.3000000000000007,8
2017-11-19,Avellino,Milano,31.564383561643837,1,44,8,21,0.381,2,6,0.333,3,3,1.0,0,3,3,5,0,0,7,2,21,6.1,-2
2017-12-02,Avellino,Venezia,31.6,1,34,11,18,0.611,1,5,0.2,6,6,1.0,0,1,1,3,0,0,2,3,29,19.999999999999996,16
2017-12-10,Avellino,Cremona,31.621917808219177,1,31,5,13,0.385,1,5,0.2,3,5,0.6,0,2,2,2,3,0,3,2,14,7.299999999999999,0
2017-12-17,Avellino,Pesaro,31.64109589041096,1,33,9,13,0.692,3,4,0.75,4,5,0.8,1,0,1,1,0,0,4,3,25,15.3,5
2017-12-27,Avellino,Capo d'Orlando,31.66849315068493,1,25,7,12,0.583,3,5,0.6,3,4,0.75,0,3,3,3,1,0,2,2,20,15.2,18
2018-01-02,Avellino,Sassari,31.684931506849317,1,32,9,18,0.500,4,6,0.667,11,12,0.917,0,1,1,2,1,0,5,1,33,20.900000000000002,0
2018-01-07,Avellino,Virtus Bologna,31.698630136986303,1,24,5,7,0.714,1,2,0.5,2,2,1.0,0,0,0,3,0,0,2,0,13,10.200000000000001,19
2018-01-07,Capo d'Orlando,Cantù,31.698630136986303,1,36,11,17,0.647,4,6,0.667,7,7,1.0,0,2,2,3,1,0,2,2,33,26.400000000000002,15
2018-01-20,Avellino,Reggio Emilia,31.734246575342468,1,32,8,21,0.381,1,4,0.25,3,4,0.75,0,6,6,2,1,0,3,4,20,7.699999999999999,0
2018-01-28,Avellino,Brescia,31.756164383561643,1,42,9,17,0.529,3,5,0.6,8,10,0.8,0,4,4,7,2,0,1,4,29,25.4,2
2018-02-04,Avellino,Torino,31.775342465753425,1,22,1,5,0.200,1,3,0.333,0,0,0.0,0,2,2,2,0,0,2,0,3,-0.10000000000000009,9
2018-02-11,Avellino,Pistoia,31.794520547945204,1,19,6,13,0.462,2,3,0.667,4,5,0.8,0,0,0,1,0,0,0,1,18,11.199999999999998,11
2018-03-04,Avellino,Cantù,31.852054794520548,1,31,7,17,0.412,1,6,0.167,3,3,1.0,0,4,4,2,0,0,1,1,18,10.100000000000001,3
2018-03-11,Avellino,Brindisi,31.87123287671233,1,29,6,13,0.462,1,1,1.0,1,1,1.0,0,3,3,6,0,0,1,0,14,11.399999999999999,19
2018-03-18,Avellino,Varese,31.89041095890411,1,31,9,18,0.500,3,6,0.5,1,2,0.5,0,0,0,1,2,0,5,4,22,8.700000000000001,-8
2018-03-25,Avellino,Milano,31.90958904109589,1,33,8,17,0.471,2,6,0.333,3,4,0.75,1,3,4,2,0,0,3,3,21,10.7,-4
2018-04-01,Avellino,Venezia,31.92876712328767,1,35,6,16,0.375,3,7,0.429,7,10,0.7,1,1,2,2,0,0,3,3,22,10.2,-8
2018-04-08,Avellino,Cremona,31.947945205479453,1,25,6,10,0.600,1,3,0.333,3,4,0.75,0,3,3,4,2,0,2,0,16,14.7,13
2018-04-08,Capo d'Orlando,Varese,31.947945205479453,1,22,12,18,0.667,4,7,0.571,3,4,0.75,0,3,3,3,1,0,2,0,31,24.799999999999997,23
2018-04-22,Avellino,Capo d'Orlando,31.986301369863014,1,29,3,15,0.200,0,5,0.0,0,3,0.0,0,1,1,2,0,0,6,1,6,-9.2,-1
2018-04-29,Avellino,Sassari,32.00547945205479,1,30,7,12,0.583,1,4,0.25,2,2,1.0,0,2,2,6,0,0,3,4,17,11.600000000000003,-19
2018-05-06,Avellino,Virtus Bologna,32.02465753424658,1,26,5,12,0.417,3,6,0.5,4,5,0.8,0,4,4,2,2,0,6,3,17,7.600000000000001,-3
2018-05-09,Avellino,Trentino,32.032876712328765,1,27,7,13,0.538,1,4,0.25,0,0,0.0,2,1,3,8,1,0,3,0,15,14.0,-1
