date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Pesaro,Brescia,18.56986301369863,0,9,1,2,0.000,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,0,2,2.7,1
2017-10-08,Pesaro,Reggio Emilia,18.589041095890412,0,7,0,1,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,0,0,-1.0,-3
2017-10-14,Pesaro,Virtus Bologna,18.605479452054794,0,7,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-2
2017-10-22,Pesaro,Torino,18.627397260273973,0,2,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-7
2017-10-29,Pesaro,Cremona,18.646575342465752,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-5
2017-11-05,Pesaro,Capo d'Orlando,18.665753424657535,1,10,1,3,0.333,1,2,0.5,0,0,0.0,1,0,1,1,0,0,0,0,3,2.7,2
2017-11-12,Pesaro,Brindisi,18.684931506849317,0,6,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0.7,0
2017-11-19,Pesaro,Trentino,18.704109589041096,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-1
2017-12-03,Pesaro,Varese,18.742465753424657,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-12-09,Pesaro,Pistoia,18.758904109589043,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-12-17,Pesaro,Avellino,18.78082191780822,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-12-26,Pesaro,Cantù,18.805479452054794,0,4,0,1,0.000,0,1,0.0,2,2,1.0,0,0,0,0,0,1,0,0,2,2.0,2
2018-01-02,Pesaro,Milano,18.824657534246576,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-01-07,Venezia,Pesaro,18.838356164383562,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,0
2018-01-07,Pesaro,Venezia,18.838356164383562,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-01-21,Pesaro,Brescia,18.876712328767123,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-01-27,Pesaro,Reggio Emilia,18.893150684931506,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-02-03,Pesaro,Virtus Bologna,18.912328767123288,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-02-11,Pesaro,Torino,18.934246575342467,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-03-04,Pesaro,Cremona,18.991780821917807,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-03-11,Pesaro,Capo d'Orlando,19.01095890410959,0,7,1,3,0.333,0,1,0.0,0,1,0.0,2,2,4,0,1,0,0,1,2,2.5000000000000004,-3
2018-03-18,Pesaro,Brindisi,19.03013698630137,0,4,1,1,1.000,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,1,3,2.6,-6
2018-03-25,Pesaro,Trentino,19.04931506849315,0,7,1,1,0.000,0,0,0.0,0,0,0.0,0,2,2,0,0,1,1,0,2,2.0,-1
2018-03-31,Pesaro,Varese,19.065753424657533,0,8,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,1,0,0.9999999999999999,-14
2018-04-08,Varese,Capo d'Orlando,19.087671232876712,0,5,0,1,0.000,0,1,0.0,0,0,0.0,0,0,0,0,0,0,2,1,0,-3.1,-6
2018-04-08,Pesaro,Pistoia,19.087671232876712,0,3,0,1,0.000,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-1.8,0
2018-04-22,Pesaro,Cantù,19.126027397260273,0,6,0,3,0.000,0,3,0.0,0,0,0.0,1,3,4,1,0,0,0,2,0,-0.5999999999999999,5
2018-04-29,Pesaro,Milano,19.145205479452056,0,8,0,3,0.000,0,1,0.0,0,0,0.0,0,3,3,0,1,0,0,1,0,-0.5999999999999998,7
2018-05-06,Pesaro,Venezia,19.164383561643834,0,10,0,2,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,2,0,-1.5,-5
2018-05-09,Pesaro,Sassari,19.172602739726027,0,9,1,1,1.000,1,1,1.0,0,0,0.0,0,1,1,0,1,1,1,1,3,3.3,-9
