date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Torino,Brindisi,22.602739726027398,0,7,2,2,0.000,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,4,3.6,1
2017-10-07,Torino,Sassari,22.61917808219178,0,13,0,3,0.000,0,0,0.0,2,2,1.0,0,0,0,0,0,2,0,3,2,0.10000000000000009,7
2017-10-14,Torino,Avellino,22.638356164383563,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-10-22,Torino,Pesaro,22.66027397260274,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-10-29,Torino,Capo d'Orlando,22.67945205479452,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-11-05,Torino,Venezia,22.698630136986303,0,4,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-8
2017-11-12,Torino,Cremona,22.71780821917808,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-11-19,Torino,Cantù,22.736986301369864,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-12-03,Torino,Pistoia,22.775342465753425,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-12-10,Torino,Milano,22.794520547945204,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-12-17,Torino,Virtus Bologna,22.813698630136987,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2017-12-23,Torino,Reggio Emilia,22.83013698630137,0,2,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,0,0,1.7,0
2017-12-30,Torino,Trentino,22.84931506849315,0,2,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-5
2018-01-07,Brindisi,Reggio Emilia,22.87123287671233,0,2,0,0,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,0,0,-0.30000000000000004,-7
2018-01-07,Torino,Brescia,22.87123287671233,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-01-21,Torino,Brindisi,22.90958904109589,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-01-27,Torino,Sassari,22.926027397260274,0,1,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-0.8,-1
2018-02-04,Torino,Avellino,22.947945205479453,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-02-11,Torino,Pesaro,22.96712328767123,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
