date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Varese,Venezia,23.4,0,15,2,3,0.667,0,1,0.0,1,2,0.5,0,0,0,0,0,0,2,1,5,0.9000000000000004,-4
2017-10-08,Varese,Milano,23.41917808219178,0,10,1,3,0.333,0,2,0.0,0,0,0.0,0,0,0,3,1,0,0,2,2,2.5999999999999996,0
2017-10-16,Varese,Cantù,23.44109589041096,0,20,3,8,0.375,1,6,0.167,2,2,1.0,1,2,3,1,0,0,2,1,9,4.199999999999999,20
2017-10-23,Varese,Brescia,23.46027397260274,0,17,1,5,0.200,0,2,0.0,3,3,1.0,0,1,1,2,0,0,1,3,5,1.4,10
2017-10-29,Varese,Pistoia,23.476712328767125,0,7,0,0,0.000,0,0,0.0,1,2,0.5,0,0,0,1,0,0,1,2,1,-0.5000000000000002,-5
2017-11-04,Varese,Trentino,23.493150684931507,0,9,0,1,0.000,0,0,0.0,2,2,1.0,0,1,1,1,0,0,2,1,2,-0.10000000000000009,-2
2017-11-12,Varese,Avellino,23.515068493150686,0,9,0,3,0.000,0,2,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,-0.7999999999999996,-6
2017-11-19,Varese,Sassari,23.534246575342465,0,13,0,3,0.000,0,3,0.0,0,0,0.0,0,1,1,3,0,0,0,2,0,-0.5,-4
2017-12-03,Varese,Pesaro,23.572602739726026,0,12,2,4,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,4,0.19999999999999996,-1
2017-12-10,Varese,Capo d'Orlando,23.59178082191781,0,17,1,3,0.333,1,2,0.5,5,5,1.0,0,0,0,1,0,0,0,1,8,6.6000000000000005,19
2017-12-16,Varese,Reggio Emilia,23.60821917808219,0,9,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,0,4,2.0,-6
2017-12-26,Varese,Virtus Bologna,23.635616438356166,0,24,2,5,0.400,1,3,0.333,4,5,0.8,0,1,1,2,0,0,2,2,9,4.8,2
2018-01-02,Varese,Brindisi,23.654794520547945,0,15,0,4,0.000,0,1,0.0,0,0,0.0,0,2,2,3,0,0,0,1,0,-0.5000000000000001,-3
2018-01-07,Varese,Cremona,23.66849315068493,0,22,2,6,0.333,2,3,0.667,0,0,0.0,1,4,5,2,1,0,3,4,6,2.3000000000000007,-3
2018-01-07,Reggio Emilia,Brindisi,23.66849315068493,0,21,2,6,0.333,2,5,0.4,0,0,0.0,0,2,2,3,0,0,1,1,6,3.9000000000000004,11
2018-01-21,Varese,Venezia,23.706849315068492,0,31,5,10,0.500,4,7,0.571,3,4,0.75,0,5,5,2,0,0,3,3,17,10.3,8
2018-01-29,Varese,Milano,23.72876712328767,0,13,0,3,0.000,0,1,0.0,0,0,0.0,0,2,2,3,0,0,1,2,0,-1.2,-21
2018-02-05,Varese,Cantù,23.747945205479454,0,27,4,10,0.400,4,8,0.5,0,0,0.0,1,0,1,3,1,0,1,4,12,7.800000000000001,5
2018-02-11,Varese,Brescia,23.764383561643836,0,22,1,2,0.500,0,1,0.0,0,0,0.0,0,0,0,2,1,0,3,4,2,-1.2000000000000002,6
2018-03-04,Varese,Pistoia,23.82191780821918,0,23,4,9,0.444,2,5,0.4,0,0,0.0,0,0,0,0,1,0,0,3,10,5.1,-16
2018-03-10,Varese,Trentino,23.838356164383562,0,17,0,3,0.000,0,2,0.0,2,2,1.0,0,1,1,1,1,0,1,2,2,0.10000000000000031,-10
2018-03-18,Varese,Avellino,23.86027397260274,0,15,2,6,0.333,2,4,0.5,0,0,0.0,0,0,0,1,0,0,1,2,6,1.5000000000000009,7
2018-03-25,Varese,Sassari,23.87945205479452,0,18,1,4,0.250,1,2,0.5,0,0,0.0,0,2,2,3,1,0,4,3,3,-0.9000000000000004,5
2018-03-31,Varese,Pesaro,23.895890410958906,0,10,0,2,0.000,0,1,0.0,0,0,0.0,0,1,1,1,1,0,0,3,0,-0.6000000000000001,-7
2018-04-08,Varese,Capo d'Orlando,23.91780821917808,0,20,1,5,0.200,0,4,0.0,0,0,0.0,0,1,1,5,0,0,1,3,2,0.5,-1
2018-04-08,Avellino,Cremona,23.91780821917808,0,17,2,5,0.400,1,2,0.5,0,0,0.0,1,1,2,1,1,0,1,1,5,3.5999999999999996,-4
2018-04-22,Varese,Virtus Bologna,23.956164383561646,0,17,2,4,0.500,1,3,0.333,0,0,0.0,1,1,2,5,0,0,1,3,5,5.3,-8
2018-04-29,Varese,Brindisi,23.975342465753425,0,15,0,2,0.000,0,1,0.0,0,0,0.0,0,2,2,2,0,0,2,3,0,-2.6,-8
2018-05-06,Varese,Cremona,23.994520547945207,0,20,3,8,0.375,1,6,0.167,1,2,0.5,0,2,2,2,1,1,1,4,8,4.299999999999999,-5
2018-05-09,Varese,Torino,24.002739726027396,0,25,6,12,0.500,4,7,0.571,1,2,0.5,2,4,6,1,1,0,1,1,17,13.499999999999998,-9
