date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Cantù,Sassari,31.715068493150685,0,21,2,13,0.154,0,3,0.0,5,5,1.0,0,2,2,3,2,0,2,3,9,2.2,-8
2017-10-07,Cantù,Cremona,31.731506849315068,0,16,1,8,0.000,0,0,0.0,2,2,1.0,2,2,4,1,1,0,2,1,4,0.10000000000000098,6
2017-10-16,Cantù,Varese,31.756164383561643,0,16,1,9,0.111,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,-4.3,-18
2017-10-22,Cantù,Trentino,31.77260273972603,1,19,2,8,0.250,1,3,0.333,2,2,1.0,0,0,0,1,0,0,1,4,7,0.30000000000000027,9
2017-10-28,Cantù,Avellino,31.78904109589041,1,31,5,13,0.385,1,7,0.143,3,3,1.0,3,4,7,1,0,1,2,4,14,7.999999999999998,-6
2017-11-04,Cantù,Pistoia,31.808219178082194,0,12,1,3,0.333,0,1,0.0,4,4,1.0,2,1,3,1,0,0,0,5,6,4.700000000000001,8
2017-12-04,Cantù,Brescia,31.89041095890411,0,15,2,4,0.500,0,1,0.0,0,0,0.0,0,1,1,1,0,2,2,5,4,0.40000000000000036,10
2017-12-10,Cantù,Virtus Bologna,31.906849315068495,0,20,4,6,0.667,2,2,1.0,3,4,0.75,1,3,4,0,0,0,3,3,13,7.399999999999999,-1
2017-12-17,Cantù,Milano,31.926027397260274,0,24,7,12,0.583,3,5,0.6,3,4,0.75,3,3,6,0,0,1,0,3,20,16.5,-5
2017-12-30,Cantù,Reggio Emilia,31.96164383561644,0,12,1,6,0.167,0,1,0.0,0,0,0.0,1,1,2,0,1,0,1,3,2,-1.9999999999999996,-19
2018-01-07,Virtus Bologna,Avellino,31.983561643835618,0,22,6,13,0.462,3,6,0.5,2,5,0.4,1,1,2,1,1,1,0,4,17,10.899999999999997,3
2018-01-07,Cantù,Capo d'Orlando,31.983561643835618,0,14,4,4,1.000,1,1,1.0,6,6,1.0,1,1,2,1,0,0,2,1,15,13.1,9
2018-01-20,Cantù,Sassari,32.01917808219178,0,20,3,7,0.429,1,2,0.5,7,9,0.778,4,3,7,0,1,0,2,4,14,10.600000000000001,-9
2018-01-28,Cantù,Cremona,32.04109589041096,0,18,6,10,0.000,0,0,0.0,7,8,0.875,4,5,9,0,1,1,1,3,19,17.799999999999997,10
2018-02-05,Cantù,Varese,32.06301369863014,0,25,3,7,0.429,0,2,0.0,6,6,1.0,1,6,7,3,0,2,2,4,12,10.700000000000001,10
2018-02-10,Cantù,Trentino,32.07671232876712,1,28,5,10,0.500,3,4,0.75,7,10,0.7,1,5,6,1,0,1,3,4,20,12.799999999999999,2
2018-03-04,Cantù,Avellino,32.136986301369866,1,30,6,11,0.545,4,5,0.8,0,0,0.0,0,4,4,3,1,0,2,4,16,11.399999999999999,13
2018-03-11,Cantù,Pistoia,32.156164383561645,1,19,4,7,0.571,0,3,0.0,5,5,1.0,0,1,1,1,0,0,1,4,13,8.1,14
2018-03-18,Cantù,Venezia,32.175342465753424,1,22,5,13,0.385,1,3,0.333,4,4,1.0,4,4,8,1,0,0,2,3,15,9.399999999999999,-6
2018-03-25,Cantù,Torino,32.1945205479452,1,33,7,17,0.412,1,6,0.167,2,2,1.0,2,4,6,1,1,1,0,3,17,11.7,9
2018-03-31,Cantù,Brescia,32.21095890410959,1,21,3,14,0.214,0,5,0.0,3,4,0.75,2,0,2,3,0,0,0,2,9,2.7,-2
2018-04-07,Cantù,Virtus Bologna,32.23013698630137,1,15,2,7,0.286,0,2,0.0,3,5,0.6,1,3,4,0,1,0,2,5,7,0.7000000000000011,-4
2018-04-08,Pesaro,Pistoia,32.23287671232877,0,27,6,13,0.462,1,4,0.25,4,5,0.8,1,7,8,2,1,0,2,3,17,11.899999999999999,1
2018-04-22,Cantù,Pesaro,32.27123287671233,0,18,4,6,0.000,0,0,0.0,3,3,1.0,1,2,3,0,1,0,1,5,11,7.699999999999999,24
2018-04-29,Cantù,Reggio Emilia,32.29041095890411,0,17,6,9,0.000,0,0,0.0,7,7,1.0,2,1,3,1,0,1,2,2,19,15.399999999999995,17
2018-05-06,Cantù,Capo d'Orlando,32.30958904109589,0,12,0,1,0.000,0,0,0.0,1,2,0.5,1,2,3,1,0,0,3,5,1,-3.1,3
2018-05-09,Cantù,Brindisi,32.31780821917808,0,26,9,13,0.692,0,1,0.0,4,5,0.8,4,3,7,2,0,0,0,2,22,20.4,15
