date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-12-09,Venezia,Reggio Emilia,24.104109589041094,0,11,0,1,0.000,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,2,0,-0.9,5
2017-12-17,Venezia,Brescia,24.126027397260273,0,21,2,8,0.250,1,4,0.25,1,1,1.0,1,1,2,1,1,0,0,2,6,3.1000000000000005,-18
2017-12-26,Venezia,Sassari,24.15068493150685,0,17,1,5,0.200,0,4,0.0,0,0,0.0,0,2,2,3,1,0,2,5,2,-1.4000000000000004,1
2018-01-02,Venezia,Capo d'Orlando,24.16986301369863,0,20,4,8,0.500,2,4,0.5,1,3,0.333,0,5,5,0,0,0,0,0,11,7.7,12
2018-01-07,Venezia,Pesaro,24.183561643835617,0,23,3,7,0.429,2,5,0.4,0,0,0.0,0,3,3,1,0,0,0,0,8,5.8999999999999995,-7
2018-01-08,Milano,Pistoia,24.186301369863013,1,24,2,6,0.333,1,2,0.5,1,2,0.5,0,0,0,2,1,0,0,0,6,4.6000000000000005,5
2018-01-21,Venezia,Varese,24.221917808219178,1,29,3,9,0.333,2,6,0.333,0,0,0.0,1,4,5,2,0,0,1,3,8,3.999999999999999,-3
2018-01-28,Venezia,Trentino,24.24109589041096,0,18,1,4,0.250,0,1,0.0,0,0,0.0,1,3,4,1,0,1,1,1,2,1.1999999999999997,1
2018-02-04,Venezia,Brindisi,24.26027397260274,1,21,2,7,0.286,0,2,0.0,0,2,0.0,1,2,3,0,0,1,2,2,4,-1.7,2
2018-02-11,Venezia,Cremona,24.279452054794522,1,22,1,5,0.200,0,3,0.0,0,0,0.0,0,4,4,1,1,0,2,3,2,-1.4000000000000004,-2
2018-03-04,Venezia,Virtus Bologna,24.336986301369862,1,30,4,8,0.500,1,2,0.5,2,2,1.0,1,2,3,0,1,0,2,1,11,6.9,4
2018-03-11,Venezia,Torino,24.356164383561644,0,14,0,3,0.000,0,2,0.0,0,0,0.0,1,1,2,1,0,0,1,4,0,-3.0,2
2018-03-18,Venezia,Cantù,24.375342465753423,0,21,3,8,0.375,0,4,0.0,0,0,0.0,3,3,6,4,1,0,1,2,6,6.599999999999999,9
2018-03-25,Venezia,Pistoia,24.394520547945206,0,22,5,9,0.556,1,4,0.25,2,2,1.0,0,4,4,1,1,0,1,0,13,10.599999999999998,1
2018-04-01,Venezia,Avellino,24.413698630136988,0,30,6,7,0.857,2,2,1.0,2,2,1.0,0,3,3,3,3,0,0,2,16,18.7,12
2018-04-08,Venezia,Reggio Emilia,24.432876712328767,0,24,2,4,0.500,1,3,0.333,0,2,0.0,0,9,9,3,1,0,1,1,5,6.6,1
2018-04-08,Reggio Emilia,Venezia,24.432876712328767,0,21,0,3,0.000,0,2,0.0,0,0,0.0,0,4,4,2,0,0,1,1,0,-0.8999999999999998,0
2018-04-22,Venezia,Sassari,24.471232876712328,0,20,5,6,0.833,2,2,1.0,2,3,0.667,0,3,3,3,1,0,1,1,14,14.0,0
2018-04-29,Venezia,Capo d'Orlando,24.49041095890411,0,5,1,2,0.000,0,0,0.0,2,2,1.0,0,2,2,1,0,0,1,0,4,3.3000000000000007,6
2018-05-06,Venezia,Pesaro,24.50958904109589,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2018-05-09,Venezia,Milano,24.517808219178082,0,11,0,2,0.000,0,1,0.0,2,2,1.0,0,0,0,0,0,0,1,1,2,-0.7999999999999999,-5
