date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-01-07,Varese,Cremona,27.172602739726027,0,13,2,6,0.333,1,4,0.25,2,2,1.0,3,1,4,1,0,0,1,2,7,4.9,-4
2018-01-07,Reggio Emilia,Brindisi,27.172602739726027,0,10,0,1,0.000,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,1,0,0.6,-2
2018-01-21,Varese,Venezia,27.21095890410959,0,23,2,5,0.400,2,3,0.667,0,0,0.0,1,2,3,5,4,0,1,3,6,9.899999999999999,14
2018-01-29,Varese,Milano,27.232876712328768,0,15,1,4,0.250,0,2,0.0,0,0,0.0,1,0,1,1,0,0,0,1,2,0.6,-11
2018-02-05,Varese,Cantù,27.252054794520546,0,25,4,8,0.500,2,5,0.4,2,2,1.0,0,1,1,3,0,0,1,1,12,9.0,7
2018-02-11,Varese,Brescia,27.268493150684932,0,16,2,5,0.400,0,2,0.0,4,4,1.0,0,4,4,3,0,0,0,1,8,8.200000000000001,6
2018-03-04,Varese,Pistoia,27.326027397260273,1,28,1,5,0.200,0,3,0.0,0,0,0.0,1,3,4,2,1,0,1,4,2,0.2999999999999994,1
2018-03-10,Varese,Trentino,27.34246575342466,1,31,6,7,0.857,2,2,1.0,0,0,0.0,4,3,7,3,0,0,1,3,14,15.100000000000001,-14
2018-03-18,Varese,Avellino,27.364383561643837,1,33,5,9,0.556,2,3,0.667,0,0,0.0,2,2,4,5,0,0,3,2,12,9.399999999999999,5
2018-03-25,Varese,Sassari,27.383561643835616,1,26,3,5,0.000,0,0,0.0,0,0,0.0,1,1,2,4,3,0,2,3,6,7.300000000000001,-3
2018-03-31,Varese,Pesaro,27.4,1,20,4,6,0.667,1,2,0.5,3,3,1.0,1,2,3,1,2,1,2,2,12,11.299999999999997,33
2018-04-08,Varese,Capo d'Orlando,27.421917808219177,1,24,2,4,0.500,1,2,0.5,0,0,0.0,0,1,1,0,0,0,1,1,5,1.9,10
2018-04-08,Avellino,Cremona,27.421917808219177,1,18,2,3,0.000,0,0,0.0,2,2,1.0,1,2,3,4,0,1,0,5,6,7.5,5
2018-04-22,Varese,Virtus Bologna,27.46027397260274,1,32,3,6,0.500,3,5,0.6,1,2,0.5,0,3,3,2,2,0,2,2,10,8.1,7
2018-04-29,Varese,Brindisi,27.47945205479452,1,29,3,6,0.500,1,2,0.5,0,0,0.0,0,4,4,3,2,0,2,4,7,5.700000000000001,10
2018-05-06,Varese,Cremona,27.4986301369863,1,33,7,10,0.700,2,5,0.4,0,0,0.0,2,4,6,4,1,1,1,3,16,16.7,17
2018-05-09,Varese,Torino,27.506849315068493,1,21,3,6,0.500,2,4,0.5,1,2,0.5,0,2,2,3,0,0,0,0,9,8.299999999999999,-2
