date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Brescia,Pesaro,31.41917808219178,1,32,3,8,0.375,3,7,0.429,2,2,1.0,0,4,4,4,2,0,3,3,11,8.400000000000002,11
2017-10-08,Brescia,Avellino,31.438356164383563,1,28,4,6,0.000,0,0,0.0,0,0,0.0,0,0,0,11,0,0,0,4,8,11.5,2
2017-10-14,Brescia,Trentino,31.454794520547946,1,35,1,6,0.167,0,2,0.0,0,0,0.0,1,3,4,8,2,0,2,2,2,4.6000000000000005,16
2017-10-23,Brescia,Varese,31.47945205479452,1,31,5,9,0.556,4,7,0.571,0,0,0.0,3,2,5,8,2,0,4,3,14,14.8,11
2017-10-29,Brescia,Brindisi,31.495890410958904,1,33,4,10,0.400,3,6,0.5,0,0,0.0,0,3,3,4,1,2,0,3,11,10.5,11
2017-11-05,Brescia,Reggio Emilia,31.515068493150686,1,29,2,3,0.667,0,1,0.0,4,4,1.0,0,1,1,5,2,0,4,1,8,8.1,-1
2017-11-12,Brescia,Virtus Bologna,31.534246575342465,1,32,2,9,0.222,1,2,0.5,4,6,0.667,0,5,5,3,0,0,2,4,9,2.700000000000001,6
2017-11-19,Brescia,Capo d'Orlando,31.553424657534247,1,22,1,2,0.500,1,2,0.5,0,0,0.0,0,2,2,5,1,0,4,1,3,2.6999999999999993,25
2017-12-04,Brescia,Cantù,31.594520547945205,1,28,4,6,0.667,3,5,0.6,3,3,1.0,0,1,1,7,1,1,3,3,14,14.100000000000001,1
2017-12-09,Brescia,Sassari,31.60821917808219,1,34,4,10,0.400,2,7,0.286,0,0,0.0,1,1,2,7,1,0,3,3,10,7.300000000000001,-2
2017-12-17,Brescia,Venezia,31.63013698630137,1,28,2,10,0.200,2,7,0.286,2,2,1.0,0,3,3,6,0,0,1,3,8,4.7,20
2017-12-26,Brescia,Milano,31.654794520547945,1,29,2,7,0.286,1,3,0.333,0,0,0.0,0,1,1,3,0,0,2,3,5,0.09999999999999964,-8
2018-01-02,Brescia,Cremona,31.673972602739727,1,30,2,7,0.286,0,5,0.0,1,2,0.5,0,2,2,4,2,0,2,2,5,3.1000000000000005,-3
2018-01-07,Brescia,Torino,31.687671232876713,1,26,1,5,0.200,0,2,0.0,0,0,0.0,0,4,4,4,1,0,0,4,2,2.2999999999999994,-7
2018-01-07,Cremona,Varese,31.687671232876713,1,30,2,6,0.333,2,4,0.5,3,4,0.75,0,1,1,5,3,0,3,3,9,7.800000000000001,6
2018-01-21,Brescia,Pesaro,31.726027397260275,1,30,3,5,0.600,1,2,0.5,1,1,1.0,1,3,4,8,1,0,2,2,8,11.099999999999998,20
2018-01-28,Brescia,Avellino,31.745205479452054,1,34,3,6,0.500,2,3,0.667,3,4,0.75,0,4,4,6,1,0,4,2,11,9.199999999999998,-13
2018-02-04,Brescia,Trentino,31.764383561643836,1,30,2,6,0.333,2,3,0.667,3,3,1.0,0,0,0,8,2,0,2,4,9,9.600000000000001,-10
2018-02-11,Brescia,Varese,31.78356164383562,1,31,1,6,0.167,0,3,0.0,4,5,0.8,0,4,4,9,1,0,1,2,6,8.5,-24
2018-03-05,Brescia,Brindisi,31.843835616438355,1,26,0,5,0.000,0,2,0.0,2,2,1.0,0,7,7,6,3,0,1,5,2,4.799999999999999,-8
2018-03-18,Brescia,Virtus Bologna,31.87945205479452,1,32,4,11,0.364,3,9,0.333,0,0,0.0,1,2,3,10,1,0,1,3,11,12.0,-2
2018-03-24,Brescia,Capo d'Orlando,31.895890410958906,1,28,1,5,0.200,1,4,0.25,1,1,1.0,0,3,3,8,2,0,2,4,4,5.800000000000001,-6
2018-03-31,Brescia,Cantù,31.915068493150685,1,28,3,8,0.375,1,3,0.333,2,2,1.0,1,2,3,3,0,0,4,3,9,2.799999999999999,4
2018-04-04,Brescia,Reggio Emilia,31.926027397260274,1,33,2,7,0.286,1,5,0.2,7,8,0.875,1,4,5,4,0,0,4,3,12,7.0,-2
2018-04-08,Venezia,Reggio Emilia,31.936986301369863,1,26,1,3,0.333,1,2,0.5,1,2,0.5,0,3,3,4,0,0,0,2,4,4.800000000000001,-16
2018-04-08,Brescia,Sassari,31.936986301369863,1,29,3,4,0.750,1,2,0.5,3,5,0.6,1,3,4,9,2,0,3,3,10,13.3,5
2018-04-22,Brescia,Milano,31.975342465753425,1,34,3,8,0.375,2,6,0.333,6,6,1.0,0,6,6,4,1,1,3,2,14,12.099999999999998,4
2018-04-28,Brescia,Cremona,31.991780821917807,1,34,3,7,0.429,3,6,0.5,0,0,0.0,1,1,2,10,0,0,3,3,9,9.100000000000001,-5
2018-05-06,Brescia,Torino,32.013698630136986,1,27,1,7,0.143,0,1,0.0,2,2,1.0,1,4,5,5,1,0,4,4,4,0.3000000000000007,-12
2018-05-09,Brescia,Pistoia,32.02191780821918,1,21,1,3,0.000,0,0,0.0,3,3,1.0,2,0,2,8,1,0,3,2,5,7.5,-5
