date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Torino,Brindisi,33.58904109589041,1,27,5,11,0.455,2,4,0.5,0,0,0.0,1,2,3,4,1,0,3,0,12,8.400000000000002,0
2017-10-07,Torino,Sassari,33.605479452054794,1,34,6,15,0.400,4,9,0.444,5,5,1.0,0,4,4,1,1,0,2,2,21,12.999999999999996,1
2017-10-14,Torino,Avellino,33.62465753424657,1,30,2,8,0.250,1,4,0.25,0,0,0.0,1,3,4,3,0,0,0,1,5,3.4999999999999996,-10
2017-10-22,Torino,Pesaro,33.64657534246575,1,27,7,16,0.438,5,11,0.455,4,4,1.0,0,3,3,4,0,0,2,3,23,15.100000000000001,3
2017-10-29,Torino,Capo d'Orlando,33.66575342465754,0,30,6,14,0.429,1,8,0.125,0,0,0.0,1,1,2,3,2,0,1,2,13,8.9,9
2017-11-05,Torino,Venezia,33.68493150684932,1,26,4,9,0.444,3,5,0.6,2,2,1.0,1,4,5,3,2,0,3,1,13,10.899999999999999,4
2017-11-12,Torino,Cremona,33.704109589041096,1,33,5,16,0.313,5,10,0.5,2,2,1.0,0,4,4,2,1,0,0,3,17,10.2,6
2017-11-19,Torino,Cantù,33.723287671232875,1,32,5,14,0.357,4,10,0.4,2,2,1.0,2,3,5,2,2,0,1,4,16,11.300000000000002,6
2017-12-03,Torino,Pistoia,33.76164383561644,0,25,3,8,0.375,1,3,0.333,0,0,0.0,0,3,3,0,1,0,2,1,7,2.0999999999999996,-12
2017-12-10,Torino,Milano,33.78082191780822,1,30,4,12,0.333,2,6,0.333,0,0,0.0,0,1,1,3,1,0,2,3,10,3.4000000000000004,-6
2017-12-17,Torino,Virtus Bologna,33.8,1,30,0,10,0.000,0,7,0.0,0,0,0.0,1,4,5,2,1,0,3,3,0,-6.9,-9
2017-12-23,Torino,Reggio Emilia,33.81643835616438,0,22,6,10,0.600,4,6,0.667,0,0,0.0,2,4,6,3,5,0,3,1,16,17.700000000000003,22
2017-12-30,Torino,Trentino,33.83561643835616,1,24,4,11,0.364,2,6,0.333,0,0,0.0,0,2,2,0,3,0,1,2,10,5.7,-12
2018-01-07,Brindisi,Reggio Emilia,33.85753424657534,0,27,6,12,0.500,0,2,0.0,2,3,0.667,0,4,4,3,0,0,1,1,14,9.499999999999998,3
2018-01-07,Torino,Brescia,33.85753424657534,1,26,5,9,0.556,2,3,0.667,3,3,1.0,2,5,7,7,0,0,1,4,15,15.899999999999999,9
2018-01-21,Torino,Brindisi,33.895890410958906,1,33,1,8,0.125,1,7,0.143,1,2,0.5,1,5,6,4,2,0,2,2,4,2.6000000000000005,-7
2018-02-04,Torino,Avellino,33.93424657534246,1,32,3,14,0.214,2,10,0.2,5,6,0.833,3,2,5,3,2,0,1,3,13,8.599999999999998,-19
2018-03-04,Torino,Capo d'Orlando,34.010958904109586,0,31,8,11,0.727,5,8,0.625,7,9,0.778,0,6,6,0,2,0,1,2,28,24.7,-8
2018-03-11,Torino,Venezia,34.03013698630137,0,29,2,10,0.200,0,6,0.0,3,4,0.75,0,5,5,2,0,0,0,3,7,2.0999999999999996,1
2018-03-18,Torino,Cremona,34.04931506849315,1,14,2,5,0.400,1,2,0.5,1,1,1.0,1,1,2,0,0,0,4,3,6,-0.9000000000000004,-2
2018-03-25,Torino,Cantù,34.06849315068493,0,28,5,15,0.333,5,9,0.556,0,0,0.0,2,3,5,1,1,0,2,1,15,8.1,3
2018-03-31,Torino,Pistoia,34.084931506849315,0,22,2,6,0.333,1,4,0.25,5,5,1.0,0,0,0,0,4,0,2,2,10,7.800000000000001,-14
2018-04-07,Virtus Bologna,Cantù,34.104109589041094,1,37,4,13,0.308,2,10,0.2,3,3,1.0,2,3,5,2,0,0,2,4,13,5.600000000000001,2
2018-04-08,Torino,Milano,34.106849315068494,1,37,3,8,0.375,3,3,1.0,2,2,1.0,0,2,2,4,2,0,2,3,11,8.8,-14
2018-04-23,Torino,Reggio Emilia,34.14794520547945,1,32,1,7,0.143,0,3,0.0,3,4,0.75,0,0,0,1,0,0,1,2,5,-0.9999999999999992,-3
2018-04-29,Torino,Trentino,34.16438356164384,1,23,4,10,0.400,3,5,0.6,3,3,1.0,1,2,3,4,1,0,0,3,14,12.5,11
2018-05-09,Torino,Varese,34.19178082191781,0,30,7,14,0.500,6,11,0.545,4,5,0.8,0,3,3,0,1,0,0,3,24,17.3,14
