date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-01,Torino,Brindisi,31.824657534246576,0,21,3,5,0.600,1,1,1.0,0,0,0.0,3,6,9,0,2,0,3,3,7,6.399999999999999,4
2017-10-07,Torino,Sassari,31.84109589041096,0,15,1,4,0.250,1,2,0.5,0,0,0.0,0,6,6,1,0,0,4,3,3,-2.1000000000000005,-7
2017-10-14,Torino,Avellino,31.86027397260274,0,25,3,11,0.273,2,7,0.286,1,2,0.5,2,8,10,1,0,0,1,3,9,4.4,-2
2017-10-22,Torino,Pesaro,31.88219178082192,1,24,6,8,0.750,1,1,1.0,2,2,1.0,3,4,7,2,3,0,2,4,15,15.899999999999995,2
2017-10-29,Torino,Capo d'Orlando,31.9013698630137,1,28,3,8,0.375,1,3,0.333,2,2,1.0,0,4,4,2,2,0,0,2,9,8.399999999999999,12
2017-11-05,Torino,Venezia,31.92054794520548,1,24,1,6,0.167,0,1,0.0,0,0,0.0,0,6,6,2,2,0,2,4,2,-0.19999999999999973,5
2017-11-12,Torino,Cremona,31.93972602739726,0,28,4,9,0.444,1,3,0.333,6,8,0.75,2,3,5,5,1,0,3,1,15,12.9,7
2017-11-19,Torino,Cantù,31.958904109589042,1,34,13,16,0.813,0,2,0.0,3,5,0.6,3,4,7,3,1,0,1,4,29,26.0,1
2017-12-03,Torino,Pistoia,31.997260273972604,1,34,1,5,0.200,0,2,0.0,2,2,1.0,0,6,6,3,4,0,1,2,4,7.0,-8
2017-12-10,Torino,Milano,32.016438356164386,0,31,1,7,0.143,0,1,0.0,1,2,0.5,3,10,13,1,0,0,1,5,3,0.9000000000000004,12
2017-12-17,Torino,Virtus Bologna,32.035616438356165,0,21,3,5,0.600,0,2,0.0,1,1,1.0,1,1,2,4,3,0,1,3,7,9.3,-12
2017-12-23,Torino,Reggio Emilia,32.05205479452055,0,20,5,6,0.833,0,1,0.0,0,0,0.0,2,4,6,3,1,0,0,2,10,12.7,16
2017-12-30,Torino,Trentino,32.07123287671233,1,27,2,8,0.250,1,4,0.25,2,2,1.0,1,7,8,3,1,1,1,5,7,5.799999999999999,13
2018-01-07,Brindisi,Reggio Emilia,32.09315068493151,0,7,0,1,0.000,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,2,0,0.19999999999999996,-5
2018-01-07,Torino,Brescia,32.09315068493151,0,20,1,2,0.500,1,2,0.5,6,7,0.857,0,8,8,1,3,0,1,4,9,11.1,3
2018-01-21,Torino,Brindisi,32.131506849315066,1,24,3,5,0.600,0,2,0.0,4,5,0.8,3,8,11,1,0,0,7,3,10,4.299999999999997,-31
2018-01-27,Torino,Sassari,32.14794520547945,1,24,1,4,0.250,0,1,0.0,3,8,0.375,0,5,5,1,2,0,2,2,5,2.000000000000001,-1
2018-02-04,Torino,Avellino,32.16986301369863,1,34,5,9,0.000,0,0,0.0,2,4,0.5,2,4,6,2,2,0,2,3,12,9.7,-18
2018-02-11,Torino,Pesaro,32.18904109589041,1,32,3,8,0.375,2,3,0.667,2,2,1.0,0,2,2,4,2,0,3,3,10,6.800000000000001,-2
2018-03-04,Torino,Capo d'Orlando,32.24657534246575,1,14,1,2,0.500,1,1,1.0,0,2,0.0,2,1,3,2,0,0,2,3,3,1.0999999999999988,14
2018-03-11,Torino,Venezia,32.26575342465753,1,31,3,8,0.375,0,2,0.0,1,2,0.5,2,2,4,4,4,0,1,3,7,8.8,-5
2018-03-18,Torino,Cremona,32.28493150684932,1,34,4,12,0.333,0,4,0.0,2,2,1.0,1,2,3,0,4,0,2,3,10,5.3,-24
2018-03-25,Torino,Cantù,32.3041095890411,1,33,10,17,0.588,3,5,0.6,7,9,0.778,4,2,6,2,1,0,2,4,30,23.5,-6
2018-03-31,Torino,Pistoia,32.32054794520548,1,21,2,8,0.250,0,1,0.0,1,2,0.5,2,3,5,0,1,0,1,4,5,0.5,-15
2018-04-07,Virtus Bologna,Cantù,32.33972602739726,1,30,7,9,0.778,2,2,1.0,1,4,0.25,1,8,9,2,1,0,2,2,17,14.999999999999996,7
2018-04-08,Torino,Milano,32.342465753424655,1,29,4,9,0.444,0,2,0.0,2,2,1.0,0,4,4,1,1,0,2,3,10,4.999999999999999,-12
2018-04-23,Torino,Reggio Emilia,32.38356164383562,1,27,4,8,0.500,0,1,0.0,2,5,0.4,1,3,4,4,3,0,1,3,10,10.0,-3
2018-04-29,Torino,Trentino,32.4,1,33,3,7,0.429,3,5,0.6,5,6,0.833,2,3,5,4,2,0,2,4,14,13.4,-2
2018-05-06,Torino,Brescia,32.419178082191785,1,34,6,12,0.500,1,7,0.143,2,7,0.286,2,8,10,3,0,0,2,5,15,8.9,2
2018-05-09,Torino,Varese,32.42739726027397,1,29,1,10,0.100,0,5,0.0,6,9,0.667,1,4,5,4,1,0,1,4,8,3.3000000000000007,7
