date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-10-02,Avellino,Reggio Emilia,25.482191780821918,1,24,3,7,0.429,2,2,1.0,6,8,0.75,0,1,1,1,1,0,1,1,14,10.1,3
2017-10-08,Avellino,Brescia,25.4986301369863,1,26,4,7,0.571,2,4,0.5,4,6,0.667,0,4,4,1,0,1,1,1,14,11.099999999999996,-4
2017-10-14,Avellino,Torino,25.515068493150686,1,25,4,9,0.444,1,3,0.333,3,4,0.75,1,8,9,1,1,0,5,3,12,5.5,-6
2017-10-22,Avellino,Pistoia,25.536986301369865,1,23,7,12,0.583,0,1,0.0,3,5,0.6,0,1,1,0,2,1,1,2,17,11.8,0
2017-10-28,Avellino,Cantù,25.553424657534247,1,20,4,10,0.400,0,3,0.0,1,2,0.5,1,1,2,0,0,1,3,2,9,1.0999999999999996,2
2017-11-05,Avellino,Brindisi,25.575342465753426,1,25,4,6,0.000,0,0,0.0,1,1,1.0,0,0,0,1,0,0,2,3,9,3.9000000000000004,-6
2017-11-12,Avellino,Varese,25.594520547945205,1,30,6,17,0.353,1,5,0.2,3,3,1.0,2,3,5,1,0,0,1,2,16,7.699999999999999,0
2017-11-19,Avellino,Milano,25.613698630136987,1,34,5,11,0.455,2,3,0.667,4,5,0.8,0,2,2,1,1,2,1,4,16,11.0,3
2017-12-02,Avellino,Venezia,25.649315068493152,1,37,8,13,0.000,0,0,0.0,0,0,0.0,0,3,3,1,3,0,2,3,16,11.5,2
2018-01-02,Avellino,Sassari,25.734246575342468,0,15,2,5,0.400,1,2,0.5,0,0,0.0,1,2,3,1,1,0,2,1,5,2.8999999999999995,-1
2018-01-07,Avellino,Virtus Bologna,25.747945205479454,0,20,8,11,0.727,1,1,1.0,0,0,0.0,0,3,3,0,1,0,2,1,17,12.0,16
2018-01-07,Capo d'Orlando,Cantù,25.747945205479454,0,8,0,1,0.000,0,1,0.0,0,0,0.0,0,2,2,1,1,0,3,3,0,-2.6,-4
2018-01-20,Avellino,Reggio Emilia,25.78356164383562,1,12,3,7,0.000,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,2,6,2.9000000000000012,-10
2018-01-28,Avellino,Brescia,25.805479452054794,0,26,6,10,0.600,1,3,0.333,2,2,1.0,2,3,5,2,4,0,0,3,15,16.9,8
2018-02-04,Avellino,Torino,25.824657534246576,0,19,5,7,0.000,0,0,0.0,0,0,0.0,2,2,4,3,0,1,1,0,10,10.899999999999999,14
2018-02-11,Avellino,Pistoia,25.843835616438355,0,21,4,9,0.444,0,1,0.0,0,0,0.0,0,2,2,4,1,0,3,1,8,4.3,17
2018-03-04,Avellino,Cantù,25.9013698630137,1,25,5,11,0.455,0,2,0.0,4,5,0.8,1,2,3,2,0,0,3,4,14,6.0,-1
2018-03-11,Avellino,Brindisi,25.92054794520548,0,21,4,5,0.000,0,0,0.0,4,4,1.0,0,4,4,3,0,0,3,0,12,10.399999999999999,12
2018-03-18,Avellino,Varese,25.93972602739726,0,21,5,9,0.556,2,2,1.0,3,4,0.75,0,2,2,1,1,2,0,2,15,13.199999999999998,-4
2018-03-25,Avellino,Milano,25.958904109589042,0,17,4,4,1.000,1,1,1.0,5,7,0.714,0,2,2,0,1,0,1,3,14,11.399999999999999,-3
2018-04-01,Avellino,Venezia,25.97808219178082,1,28,3,7,0.429,0,1,0.0,4,6,0.667,0,5,5,2,0,0,1,3,10,6.2,-10
2018-04-08,Avellino,Cremona,25.997260273972604,0,22,7,8,0.875,2,2,1.0,2,2,1.0,0,4,4,3,0,0,2,1,18,16.1,-1
2018-04-08,Capo d'Orlando,Varese,25.997260273972604,0,20,4,8,0.000,0,0,0.0,0,0,0.0,0,3,3,2,1,0,2,1,8,4.9,18
2018-04-22,Avellino,Capo d'Orlando,26.035616438356165,0,14,1,4,0.250,0,2,0.0,3,4,0.75,0,0,0,1,0,0,0,2,5,2.1000000000000005,2
2018-04-29,Avellino,Sassari,26.054794520547944,1,20,5,10,0.500,1,1,1.0,1,2,0.5,2,0,2,5,1,0,3,3,12,8.3,6
2018-05-06,Avellino,Virtus Bologna,26.073972602739726,0,21,2,4,0.500,0,1,0.0,0,0,0.0,0,1,1,2,1,0,2,3,4,1.4999999999999991,8
2018-05-09,Avellino,Trentino,26.08219178082192,1,26,6,9,0.667,1,3,0.333,5,5,1.0,1,7,8,1,0,0,4,3,18,12.399999999999999,5
