date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2017-12-03,Reggio Emilia,Milano,35.14246575342466,0,26,3,7,0.429,0,1,0.0,2,2,1.0,3,4,7,2,3,0,0,1,8,11.6,-6
2017-12-09,Reggio Emilia,Venezia,35.15890410958904,1,27,2,9,0.000,0,0,0.0,1,2,0.5,2,4,6,0,2,0,1,4,5,1.0999999999999996,2
2017-12-16,Reggio Emilia,Varese,35.178082191780824,0,27,5,9,0.556,1,1,1.0,6,8,0.75,1,4,5,3,3,0,0,0,17,18.9,6
2017-12-23,Reggio Emilia,Torino,35.1972602739726,1,24,3,6,0.500,2,3,0.667,2,2,1.0,0,2,2,0,1,1,2,1,10,6.899999999999999,-20
2017-12-30,Reggio Emilia,Cantù,35.21643835616438,1,18,1,5,0.200,1,4,0.25,0,0,0.0,0,2,2,0,1,0,1,2,3,-0.30000000000000004,-10
2018-01-07,Brescia,Torino,35.23835616438356,1,31,2,6,0.333,0,1,0.0,0,0,0.0,0,2,2,3,1,0,0,3,4,3.1000000000000005,-20
2018-01-07,Reggio Emilia,Brindisi,35.23835616438356,1,34,4,8,0.500,3,6,0.5,5,6,0.833,1,5,6,0,1,0,1,3,16,12.600000000000001,0
2018-01-20,Reggio Emilia,Avellino,35.273972602739725,1,28,5,7,0.714,1,2,0.5,2,2,1.0,1,3,4,1,0,0,2,2,13,9.6,5
2018-01-27,Reggio Emilia,Pesaro,35.293150684931504,1,27,4,6,0.667,1,3,0.333,4,4,1.0,2,3,5,2,1,0,1,3,13,12.900000000000002,15
2018-02-04,Reggio Emilia,Sassari,35.31506849315068,1,33,5,5,0.000,0,0,0.0,3,4,0.75,0,4,4,0,0,1,2,1,13,10.599999999999998,-2
2018-02-11,Reggio Emilia,Capo d'Orlando,35.33424657534247,1,30,5,10,0.500,2,3,0.667,0,0,0.0,0,3,3,1,0,0,1,0,12,7.6,5
2018-03-03,Reggio Emilia,Trentino,35.38904109589041,1,29,1,8,0.125,0,4,0.0,0,0,0.0,0,5,5,3,1,0,0,0,2,1.4,-4
2018-03-31,Reggio Emilia,Milano,35.465753424657535,0,22,3,6,0.500,1,2,0.5,0,0,0.0,1,3,4,3,1,0,1,2,7,6.8999999999999995,-16
2018-04-04,Reggio Emilia,Brescia,35.47671232876712,1,25,5,10,0.500,1,3,0.333,0,2,0.0,2,3,5,4,2,0,1,3,11,10.100000000000001,5
2018-04-08,Reggio Emilia,Venezia,35.487671232876714,1,33,7,10,0.700,1,2,0.5,6,7,0.857,0,6,6,1,2,0,1,2,21,19.1,3
2018-04-08,Cremona,Avellino,35.487671232876714,1,30,5,8,0.625,1,3,0.333,3,4,0.75,1,1,2,2,0,0,1,4,14,9.8,-10
2018-04-18,Reggio Emilia,Cremona,35.515068493150686,1,30,5,8,0.625,1,3,0.333,5,5,1.0,2,6,8,5,0,0,3,1,16,15.700000000000003,11
2018-04-23,Reggio Emilia,Torino,35.52876712328767,1,35,3,9,0.333,1,3,0.333,2,2,1.0,0,5,5,2,0,0,0,2,9,5.999999999999999,11
2018-04-29,Reggio Emilia,Cantù,35.54520547945206,1,34,4,7,0.571,2,3,0.667,1,1,1.0,1,5,6,7,2,0,5,2,11,11.0,-5
2018-05-06,Reggio Emilia,Brindisi,35.56438356164384,0,27,3,6,0.500,1,1,1.0,3,3,1.0,1,3,4,1,0,1,2,4,10,6.399999999999999,4
2018-05-09,Reggio Emilia,Virtus Bologna,35.57260273972603,1,24,5,10,0.500,0,3,0.0,3,5,0.6,2,3,5,3,0,0,5,2,13,5.799999999999999,4
