date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-31,Cantù,Sassari,28.65205479452055,0,13,3,5,0.000,0,0,0.0,1,1,1.0,2,2,4,0,0,0,2,3,7,3.499999999999999,-12
2018-09-25,Brindisi,Trentino,28.553424657534247,1,25,5,13,0.385,0,1,0.0,0,2,0.0,2,4,6,1,2,3,0,2,10,8.7,12
2019-03-01,Brindisi,Pistoia,28.983561643835618,1,26,3,4,0.000,0,0,0.0,1,2,0.5,0,5,5,0,0,3,0,4,7,6.999999999999998,5
2019-05-06,Brindisi,Reggio Emilia,29.164383561643834,0,13,2,2,0.000,0,0,0.0,1,1,1.0,0,1,1,0,0,0,1,1,5,3.3,-6
2018-10-19,Brindisi,Varese,28.61917808219178,0,20,4,5,0.000,0,0,0.0,2,2,1.0,2,2,4,0,0,1,1,5,10,7.799999999999999,-8
2019-04-18,Brindisi,Torino,29.115068493150684,1,21,4,5,0.000,0,0,0.0,2,2,1.0,2,3,5,0,0,0,0,3,10,9.2,5
2019-02-07,Brindisi,Cremona,28.923287671232877,1,17,3,3,0.000,0,0,0.0,0,1,0.0,2,4,6,1,0,1,2,5,6,4.699999999999999,24
2018-12-12,Brindisi,Brescia,28.767123287671232,1,17,1,1,0.000,0,0,0.0,1,2,0.5,1,9,10,1,0,1,3,5,3,2.0999999999999996,9
2019-01-08,Brindisi,Cantù,28.84109589041096,0,19,2,5,0.000,0,0,0.0,0,0,0.0,2,0,2,0,1,0,1,3,4,1.4999999999999996,4
2018-12-27,Brindisi,Avellino,28.808219178082194,0,6,1,1,0.000,0,0,0.0,0,0,0.0,0,1,1,0,0,1,2,3,2,-0.5,3
2018-12-05,Brindisi,Sassari,28.747945205479454,0,17,2,5,0.000,0,0,0.0,0,0,0.0,2,1,3,0,0,1,3,4,4,-0.9000000000000008,-7
2019-04-30,Brindisi,Pesaro,29.147945205479452,0,10,1,3,0.000,0,0,0.0,1,3,0.333,3,3,6,0,0,0,0,3,3,2.2999999999999994,-3
2019-02-18,Brindisi,Milano,28.953424657534246,0,12,2,4,0.000,0,0,0.0,0,0,0.0,3,2,5,0,0,0,0,1,4,4.299999999999999,-2
2019-07-01,Brindisi,Caserta,29.317808219178083,0,14,2,3,0.000,0,0,0.0,0,0,0.0,1,2,3,0,0,0,2,4,4,0.3999999999999999,9
2019-02-03,Brindisi,Capo d'Orlando,28.912328767123288,0,11,1,5,0.000,0,0,0.0,0,0,0.0,1,4,5,0,0,1,0,2,2,0.6999999999999997,-8
2018-10-14,Brindisi,Venezia,28.605479452054794,1,18,2,2,0.000,0,0,0.0,2,3,0.667,2,4,6,0,0,1,2,3,6,5.1000000000000005,9
2019-07-04,Brindisi,Trentino,29.326027397260273,0,7,0,2,0.000,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,0,-2.1,-7
2018-10-04,Brindisi,Pistoia,28.578082191780823,1,17,3,5,0.000,0,0,0.0,1,1,1.0,1,5,6,0,0,1,1,2,7,5.8,-3
2018-10-11,Brindisi,Reggio Emilia,28.5972602739726,0,13,3,5,0.000,0,0,0.0,1,1,1.0,2,2,4,0,0,0,2,3,7,3.499999999999999,-12
2019-08-14,Brindisi,Varese,29.438356164383563,0,17,2,3,0.000,0,0,0.0,0,0,0.0,1,1,2,1,0,0,2,3,4,1.2000000000000002,11
2018-12-28,Brindisi,Torino,28.81095890410959,0,18,5,5,0.000,0,0,0.0,0,0,0.0,3,3,6,0,0,0,0,2,10,10.7,8
2019-02-28,Brindisi,Cremona,28.98082191780822,1,18,3,8,0.000,0,0,0.0,0,0,0.0,3,1,4,0,2,1,2,2,6,3.9000000000000004,4
2019-06-11,Brindisi,Brescia,29.263013698630136,1,14,0,1,0.000,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,1,0,0.19999999999999996,-3
2018-10-05,Brindisi,Cantù,28.58082191780822,0,16,1,2,0.000,0,0,0.0,0,0,0.0,1,1,2,0,2,1,0,2,2,3.9000000000000004,2
