date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-02-20,Varese,Sassari,28.15068493150685,1,27,7,10,0.000,0,0,0.0,1,1,1.0,5,9,14,3,0,0,4,1,15,14.700000000000003,7
2018-10-21,Varese,Caserta,27.816438356164383,1,20,2,6,0.000,0,0,0.0,1,2,0.5,4,4,8,2,2,0,0,2,5,7.8,6
2019-08-03,Varese,Milano,28.6,1,25,2,3,0.000,0,0,0.0,1,2,0.5,4,8,12,1,2,0,4,2,5,6.399999999999999,-12
2018-10-19,Varese,Brindisi,27.81095890410959,1,24,2,2,0.000,0,0,0.0,1,4,0.25,4,8,12,1,2,0,4,2,5,6.299999999999999,4
2019-05-29,Varese,Pistoia,28.41917808219178,1,18,0,3,0.000,0,0,0.0,3,8,0.375,1,4,5,1,0,0,0,1,3,1.1,-13
2018-12-03,Varese,Pesaro,27.934246575342467,0,21,5,6,0.000,0,0,0.0,0,0,0.0,3,2,5,1,2,0,1,1,10,11.799999999999999,0
2019-05-25,Varese,Brescia,28.40821917808219,1,22,3,4,0.000,0,0,0.0,2,3,0.667,3,6,9,0,0,0,1,1,8,8.499999999999998,1
2019-07-29,Varese,Capo d'Orlando,28.586301369863016,1,19,5,8,0.000,0,0,0.0,1,1,1.0,3,8,11,0,0,0,2,3,11,8.7,-16
2019-03-28,Varese,Cantù,28.24931506849315,1,24,4,7,0.000,0,0,0.0,3,4,0.75,5,5,10,2,2,0,4,4,11,10.100000000000001,-5
2019-07-31,Varese,Reggio Emilia,28.59178082191781,1,26,4,9,0.444,0,1,0.0,2,5,0.4,4,9,13,0,1,1,2,5,10,7.299999999999999,1
2018-11-19,Varese,Trentino,27.895890410958906,1,24,7,11,0.000,0,0,0.0,2,2,1.0,3,9,12,0,1,0,0,2,16,16.099999999999998,-1
2019-08-29,Varese,Venezia,28.671232876712327,1,28,2,6,0.000,0,0,0.0,0,2,0.0,3,11,14,0,0,0,0,2,4,4.4,-12
2019-07-23,Varese,Cremona,28.56986301369863,1,32,6,9,0.000,0,0,0.0,1,1,1.0,7,13,20,1,1,0,5,3,13,13.399999999999999,-9
2019-03-09,Varese,Torino,28.197260273972603,1,30,5,8,0.000,0,0,0.0,1,3,0.333,8,9,17,0,1,0,0,4,11,14.299999999999999,6
2019-06-17,Varese,Sassari,28.471232876712328,1,25,4,7,0.000,0,0,0.0,1,2,0.5,2,3,5,1,0,0,0,1,9,7.899999999999999,-5
2019-08-06,Varese,Caserta,28.60821917808219,1,29,4,6,0.000,0,0,0.0,2,6,0.333,4,17,21,1,2,1,2,4,10,13.500000000000002,-9
2019-06-19,Varese,Milano,28.476712328767125,1,22,4,6,0.000,0,0,0.0,5,7,0.714,6,4,10,1,1,0,1,4,13,14.1,7
2019-08-14,Varese,Brindisi,28.63013698630137,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-07-17,Varese,Pistoia,28.553424657534247,1,26,5,12,0.000,0,0,0.0,0,0,0.0,5,10,15,1,1,0,0,1,10,11.4,3
2018-12-24,Varese,Avellino,27.991780821917807,1,28,8,10,0.000,0,0,0.0,3,5,0.6,3,4,7,1,0,1,1,2,19,17.299999999999997,13
2018-09-08,Varese,Pesaro,27.698630136986303,1,26,5,8,0.000,0,0,0.0,8,8,1.0,2,9,11,0,1,0,2,3,18,16.3,2
2018-10-21,Varese,Brescia,27.816438356164383,1,27,4,6,0.000,0,0,0.0,1,2,0.5,3,6,9,1,0,1,2,3,9,8.099999999999998,-2
2019-03-31,Varese,Capo d'Orlando,28.257534246575343,1,18,5,8,0.000,0,0,0.0,2,4,0.5,2,7,9,0,1,0,1,4,12,9.5,0
2018-09-06,Varese,Cantù,27.693150684931506,1,23,5,7,0.000,0,0,0.0,0,0,0.0,4,9,13,0,2,0,4,3,10,9.399999999999999,-1
2019-05-15,Varese,Reggio Emilia,28.38082191780822,1,24,3,4,0.000,0,0,0.0,0,0,0.0,1,4,5,0,1,0,0,3,6,6.1000000000000005,-10
2019-05-23,Varese,Trentino,28.4027397260274,1,25,4,5,0.000,0,0,0.0,1,1,1.0,3,10,13,1,0,1,2,4,9,9.999999999999998,-8
2018-10-21,Varese,Venezia,27.816438356164383,1,23,3,8,0.000,0,0,0.0,3,6,0.5,7,8,15,0,0,1,0,3,9,10.2,1
2018-11-22,Varese,Cremona,27.904109589041095,1,29,4,7,0.000,0,0,0.0,2,2,1.0,5,4,9,1,0,1,0,4,10,11.199999999999998,3
2018-11-01,Varese,Torino,27.846575342465755,1,12,1,4,0.000,0,0,0.0,0,0,0.0,4,3,7,0,0,0,1,3,2,1.0999999999999996,-2
