date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-12-17,Varese,Brescia,31.350684931506848,1,26,6,11,0.545,2,7,0.286,0,1,0.0,0,5,5,2,1,0,1,2,14,10.399999999999999,1
2018-09-24,Varese,Sassari,31.12054794520548,1,32,0,5,0.000,0,3,0.0,2,2,1.0,1,4,5,1,3,1,5,2,2,-1.0,-6
2019-08-21,Varese,Trentino,32.02739726027397,1,18,4,8,0.500,1,4,0.25,1,1,1.0,4,1,5,0,1,0,1,3,10,7.900000000000002,1
2019-06-16,Varese,Trieste,31.846575342465755,1,18,4,7,0.571,3,3,1.0,0,0,0.0,1,2,3,0,0,1,3,4,11,5.1,1
2018-09-30,Varese,Reggio Emilia,31.136986301369863,1,33,8,17,0.471,5,11,0.455,1,2,0.5,2,2,4,4,2,0,2,1,22,17.3,-3
2019-07-15,Varese,Avellino,31.926027397260274,1,31,4,9,0.444,2,6,0.333,0,0,0.0,1,4,5,4,0,1,0,1,10,10.299999999999999,-11
2018-11-27,Varese,Cremona,31.295890410958904,1,32,8,14,0.571,4,8,0.5,2,2,1.0,1,6,7,0,0,1,3,1,22,15.200000000000003,14
2018-12-22,Varese,Brindisi,31.364383561643837,1,28,4,12,0.333,1,8,0.125,2,2,1.0,0,3,3,3,0,1,2,0,11,5.900000000000001,5
2019-01-24,Varese,Venezia,31.454794520547946,1,34,1,8,0.125,0,5,0.0,1,2,0.5,0,4,4,2,3,1,1,2,3,1.9000000000000004,8
2019-08-06,Varese,Torino,31.986301369863014,1,30,6,13,0.462,5,10,0.5,0,0,0.0,1,6,7,1,2,0,1,3,17,13.299999999999997,18
2018-11-18,Varese,Milano,31.27123287671233,1,35,5,15,0.333,2,6,0.333,1,2,0.5,1,6,7,1,1,1,1,1,13,7.599999999999998,2
2019-07-24,Varese,Cantù,31.95068493150685,1,29,3,8,0.375,1,6,0.167,4,5,0.8,1,1,2,3,1,0,1,3,11,8.099999999999998,15
2019-08-13,Varese,Pesaro,32.00547945205479,1,35,3,10,0.300,2,6,0.333,3,3,1.0,0,4,4,2,0,2,0,3,11,7.999999999999999,21
