date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-31,Sassari,Trentino,34.602739726027394,0,13,0,2,0.000,0,1,0.0,0,0,0.0,0,2,2,3,0,0,0,1,0,0.8999999999999998,-2
2019-06-18,Brindisi,Trentino,35.23287671232877,1,23,1,3,0.333,1,3,0.333,2,2,1.0,2,2,4,4,1,0,1,2,5,7.300000000000001,3
2018-12-21,Capo d'Orlando,Pistoia,34.74246575342466,1,20,0,4,0.000,0,3,0.0,0,0,0.0,0,1,1,5,0,0,2,3,0,-2.2,-7
2018-10-02,Capo d'Orlando,Virtus Bologna,34.52328767123288,1,19,5,8,0.625,2,2,1.0,0,0,0.0,1,1,2,0,0,0,5,1,12,4.0,-24
2018-12-11,Capo d'Orlando,Milano,34.71506849315068,1,27,4,8,0.500,2,5,0.4,2,4,0.5,0,1,1,2,0,0,1,2,12,7.1,-7
2019-04-12,Capo d'Orlando,Reggio Emilia,35.04931506849315,1,22,5,7,0.714,3,4,0.75,0,0,0.0,0,5,5,3,0,0,3,1,13,10.3,3
2018-12-22,Capo d'Orlando,Torino,34.74520547945205,1,23,1,5,0.200,0,3,0.0,0,0,0.0,0,0,0,4,1,0,5,2,2,-3.1000000000000005,-15
2019-02-08,Capo d'Orlando,Pesaro,34.87671232876713,1,17,1,4,0.250,1,4,0.25,0,0,0.0,0,1,1,2,0,0,3,2,3,-1.5000000000000002,4
2018-10-06,Capo d'Orlando,Sassari,34.534246575342465,1,32,4,7,0.571,2,5,0.4,4,6,0.667,0,2,2,7,0,0,3,4,14,10.799999999999999,6
2018-11-10,Capo d'Orlando,Brescia,34.63013698630137,1,25,1,7,0.143,0,6,0.0,2,4,0.5,1,0,1,3,2,0,3,2,4,-0.2999999999999998,-25
2019-01-12,Capo d'Orlando,Trentino,34.8027397260274,1,32,2,6,0.333,0,3,0.0,0,0,0.0,0,4,4,7,0,0,0,2,4,5.9,6
2019-01-30,Capo d'Orlando,Varese,34.85205479452055,1,35,4,11,0.364,2,9,0.222,0,0,0.0,0,3,3,2,3,0,0,1,10,8.8,-21
2019-08-04,Capo d'Orlando,Brindisi,35.36164383561644,1,32,4,10,0.400,1,5,0.2,0,0,0.0,1,5,6,7,2,0,2,3,9,9.5,-2
2019-03-10,Capo d'Orlando,Avellino,34.95890410958904,0,25,3,7,0.429,0,3,0.0,0,0,0.0,1,3,4,1,1,0,2,1,6,3.2,-11
2019-08-23,Capo d'Orlando,Venezia,35.413698630136984,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-07-21,Capo d'Orlando,Cantù,35.323287671232876,0,23,4,5,0.800,2,3,0.667,0,0,0.0,1,1,2,1,2,0,3,2,10,7.999999999999998,-13
2018-10-10,Capo d'Orlando,Pistoia,34.54520547945206,1,33,8,14,0.571,2,5,0.4,2,2,1.0,1,4,5,2,0,0,2,3,20,13.5,3
2019-04-16,Capo d'Orlando,Virtus Bologna,35.06027397260274,1,26,4,10,0.400,1,6,0.167,2,2,1.0,0,2,2,3,0,0,2,2,11,5.499999999999999,-27
2019-05-16,Capo d'Orlando,Milano,35.14246575342466,0,24,3,6,0.500,2,4,0.5,3,5,0.6,0,1,1,1,0,0,1,0,11,7.199999999999999,-22
2018-09-24,Capo d'Orlando,Reggio Emilia,34.5013698630137,1,29,0,7,0.000,0,3,0.0,2,3,0.667,1,4,5,8,0,0,3,3,2,0.0,-14
2019-01-28,Capo d'Orlando,Torino,34.846575342465755,0,26,3,8,0.375,2,5,0.4,1,1,1.0,1,0,1,6,0,0,1,4,9,6.9,11
2019-08-22,Capo d'Orlando,Pesaro,35.41095890410959,0,30,2,4,0.500,2,3,0.667,0,0,0.0,0,3,3,2,1,0,1,3,6,5.1000000000000005,-2
2019-05-03,Capo d'Orlando,Sassari,35.106849315068494,0,26,2,6,0.333,2,3,0.667,0,0,0.0,0,1,1,3,1,0,0,2,6,5.2,-5
2019-06-12,Capo d'Orlando,Brescia,35.21643835616438,1,36,3,8,0.375,3,7,0.429,1,2,0.5,1,0,1,3,0,0,1,2,10,6.199999999999999,-13
2019-07-29,Capo d'Orlando,Trentino,35.345205479452055,0,26,3,7,0.429,1,3,0.333,0,0,0.0,0,3,3,2,1,0,1,3,7,4.3999999999999995,-32
2019-07-15,Capo d'Orlando,Varese,35.30684931506849,1,24,1,3,0.333,1,3,0.333,0,0,0.0,0,2,2,1,2,0,4,1,3,0.20000000000000018,2
2018-09-13,Capo d'Orlando,Avellino,34.47123287671233,1,33,4,10,0.400,3,7,0.429,0,0,0.0,0,2,2,3,1,0,2,1,11,6.899999999999999,-8
2019-03-18,Capo d'Orlando,Venezia,34.98082191780822,1,21,1,3,0.333,0,2,0.0,0,0,0.0,1,1,2,3,0,0,1,3,2,1.1999999999999997,-12
2018-10-29,Capo d'Orlando,Cantù,34.5972602739726,0,26,7,11,0.636,2,5,0.4,2,3,0.667,2,5,7,4,1,1,2,4,18,16.5,4
2018-12-23,Capo d'Orlando,Cremona,34.74794520547945,1,34,7,9,0.778,2,2,1.0,1,2,0.5,1,0,1,3,0,0,1,4,17,13.299999999999999,-19
