date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-12-17,Varese,Brescia,24.161643835616438,1,32,10,19,0.526,5,8,0.625,5,6,0.833,0,1,1,6,0,0,2,1,30,22.400000000000006,12
2018-09-24,Varese,Sassari,23.93150684931507,1,30,6,13,0.462,4,7,0.571,3,5,0.6,0,2,2,2,4,0,4,1,19,13.099999999999998,-1
2019-08-21,Varese,Trentino,24.838356164383562,1,28,4,16,0.250,0,4,0.0,2,4,0.5,0,1,1,3,1,0,1,2,10,1.2000000000000002,13
2019-06-16,Varese,Trieste,24.65753424657534,1,21,5,13,0.385,3,6,0.5,1,2,0.5,0,3,3,1,1,0,2,3,14,5.8999999999999995,5
2018-09-30,Varese,Reggio Emilia,23.947945205479453,1,26,4,10,0.400,0,3,0.0,1,1,1.0,0,2,2,4,1,0,3,4,9,3.3999999999999986,-1
2019-07-15,Varese,Avellino,24.736986301369864,1,32,7,18,0.389,1,6,0.167,3,3,1.0,0,1,1,5,3,0,1,4,18,12.400000000000002,3
2018-11-27,Varese,Cremona,24.106849315068494,1,29,7,15,0.467,1,6,0.167,0,0,0.0,1,1,2,3,4,0,1,1,15,13.0,9
2018-12-22,Varese,Brindisi,24.175342465753424,1,31,8,15,0.533,1,5,0.2,0,0,0.0,0,4,4,4,3,1,2,3,17,14.2,19
2019-01-24,Varese,Venezia,24.265753424657536,1,31,7,13,0.538,2,4,0.5,0,0,0.0,1,5,6,2,1,0,1,4,16,11.700000000000001,10
2019-08-06,Varese,Torino,24.797260273972604,1,33,6,14,0.429,1,8,0.125,0,0,0.0,1,2,3,11,1,0,3,1,13,12.200000000000001,24
2018-11-18,Varese,Milano,24.08219178082192,1,31,6,14,0.429,1,4,0.25,3,3,1.0,2,3,5,2,1,2,4,2,16,9.9,-7
2019-07-24,Varese,Cantù,24.76164383561644,1,31,7,16,0.438,1,4,0.25,4,5,0.8,1,6,7,3,0,0,3,0,19,11.799999999999999,10
2019-08-13,Varese,Pesaro,24.816438356164383,1,28,8,15,0.533,3,3,1.0,4,4,1.0,5,2,7,3,2,1,3,3,23,20.4,16
2019-05-10,Varese,Pistoia,24.556164383561644,1,29,3,10,0.300,1,4,0.25,1,2,0.5,0,4,4,4,0,0,3,5,8,0.7999999999999989,2
2018-11-21,Varese,Virtus Bologna,24.09041095890411,1,30,3,13,0.231,1,3,0.333,4,4,1.0,0,1,1,3,1,1,1,1,11,5.799999999999999,-9
2019-04-07,Varese,Brescia,24.465753424657535,1,20,3,11,0.273,2,5,0.4,2,2,1.0,1,2,3,2,1,0,1,1,10,5.799999999999999,-1
2019-04-19,Varese,Sassari,24.4986301369863,1,31,8,16,0.500,2,5,0.4,5,5,1.0,0,2,2,0,0,0,1,1,23,14.2,7
2019-07-18,Varese,Trentino,24.745205479452054,1,29,7,13,0.538,4,7,0.571,3,3,1.0,0,3,3,2,1,0,2,1,21,15.600000000000001,8
2019-07-11,Varese,Trieste,24.726027397260275,1,21,4,12,0.333,2,6,0.333,3,4,0.75,0,0,0,3,0,0,2,3,13,4.7,6
2019-01-07,Varese,Reggio Emilia,24.21917808219178,1,35,8,11,0.727,3,4,0.75,2,4,0.5,0,5,5,3,5,0,2,2,21,21.499999999999996,14
2019-03-25,Varese,Avellino,24.43013698630137,1,27,5,15,0.333,2,5,0.4,2,3,0.667,0,1,1,1,0,0,1,3,14,3.8999999999999995,-11
2018-12-10,Varese,Cremona,24.14246575342466,1,25,7,16,0.438,3,6,0.5,2,2,1.0,0,7,7,1,0,0,0,4,19,11.8,9
2019-03-08,Varese,Brindisi,24.383561643835616,1,28,7,17,0.412,2,4,0.5,0,0,0.0,1,4,5,2,1,0,0,3,16,10.000000000000004,-11
2018-09-12,Varese,Venezia,23.898630136986302,1,33,10,16,0.625,2,4,0.5,4,7,0.571,0,3,3,6,0,0,2,3,26,19.5,7
2019-02-06,Varese,Torino,24.301369863013697,1,19,4,16,0.250,0,6,0.0,5,5,1.0,0,3,3,1,3,0,1,2,13,6.2,-3
2018-09-01,Varese,Milano,23.86849315068493,1,28,8,13,0.615,5,7,0.714,3,6,0.5,1,2,3,3,0,0,0,3,24,19.100000000000005,-5
2019-08-24,Varese,Cantù,24.846575342465755,1,35,7,19,0.368,2,7,0.286,8,10,0.8,0,4,4,5,1,1,1,2,24,17.299999999999997,-8
2019-01-10,Varese,Pesaro,24.22739726027397,1,32,9,19,0.474,2,5,0.4,3,4,0.75,0,6,6,0,3,0,1,2,23,15.900000000000002,15
2019-04-07,Varese,Pistoia,24.465753424657535,1,19,5,12,0.417,3,5,0.6,4,5,0.8,1,5,6,2,0,0,3,4,17,9.200000000000001,22
2019-03-02,Varese,Virtus Bologna,24.367123287671234,1,34,9,18,0.500,3,6,0.5,9,14,0.643,1,0,1,2,4,0,1,3,30,22.9,-3
2019-04-17,Varese,Venezia,24.493150684931507,0,11,1,7,0.143,0,5,0.0,2,2,1.0,1,3,4,0,2,0,2,2,4,0.3000000000000007,-2
2018-09-19,Varese,Milano,23.91780821917808,0,8,2,4,0.500,0,2,0.0,1,1,1.0,0,1,1,2,1,0,1,0,5,4.699999999999999,-3
2019-03-02,Varese,Cantù,24.367123287671234,0,18,2,6,0.333,0,3,0.0,1,2,0.5,0,3,3,3,1,0,1,1,5,3.8,16
2019-04-06,Varese,Brescia,24.46301369863014,0,12,0,4,0.000,0,2,0.0,2,2,1.0,0,2,2,1,0,0,0,1,2,0.10000000000000009,-16
2019-08-15,Varese,Pistoia,24.82191780821918,0,18,6,9,0.667,1,3,0.333,5,6,0.833,0,1,1,2,0,0,2,4,18,11.799999999999999,13
2019-01-22,Varese,Trentino,24.26027397260274,0,11,3,3,0.000,0,0,0.0,0,0,0.0,1,2,3,4,0,0,2,3,6,5.999999999999999,0
2018-11-24,Varese,Avellino,24.0986301369863,0,15,2,6,0.333,0,2,0.0,0,0,0.0,0,2,2,2,0,1,1,5,4,0.3000000000000007,2
2018-12-27,Varese,Sassari,24.18904109589041,0,18,3,8,0.375,0,1,0.0,1,2,0.5,1,0,1,3,0,0,0,2,7,4.199999999999999,-8
2019-07-15,Varese,Pesaro,24.736986301369864,0,19,3,7,0.429,1,2,0.5,2,2,1.0,1,0,1,1,1,0,2,1,9,5.3,-1
2019-01-30,Varese,Capo d'Orlando,24.28219178082192,0,18,4,8,0.500,1,2,0.5,0,0,0.0,0,2,2,6,2,0,2,2,9,8.999999999999998,22
2018-09-07,Varese,Reggio Emilia,23.884931506849316,0,22,3,5,0.600,0,1,0.0,4,4,1.0,1,3,4,1,1,0,0,2,10,10.199999999999998,-16
2018-12-08,Varese,Virtus Bologna,24.136986301369863,1,27,3,9,0.333,0,2,0.0,2,2,1.0,1,4,5,2,1,0,5,3,8,0.9999999999999991,-2
2019-06-29,Varese,Brindisi,24.693150684931506,1,31,3,7,0.429,0,1,0.0,0,0,0.0,0,4,4,2,0,2,2,1,6,3.9000000000000004,-17
2018-12-25,Varese,Cremona,24.183561643835617,1,25,4,9,0.444,2,5,0.4,2,4,0.5,1,4,5,2,3,0,4,3,12,7.600000000000001,0
2019-03-03,Varese,Venezia,24.36986301369863,1,20,2,6,0.000,0,0,0.0,0,0,0.0,0,3,3,2,0,0,2,2,4,0.10000000000000053,1
2018-10-05,Varese,Milano,23.96164383561644,0,21,6,11,0.545,4,6,0.667,2,2,1.0,1,1,2,0,1,0,2,2,18,11.899999999999999,3
2018-12-12,Varese,Cantù,24.147945205479452,0,14,2,9,0.222,1,4,0.25,1,2,0.5,0,1,1,1,0,0,0,1,6,0.6999999999999998,-14
2018-12-25,Varese,Brescia,24.183561643835617,1,32,11,19,0.579,4,8,0.5,3,4,0.75,0,3,3,2,4,0,3,2,29,22.2,20
2019-01-22,Varese,Pistoia,24.26027397260274,0,20,4,10,0.400,0,5,0.0,3,3,1.0,0,3,3,2,0,0,2,2,11,5.1000000000000005,-7
2018-09-02,Varese,Trentino,23.87123287671233,0,23,5,11,0.455,3,6,0.5,0,0,0.0,0,2,2,3,1,0,0,2,13,10.2,5
2019-08-16,Varese,Avellino,24.824657534246576,0,22,3,12,0.250,0,6,0.0,7,8,0.875,0,3,3,2,4,0,0,2,13,10.9,0
2019-04-16,Varese,Sassari,24.49041095890411,0,14,2,6,0.333,1,2,0.5,1,2,0.5,0,3,3,2,1,0,1,2,6,3.7,-1
2019-07-08,Varese,Pesaro,24.71780821917808,0,25,10,13,0.769,4,6,0.667,5,7,0.714,0,0,0,2,2,1,1,2,29,25.399999999999995,16
2019-07-15,Varese,Capo d'Orlando,24.736986301369864,1,34,4,14,0.286,3,7,0.429,6,9,0.667,1,3,4,3,2,0,0,2,17,12.500000000000002,7
