date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2018-10-07,Virtus Bologna,Trieste,26.96712328767123,0,15,3,5,0.600,1,2,0.5,0,0,0.0,0,3,3,0,0,0,1,3,7,3.3999999999999995,1
2018-10-14,Virtus Bologna,Milano,26.986301369863014,0,14,0,2,0.000,0,1,0.0,0,0,0.0,0,2,2,0,1,0,1,1,0,-1.2,3
2018-10-21,Virtus Bologna,Avellino,27.005479452054796,1,18,2,4,0.500,1,2,0.5,0,0,0.0,1,3,4,1,0,0,0,1,5,4.8999999999999995,-9
2018-10-28,Virtus Bologna,Cremona,27.024657534246575,0,13,0,2,0.000,0,1,0.0,1,2,0.5,0,3,3,1,0,0,0,2,1,-1.1102230246251565e-16,2
2018-11-04,Virtus Bologna,Venezia,27.043835616438358,0,17,2,4,0.500,0,1,0.0,0,0,0.0,0,3,3,0,0,0,1,1,4,1.5,-17
2018-11-11,Virtus Bologna,Cantù,27.063013698630137,0,10,0,1,0.000,0,1,0.0,0,0,0.0,0,5,5,0,1,0,2,2,0,-1.0,9
2018-11-18,Virtus Bologna,Torino,27.08219178082192,0,14,2,5,0.400,0,2,0.0,1,2,0.5,1,1,2,1,1,0,2,2,5,1.7999999999999998,-2
2018-11-25,Virtus Bologna,Pesaro,27.101369863013698,0,14,1,3,0.333,0,1,0.0,0,0,0.0,1,3,4,0,0,0,0,0,2,1.9000000000000001,8
2018-12-09,Virtus Bologna,Sassari,27.13972602739726,0,15,2,5,0.400,1,3,0.333,0,0,0.0,1,4,5,0,0,0,1,1,5,2.8000000000000003,-7
2018-12-16,Virtus Bologna,Pistoia,27.15890410958904,0,14,1,5,0.200,0,2,0.0,0,0,0.0,1,6,7,0,0,0,2,2,2,-1.4000000000000004,10
2018-12-22,Virtus Bologna,Brindisi,27.175342465753424,0,11,2,5,0.400,1,3,0.333,0,0,0.0,0,4,4,2,1,0,0,1,5,5.5,-2
2018-12-25,Virtus Bologna,Reggio Emilia,27.183561643835617,0,19,1,6,0.167,1,3,0.333,0,0,0.0,2,5,7,1,1,0,0,1,3,3.400000000000001,-1
2018-12-30,Virtus Bologna,Trentino,27.197260273972603,0,24,3,9,0.333,1,5,0.2,0,0,0.0,2,2,4,1,1,1,1,5,7,3.3,19
2019-01-06,Virtus Bologna,Brescia,27.216438356164385,0,5,1,1,1.000,1,1,1.0,0,0,0.0,0,1,1,2,0,0,0,2,3,3.6000000000000005,-8
2019-01-13,Virtus Bologna,Varese,27.235616438356164,0,13,1,1,1.000,1,1,1.0,0,0,0.0,0,2,2,1,0,0,0,1,3,3.6,12
2019-01-20,Virtus Bologna,Trieste,27.254794520547946,0,13,2,5,0.400,1,4,0.25,0,0,0.0,1,0,1,0,2,0,2,1,5,2.5999999999999996,-14
2019-01-27,Virtus Bologna,Milano,27.273972602739725,0,13,2,2,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,4,2.1999999999999997,-14
2019-02-03,Virtus Bologna,Avellino,27.293150684931508,0,12,1,3,0.333,1,2,0.5,1,2,0.5,0,2,2,0,0,0,1,3,4,0.3000000000000007,22
2019-02-09,Virtus Bologna,Cremona,27.30958904109589,0,3,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-5
2019-03-02,Virtus Bologna,Venezia,27.367123287671234,0,5,0,1,0.000,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,-1.0,-3
2019-03-10,Virtus Bologna,Cantù,27.389041095890413,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
2019-03-17,Virtus Bologna,Torino,27.40821917808219,1,13,0,3,0.000,0,2,0.0,0,0,0.0,1,2,3,1,1,0,1,2,0,-0.8999999999999998,7
2019-03-23,Virtus Bologna,Pesaro,27.424657534246574,0,9,0,1,0.000,0,0,0.0,2,2,1.0,0,3,3,1,0,0,0,1,2,2.5000000000000004,5
2019-03-31,Virtus Bologna,Sassari,27.446575342465753,0,15,2,5,0.400,1,2,0.5,0,0,0.0,0,2,2,1,0,0,2,2,5,0.7999999999999998,-11
2019-04-07,Virtus Bologna,Pistoia,27.465753424657535,0,19,3,8,0.375,0,1,0.0,2,2,1.0,4,2,6,0,3,0,0,3,8,8.8,-3
2019-04-14,Virtus Bologna,Brindisi,27.484931506849314,0,14,3,4,0.750,1,2,0.5,0,0,0.0,0,2,2,1,3,0,0,1,7,9.299999999999999,-9
2019-04-20,Virtus Bologna,Reggio Emilia,27.5013698630137,0,21,5,6,0.833,2,2,1.0,0,2,0.0,0,6,6,1,0,1,0,2,12,11.399999999999999,10
2019-04-24,Virtus Bologna,Brescia,27.51232876712329,0,17,3,5,0.600,1,1,1.0,0,0,0.0,1,1,2,1,0,0,0,3,7,5.199999999999999,4
2019-04-28,Virtus Bologna,Trentino,27.523287671232875,0,21,5,9,0.556,2,5,0.4,2,2,1.0,1,5,6,2,0,0,0,3,14,12.099999999999998,3
