date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-07-12,Sassari,Trentino,38.084931506849315,1,35,5,15,0.333,3,10,0.3,5,5,1.0,1,2,3,3,5,0,2,2,18,15.099999999999998,15
2019-07-08,Sassari,Capo d'Orlando,38.07397260273973,1,17,1,4,0.250,1,2,0.5,0,0,0.0,0,1,1,2,1,0,5,4,3,-3.3000000000000003,-5
2019-05-25,Sassari,Torino,37.95342465753425,1,30,5,13,0.385,4,9,0.444,2,2,1.0,1,6,7,5,1,0,1,2,16,14.099999999999998,26
2019-07-07,Sassari,Venezia,38.07123287671233,1,29,3,9,0.333,2,5,0.4,2,2,1.0,2,3,5,5,2,0,4,1,10,8.299999999999999,3
2018-09-13,Sassari,Caserta,37.25753424657534,1,20,6,12,0.500,6,9,0.667,6,6,1.0,0,1,1,2,0,0,2,3,24,16.5,8
2019-06-17,Sassari,Varese,38.016438356164386,1,18,5,10,0.500,3,8,0.375,0,0,0.0,0,0,0,2,0,0,0,2,13,8.6,-4
2019-06-12,Sassari,Reggio Emilia,38.0027397260274,1,28,4,8,0.500,4,7,0.571,0,0,0.0,0,6,6,2,1,0,2,3,12,9.0,8
2019-06-17,Sassari,Brescia,38.016438356164386,1,18,1,6,0.167,1,3,0.333,2,2,1.0,0,1,1,0,0,0,0,3,5,0.30000000000000093,-7
2019-08-04,Sassari,Pesaro,38.14794520547945,1,22,3,8,0.375,2,5,0.4,1,1,1.0,0,1,1,0,0,0,1,3,9,2.6999999999999993,0
2018-12-07,Sassari,Pistoia,37.49041095890411,1,19,3,6,0.500,1,4,0.25,4,5,0.8,0,1,1,1,0,1,1,1,11,7.899999999999999,-1
2018-11-30,Sassari,Milano,37.47123287671233,1,25,3,9,0.333,1,5,0.2,3,3,1.0,0,1,1,4,0,0,2,5,10,3.999999999999999,-9
2019-01-05,Sassari,Avellino,37.56986301369863,1,9,0,2,0.000,0,1,0.0,0,0,0.0,0,0,0,1,1,0,0,1,0,-0.09999999999999998,-6
2018-09-26,Sassari,Brindisi,37.293150684931504,1,29,7,16,0.438,5,10,0.5,1,2,0.5,0,3,3,2,0,0,4,2,20,8.700000000000001,2
2018-09-17,Sassari,Trentino,37.26849315068493,1,34,7,13,0.538,3,6,0.5,3,4,0.75,0,0,0,2,0,0,7,3,20,6.5,8
2018-10-28,Sassari,Capo d'Orlando,37.38082191780822,1,22,2,8,0.250,2,5,0.4,2,2,1.0,0,1,1,2,0,0,1,1,8,3.5,9
2019-05-06,Sassari,Torino,37.9013698630137,1,27,5,11,0.455,3,8,0.375,2,2,1.0,1,1,2,1,1,0,0,1,15,11.6,13
2018-11-07,Sassari,Venezia,37.40821917808219,1,29,5,12,0.417,2,6,0.333,3,3,1.0,0,2,2,4,2,0,2,5,15,10.0,-7
2019-04-10,Sassari,Caserta,37.83013698630137,1,7,0,2,0.000,0,2,0.0,0,0,0.0,1,0,1,0,0,0,1,2,0,-2.5,-8
