date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-25,Brescia,Pesaro,29.24931506849315,1,32,4,6,0.667,0,1,0.0,1,2,0.5,1,10,11,2,1,1,2,3,9,9.599999999999998,-8
2018-09-29,Brescia,Cantù,28.51232876712329,1,18,1,4,0.000,0,0,0.0,2,2,1.0,0,2,2,0,0,1,1,1,4,1.5000000000000004,6
2019-05-31,Brescia,Sassari,29.18082191780822,1,26,5,7,0.000,0,0,0.0,0,0,0.0,4,3,7,0,0,0,1,2,10,9.0,-15
2019-02-09,Brescia,Milano,28.876712328767123,1,30,4,8,0.500,0,1,0.0,2,4,0.5,2,3,5,0,1,1,3,2,10,5.399999999999999,-16
2019-02-28,Brescia,Avellino,28.92876712328767,1,29,6,10,0.000,0,0,0.0,0,0,0.0,0,4,4,0,0,1,3,3,12,5.099999999999998,-14
2019-05-01,Brescia,Capo d'Orlando,29.0986301369863,1,18,1,5,0.000,0,0,0.0,1,2,0.5,1,2,3,0,1,0,0,3,3,0.5999999999999996,-3
2018-12-12,Brescia,Brindisi,28.715068493150685,1,27,2,2,0.000,0,0,0.0,2,4,0.5,0,2,2,1,0,0,2,2,6,3.1000000000000005,6
2019-05-25,Brescia,Varese,29.164383561643834,1,24,2,3,0.000,0,0,0.0,0,0,0.0,3,3,6,1,0,1,2,3,4,3.8999999999999995,1
2019-07-25,Brescia,Reggio Emilia,29.33150684931507,1,14,1,3,0.000,0,0,0.0,1,2,0.5,1,2,3,0,0,1,0,1,3,2.5000000000000004,-9
2019-08-05,Brescia,Caserta,29.361643835616437,1,22,4,7,0.000,0,0,0.0,0,0,0.0,3,7,10,0,0,0,1,5,8,5.9,10
2019-07-02,Brescia,Cremona,29.268493150684932,1,20,2,4,0.000,0,0,0.0,1,4,0.25,2,5,7,0,1,2,1,3,5,4.8999999999999995,11
2019-08-10,Brescia,Venezia,29.375342465753423,1,15,3,6,0.000,0,0,0.0,0,3,0.0,3,4,7,0,0,1,1,1,6,4.4,-6
2019-04-09,Brescia,Trentino,29.03835616438356,1,23,7,10,0.000,0,0,0.0,3,3,1.0,4,5,9,0,0,1,1,2,17,16.0,-3
2018-10-29,Brescia,Torino,28.594520547945205,1,20,1,3,0.000,0,0,0.0,0,2,0.0,0,8,8,1,0,4,1,2,2,3.6000000000000005,1
2019-02-15,Brescia,Pistoia,28.893150684931506,1,18,3,5,0.000,0,0,0.0,0,0,0.0,0,6,6,0,0,0,3,0,6,2.5,-8
2019-03-08,Brescia,Pesaro,28.95068493150685,1,26,6,9,0.000,0,0,0.0,2,3,0.667,1,4,5,0,0,0,2,3,14,8.399999999999995,22
2019-06-30,Brescia,Cantù,29.263013698630136,1,18,4,6,0.000,0,0,0.0,0,1,0.0,4,1,5,0,0,0,1,0,8,7.1,-8
2019-06-17,Brescia,Sassari,29.22739726027397,1,20,3,6,0.000,0,0,0.0,2,2,1.0,0,5,5,1,0,5,0,4,8,9.1,-3
2018-10-27,Brescia,Milano,28.589041095890412,1,17,3,6,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3,4,6,-1.5999999999999992,-26
2019-03-30,Brescia,Avellino,29.01095890410959,1,16,3,6,0.500,0,1,0.0,0,0,0.0,1,1,2,0,0,0,1,1,6,2.600000000000001,-5
2019-05-22,Brescia,Capo d'Orlando,29.156164383561645,1,20,3,4,0.000,0,0,0.0,0,0,0.0,1,3,4,0,0,2,1,3,6,5.2,2
2019-06-11,Brescia,Brindisi,29.21095890410959,1,22,4,5,0.000,0,0,0.0,2,2,1.0,1,7,8,0,1,0,1,0,10,10.899999999999999,3
2018-10-21,Brescia,Varese,28.572602739726026,1,21,1,4,0.000,0,0,0.0,0,2,0.0,1,4,5,2,0,3,1,0,2,3.1999999999999993,-5
2019-08-11,Brescia,Reggio Emilia,29.378082191780823,1,34,7,12,0.000,0,0,0.0,0,1,0.0,2,3,5,3,0,0,0,3,14,11.200000000000003,-30
2018-10-21,Brescia,Caserta,28.572602739726026,1,19,2,3,0.000,0,0,0.0,2,2,1.0,0,6,6,1,0,1,1,3,6,5.7,-3
2019-07-13,Brescia,Cremona,29.2986301369863,1,22,3,4,0.000,0,0,0.0,0,0,0.0,0,4,4,1,1,0,3,4,6,2.700000000000001,8
2018-09-19,Brescia,Venezia,28.484931506849314,1,17,4,5,0.000,0,0,0.0,0,2,0.0,1,2,3,0,0,0,2,2,8,3.8,-15
2018-10-11,Brescia,Trentino,28.545205479452054,1,33,8,12,0.667,0,1,0.0,1,4,0.25,1,5,6,0,1,6,1,2,17,16.2,-33
2019-05-12,Brescia,Torino,29.12876712328767,1,35,8,9,0.000,0,0,0.0,0,2,0.0,2,1,3,1,1,0,3,4,16,10.899999999999999,9
2019-04-22,Brescia,Pistoia,29.073972602739726,1,20,2,2,0.000,0,0,0.0,1,2,0.5,2,4,6,0,1,2,0,0,5,9.0,-20
