date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-07-09,Sassari,Brescia,26.26027397260274,0,16,0,3,0.000,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,3,0,-3.6999999999999997,-18
2018-12-21,Pistoia,Capo d'Orlando,25.71232876712329,0,20,4,6,0.667,1,1,1.0,0,0,0.0,4,3,7,1,2,0,3,1,9,9.399999999999999,2
2018-09-01,Pistoia,Brindisi,25.40821917808219,0,19,6,11,0.545,0,2,0.0,1,2,0.5,2,4,6,0,1,0,3,4,13,6.300000000000001,12
2019-05-02,Pistoia,Cremona,26.073972602739726,1,25,9,14,0.643,2,3,0.667,3,5,0.6,3,7,10,1,0,0,2,3,23,17.700000000000003,-8
2018-09-10,Pistoia,Avellino,25.432876712328767,0,17,2,6,0.000,0,0,0.0,0,0,0.0,2,3,5,0,0,0,0,2,4,2.1000000000000005,-13
2019-08-15,Pistoia,Varese,26.361643835616437,1,25,3,6,0.500,0,1,0.0,1,4,0.25,3,3,6,1,0,1,2,2,7,4.3999999999999995,-3
2019-02-23,Pistoia,Cantù,25.887671232876713,1,19,2,11,0.182,0,2,0.0,0,1,0.0,2,7,9,0,1,0,1,5,4,-1.7999999999999994,-4
2018-11-28,Pistoia,Reggio Emilia,25.649315068493152,0,17,2,7,0.286,0,2,0.0,0,3,0.0,4,1,5,0,0,0,4,1,4,-2.6,-13
2018-09-02,Pistoia,Venezia,25.410958904109588,1,19,1,10,0.100,0,3,0.0,0,0,0.0,3,11,14,1,0,0,3,4,2,-3.1000000000000005,-3
2019-04-23,Pistoia,Torino,26.04931506849315,1,23,7,12,0.583,1,3,0.333,1,2,0.5,1,6,7,1,0,0,1,2,16,11.399999999999999,7
2019-05-29,Pistoia,Pesaro,26.147945205479452,1,19,5,6,0.833,1,2,0.5,0,0,0.0,2,6,8,1,1,0,0,1,11,13.299999999999999,-1
2019-03-26,Pistoia,Sassari,25.972602739726028,0,21,8,9,0.889,0,1,0.0,1,2,0.5,3,5,8,1,2,0,1,2,17,17.999999999999996,6
2019-03-16,Pistoia,Trentino,25.945205479452056,1,29,2,6,0.333,0,2,0.0,1,2,0.5,3,7,10,1,0,0,1,1,5,4.7,-5
2019-02-28,Pistoia,Virtus Bologna,25.9013698630137,0,24,1,4,0.250,0,1,0.0,0,0,0.0,1,3,4,4,2,0,2,2,2,3.2,-4
2019-01-23,Pistoia,Milano,25.802739726027397,0,21,3,6,0.500,2,2,1.0,0,0,0.0,1,4,5,0,0,0,1,3,8,4.7,-13
2019-05-15,Pistoia,Brindisi,26.10958904109589,0,11,0,3,0.000,0,0,0.0,0,2,0.0,0,1,1,1,0,0,0,3,0,-3.0999999999999996,-8
2019-01-06,Pistoia,Cremona,25.756164383561643,1,17,4,9,0.000,0,0,0.0,0,0,0.0,8,7,15,0,0,1,4,0,8,7.6999999999999975,13
2019-01-22,Pistoia,Varese,25.8,1,21,0,4,0.000,0,3,0.0,0,2,0.0,3,3,6,2,3,0,1,3,0,1.5999999999999996,-3
2018-11-23,Pistoia,Cantù,25.635616438356166,0,11,2,5,0.400,0,3,0.0,0,2,0.0,1,2,3,0,0,0,0,1,4,1.4,-11
2019-02-10,Pistoia,Reggio Emilia,25.852054794520548,1,13,0,4,0.000,0,1,0.0,0,0,0.0,1,2,3,1,0,0,0,2,0,-1.5999999999999996,-8
2019-01-06,Pistoia,Venezia,25.756164383561643,0,18,0,5,0.000,0,1,0.0,0,0,0.0,1,6,7,0,2,0,4,4,0,-4.6,5
2019-06-23,Pistoia,Torino,26.216438356164385,0,21,2,5,0.400,1,3,0.333,0,0,0.0,1,4,5,0,0,0,1,0,5,3.2,-6
2019-08-26,Pistoia,Pesaro,26.39178082191781,0,13,1,4,0.250,1,2,0.5,1,2,0.5,1,1,2,1,0,0,0,3,4,1.7000000000000002,-2
2019-04-16,Pistoia,Trentino,26.03013698630137,0,24,2,4,0.500,1,2,0.5,1,2,0.5,3,7,10,0,1,0,1,4,6,6.199999999999999,9
2019-08-20,Pistoia,Virtus Bologna,26.375342465753423,0,17,2,4,0.500,1,2,0.5,0,0,0.0,0,3,3,0,0,0,2,0,5,1.9,-5
2019-04-07,Pistoia,Milano,26.005479452054796,1,30,8,15,0.533,0,1,0.0,0,0,0.0,5,4,9,1,1,1,0,1,16,15.399999999999997,-22
2019-07-08,Pistoia,Brescia,26.257534246575343,1,19,2,5,0.400,1,2,0.5,0,0,0.0,3,5,8,1,0,0,1,5,5,3.5999999999999996,-3
