date,team,opp,age,gs,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-
2019-06-12,Virtus Bologna,Cantù,31.147945205479452,0,7,1,2,0.500,1,2,0.5,0,0,0.0,1,0,1,0,0,0,1,1,3,1.3000000000000003,-8
2018-11-08,Torino,Pesaro,30.556164383561644,0,20,3,7,0.429,0,3,0.0,2,2,1.0,2,2,4,1,1,0,1,1,8,6.599999999999999,4
2019-01-28,Torino,Capo d'Orlando,30.778082191780822,1,34,6,12,0.500,4,9,0.444,2,2,1.0,1,4,5,1,2,0,0,1,18,16.2,4
2019-03-16,Torino,Venezia,30.906849315068495,1,28,3,9,0.333,2,5,0.4,1,2,0.5,0,3,3,2,2,0,2,4,9,4.199999999999999,0
2019-04-20,Torino,Cremona,31.002739726027396,1,30,1,12,0.083,1,7,0.143,2,2,1.0,5,3,8,1,1,0,1,1,5,1.7000000000000015,-12
2019-05-27,Torino,Cantù,31.104109589041098,1,25,3,8,0.375,2,6,0.333,0,0,0.0,0,2,2,3,0,1,1,0,8,5.999999999999999,-10
2019-06-23,Torino,Pistoia,31.17808219178082,0,5,0,2,0.000,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-0.7999999999999999,-8
2018-09-05,Torino,Reggio Emilia,30.38082191780822,0,32,2,6,0.333,1,5,0.2,2,2,1.0,0,4,4,3,1,0,1,1,7,6.5,-6
2019-03-09,Torino,Trentino,30.887671232876713,0,7,0,2,0.000,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,-1.2,-5
2019-04-04,Torino,Brescia,30.958904109589042,0,20,1,3,0.333,1,3,0.333,2,2,1.0,0,3,3,1,0,0,1,1,5,3.500000000000001,-12
2019-08-24,Torino,Varese,31.34794520547945,0,0,0,0,0.000,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
